[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,22576_01
FILEOPENTIME,35309680.81,02/12/2025,3:36 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC633,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM487,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,477,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 D0,OVEN_HW_VERSION
INFO,OVN250,OVEN_SERIAL_NUMBER
INFO,01.01.10,OVEN_SOFTWARE_VERSION
INFO,568,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,54.86,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,(1.98, 1.99, 2.70),SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 35.32 mm touchdown = 9.72000043839216 mm,35310946.7,300.00354,-0.2195,,,1,0.999253354069792,40.0298881530762,1.99581788512473,14.5600000396371,-2.77794373985978,-0.48455355978566,2.5,,,,300.00354,300.00354,-0.247,-0.192,50.6401485039284,18.6513000294735,-3.741577,1,0,,40,4929,300.3408,-0.2195,,,,,,,,,,,,,0,,,,3.8008451,,,,,,300.00354,,,,
,35310960.65,300.0058289,159.3925,-0.300012917328173,8.29583030576505E-5,1,0.999253354069792,40.0298881530762,1.99576752475063,14.5600000396371,-3.35791190088442,-0.584602546199484,25,0.000194782849279308,-0.300004037100167,-4.16762245951182E-6,300.0058289,300.0058289,150.409,168.376,50.8339923766977,18.6510403386174,-5.21385,0,0,0,40,4961,300.34815,159.3925,,,,,,,,,,,,,0,,,,3.8199253,,,,,,300.0058289,,,,
,35310961.35,300.0062714,240.9585,-0.275242691615059,0.00074389051008764,1,0.999253354069792,40.0298881530762,1.99586356257711,14.5600000396371,-3.08097627949986,-0.53541515336997,25,0.000263120873355689,-0.275234597295306,8.06078053034291E-5,300.0058289,300.0067139,168.376,313.541,50.564330537563,18.6522100727765,-3.741577,0,0,0,40,4961,300.3657,240.9585,,,,,,,,,,,,,0,,,,3.8199253,,,,,,300.0062714,,,,
,35310962.535,300.0067139,369.278,-0.255815571056663,0.0011229870356091,1,0.999253354069792,40.0298881530762,1.99574178666455,14.5600000396371,-2.86336404703155,-0.497507956291973,25,0.000252375751183732,-0.255808049666986,8.27513056268639E-5,300.0067139,300.0067139,313.541,425.015,50.4517760307938,18.653110241544,-3.741577,0,0,0,40,4961,300.373,369.278,,,,,,,,,,,,,0,,,,3.8199253,,,,,,300.0067139,,,,
,35310963.75,300.00660705,509.672,-0.229032327048681,0.00129630932862511,1,0.999253354069792,40.0298881530762,1.99579308338469,14.5600000396371,-2.56375786334268,-0.444756305969363,25,0.000286251034164575,-0.229025633407644,0.000134377222782411,300.0065002,300.0067139,425.015,594.329,50.7824048944285,18.6565629069614,-3.741577,0,0,0,40,4961,300.35835,509.672,,,,,,,,,,,,,0,,,,3.8199253,,,,,,300.00660705,,,,
,35310965.04,300.0065002,672.529,-0.153884905591763,0.00232942539038909,1,0.999253354069792,40.0298881530762,1.99576675976979,14.5600000396371,-1.72288635132984,-0.296875661719357,25,0.000366451732411242,-0.153880524035231,0.000264401282410842,300.0065002,300.0065002,594.329,750.729,50.3095196402938,18.6588499114508,-3.373509,0,0,0,40,4961,300.34815,672.529,,,,,,,,,,,,,0,,,,3.8390055,,,,,,300.0065002,,,,
,35310966.305,300.00711055,818.82,-0.101323661629518,0.00244834622725822,1,0.999253354069792,40.0298881530762,1.99575019556893,14.5600000396371,-1.13466522781409,-0.193982210269352,25,0.000374462057611649,-0.101320862963331,0.000307267506492559,300.0065002,300.0077209,750.729,886.911,50.5057083986207,18.65440315854,-3.373509,0,0,0,40,4961,300.35695,818.82,,,,,,,,,,,,,0,,,,3.8390055,,,,,,300.00711055,,,,
,35310968.675,300.0081787,1095.1145,0.00709675695645523,0.00222800455408393,1,0.999253354069792,40.0298881530762,1.99569216347184,14.5600000396371,0.0788247555280274,0.0172798730436437,25,0.000303831220296559,0.00709634185334477,0.000308527292823035,300.0081787,300.0081787,1084.025,1106.204,50.84180866189,18.6575140800546,-3.741577,0,0,0,40,4961,300.3671,1095.1145,,,,,,,,,,,,,0,,,,3.8390055,,,,,,300.0081787,,,,
,35310972.44,300.0084839,1529.6265,,,1,0.999253354069792,40.0298881530762,1.99592961239352,14.5600000396371,2.55130855652105,0.450507831286874,2.5,,,,300.0079651,300.0090027,1519.518,1539.735,50.7190929843707,18.6567566041943,-3.741577,1,0,,40,4961,300.3496,1529.6265,,,,,,,,,,,,,0,,,,3.8390055,,,,,,300.0084839,,,,
,35310976.19,300.008728,1966.5235,0.55645420410133,0.00295331806406774,1,0.999253354069792,40.0298881530762,1.99580200860383,14.5600000396371,6.22719245507616,1.09035870378392,25,0.000178408275901733,0.556437321917726,0.00054733334227875,300.008728,300.008728,1945.465,1987.582,50.584652879063,18.6546685591829,-3.00544,0,0,0,40,4961,300.34375,1966.5235,,,,,,,,,,,,,0,,,,3.8390055,,,,,,300.008728,,,,
