[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,20230707_SPS_sample13_90.47mg.dat
FILEOPENTIME,16171484.66,07/07/2023,2:18 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C0,MOTOR_HW_VERSION
INFO,042,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM598,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,578,PREAMP_SERIAL_NUMBER
INFO,690,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,20230707_SPS_sample13_90.47mg.dat,SAMPLE_MATERIAL
INFO,20230707_SPS_sample13_90.47mg.dat,SAMPLE_COMMENT
INFO,90.47,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 36.63 mm touchdown = 9.85999964177608 mm,16171793.05,300.012558,0,0.0705090159607551,9.11705035879854E-6,1,0.999253354069792,40.0298881530762,1.9994758318171,14.0800001099706,0.810163935882337,0.140062681021471,2.5,-0.000228745051225376,0.0705068095306343,-0.000183028106076583,300.0122986,300.0128174,-0.0224974378943443,0.0224974378943443,55.534706291352,20.6041465314247,9.256284,0,0,0,40,4417,300.1815,0,,,,,,,,,,,,,0,,,,11.9898119,,,,,,300.012558,,,,
,16171805.835,300.013504,33.7224950790405,0.0728978293225598,0.000374821467787577,1,0.999253354069792,40.0298881530762,1.99951045227659,14.0800001099706,0.837589882852894,0.145013718744023,2.5,-0.000218784786439838,0.0728955334589611,-0.000171518509614428,300.0132141,300.0137939,24.8515911102295,42.5933990478516,55.6863422240828,20.6050088766924,9.256284,0,0,0,40,4449,300.1757,33.7224950790405,,,,,,,,,,,,,0,,,,11.752636,,,,,,300.013504,,,,
,16171806.625,300.01319885,99.79296875,0.0945302935429538,0.0017752950692557,1,0.999253354069792,40.0298881530762,1.99950756494703,14.0800001099706,1.08568906297765,0.190625548426009,2.5,-5.91151483869627E-5,0.0945271720824807,2.16982153443081E-6,300.0126038,300.0137939,42.5933990478516,156.992538452148,55.6582035973905,20.6064194600623,8.512546,0,0,0,40,4449,300.17555,99.79296875,,,,,,,,,,,,,0,,,,11.752636,,,,,,300.01319885,,,,
,16171807.855,300.01321415,204.97541809082,0.15223017415678,0.0035156257154968,1,0.999253354069792,40.0298881530762,1.99957077147979,14.0800001099706,1.74824554115585,0.308037718898137,2.5,-3.94890748823471E-6,0.152225088166682,9.47402092159477E-5,300.0126038,300.0138245,156.992538452148,252.958297729492,55.6988482803905,20.6060340668888,9.256284,0,0,0,40,4449,300.1752,204.97541809082,,,,,,,,,,,,,0,,,,11.752636,,,,,,300.01321415,,,,
,16171808.87,300.0138855,295.015327453613,,,1,0.999253354069792,40.0298881530762,1.99950148280575,14.0800001099706,2.59539462027972,0.456786421807806,2.5,,,,300.0138245,300.0139465,252.958297729492,337.072357177734,55.680089195929,20.6062277062216,9.256284,1,0,,40,4449,300.175,295.015327453613,,,,,,,,,,,,,0,,,,11.752636,,,,,,300.0138855,,,,
,16171812.96,300.0124054,704.081512451172,0.687532278916644,0.00488899911249028,1,0.999253354069792,40.0298881530762,1.99958424428762,14.0800001099706,7.89922427787994,1.38717660137643,25,-0.000410616749370057,0.687509589042282,3.51070861087664E-5,300.0123596,300.0124512,698.976989746094,709.18603515625,55.4854636946405,20.6051681850593,9.256284,0,0,0,40,4449,300.1746,704.081512451172,,,,,,,,,,,,,0,,,,11.9898119,,,,,,300.0124054,,,,
,16171813.665,300.01280215,774.226348876953,0.793223117193812,0.0047650112815913,1,0.999253354069792,40.0298881530762,1.99960164677339,14.0800001099706,9.11378066197897,1.59945003475763,25,-0.000559343566192341,0.793196980607614,-4.50972499024913E-5,300.0124512,300.0131531,709.18603515625,839.266662597656,55.4893718372366,20.6064458745581,8.512546,0,0,0,40,4449,300.17335,774.226348876953,,,,,,,,,,,,,0,,,,11.9898119,,,,,,300.01280215,,,,
,16171814.82,300.01342775,889.354705810547,0.896687955215253,0.00466842628390913,1,0.999253354069792,40.0298881530762,1.99963509854214,14.0800001099706,10.3028241926912,1.80745562180297,25,-0.000688798420493046,0.89665842110302,-0.000107475863227406,300.0131531,300.0137024,839.266662597656,939.442749023437,55.5659714321213,20.6053264478657,9.256284,0,0,0,40,4449,300.1727,889.354705810547,,,,,,,,,,,,,0,,,,11.9898119,,,,,,300.01342775,,,,
,16171815.795,300.01338195,984.421630859375,0.998173602083229,0.00456604298399022,1,0.999253354069792,40.0298881530762,1.9996395972895,14.0800001099706,11.4689810930265,2.0115946722643,25,-0.000804187205308984,0.998140752180197,-0.000157075361841496,300.0130615,300.0137024,939.442749023437,1029.40051269531,55.6316282277367,20.6064457175776,8.512546,0,0,0,40,4449,300.17345,984.421630859375,,,,,,,,,,,,,0,,,,11.87122395,,,,,,300.01338195,,,,
,16171816.885,300.0136566,1094.36657714844,1.09768433519843,0.00449845359631982,1,0.999253354069792,40.0298881530762,1.9996142921787,14.0800001099706,12.6121037053639,2.21267630433594,25,-0.000835011700477709,1.09764816543896,-0.000123394762896175,300.0130615,300.0142517,1029.40051269531,1159.33264160156,55.8028048734482,20.606138122054,9.256284,0,0,0,40,4449,300.174,1094.36657714844,,,,,,,,,,,,,0,,,,11.87122395,,,,,,300.0136566,,,,
