[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,20230707_SPS_sample9_79.81mg.dat
FILEOPENTIME,16163159.11,07/07/2023,11:59 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C0,MOTOR_HW_VERSION
INFO,042,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM598,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,578,PREAMP_SERIAL_NUMBER
INFO,690,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,20230707_SPS_sample9_79.81mg.dat,SAMPLE_MATERIAL
INFO,20230707_SPS_sample9_79.81mg.dat,SAMPLE_COMMENT
INFO,79.81,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 37.01 mm touchdown = 9.87999979406595 mm,16163467.62,300.0164795,-0.067492313683033,0.0337500289585156,1.05410274009412E-5,1,0.999253354069792,40.0298881530762,1.99965558255424,13.7200001627207,0.387580655056014,0.0684542467660343,2.5,1.29119050154821E-5,0.033748887721438,3.47889128044719E-5,300.0164795,300.0164795,-0.067492313683033,-0.067492313683033,55.1954795140058,20.5916356295553,9.256284,0,0,0,40,4417,300.2034,-0.067492313683033,,,,,,,,,,,,,0,,,,11.2922668,,,,,,300.0164795,,,,
,16163480.74,300.0204468,62.1149272918701,0.037960683370733,0.000576676055291738,1,0.999253354069792,40.0298881530762,1.9994814779856,13.7200001627207,0.435764458323114,0.0777512303486521,2.5,8.09678738210787E-5,0.0379593498500319,0.000105572678882742,300.0204468,300.0204468,49.6194267272949,74.6104278564453,55.6511689407174,20.5919737696347,9.256284,0,0,0,40,4449,300.1961,62.1149272918701,,,,,,,,,,,,,0,,,,11.2922668,,,,,,300.0204468,,,,
,16163481.43,300.02015685,119.935997009277,0.0647375596585385,0.00193586639963269,1,0.999253354069792,40.0298881530762,1.99947859623153,13.7200001627207,0.743060018625294,0.133077364186041,2.5,0.000180036957484648,0.0647352591338983,0.000221996242813762,300.0198669,300.0204468,74.6104278564453,165.261566162109,55.4549801823905,20.5925795349294,9.256284,0,0,0,40,4449,300.19535,119.935997009277,,,,,,,,,,,,,0,,,,11.3489532,,,,,,300.02015685,,,,
,16163482.475,300.01966855,209.353630065918,0.125724251715094,0.00368079728473548,1,0.999253354069792,40.0298881530762,1.9994401181797,13.7200001627207,1.44322670970039,0.257385568890145,2.5,0.000257860858219749,0.125719846201073,0.000339351517871404,300.0194702,300.0198669,165.261566162109,253.445693969727,55.6417893984867,20.5942290899115,9.256284,0,0,0,40,4449,300.19425,209.353630065918,,,,,,,,,,,,,0,,,,11.46289585,,,,,,300.01966855,,,,
,16163486.51,300.0205688,603.480529785156,0.418449653062431,0.00456771269003655,1,0.999253354069792,40.0298881530762,1.99944441980876,13.7200001627207,4.80690265036705,0.846732839570187,25,-3.06523869014598E-5,0.418435549729496,0.000240601071686587,300.0205688,300.0205688,588.323608398438,618.637451171875,55.6214670569867,20.595877856147,9.256284,0,0,0,40,4449,300.19265,603.480529785156,,,,,,,,,,,,,0,,,,11.4056396,,,,,,300.0205688,,,,
,16163487.165,300.0201721,668.909088134766,0.516584021681973,0.00439459623631144,1,0.999253354069792,40.0298881530762,1.99946227241395,13.7200001627207,5.93451336791729,1.04389610474979,25,-0.000161502591725271,0.516566700232273,0.000173368931719792,300.0197754,300.0205688,618.637451171875,719.180725097656,55.5503388617366,20.5958990904589,9.256284,0,0,0,40,4449,300.192,668.909088134766,,,,,,,,,,,,,0,,,,11.3489532,,,,,,300.0201721,,,,
,16163488.24,300.01986695,774.331420898438,0.611161402089592,0.00424722628420937,1,0.999253354069792,40.0298881530762,1.99940125408704,13.7200001627207,7.02100056110626,1.23391593164465,25,-0.000283619783393766,0.611140977646899,0.000112564990769767,300.0197754,300.0199585,719.180725097656,829.482116699219,55.4948432368713,20.595713187985,9.256284,0,0,0,40,4449,300.19,774.331420898438,,,,,,,,,,,,,0,,,,11.40620945,,,,,,300.01986695,,,,
,16163489.235,300.01963805,874.467742919922,0.792158256864499,0.00402856043582056,1,0.999253354069792,40.0298881530762,1.999420286103,13.7200001627207,9.10055960110886,1.59827475007421,25,-0.000461871823960616,0.792131853107712,5.16452897688022E-5,300.0193176,300.0199585,829.482116699219,919.453369140625,55.4901534657559,20.5945813125147,8.512546,0,0,0,40,4449,300.18965,874.467742919922,,,,,,,,,,,,,0,,,,11.5201521,,,,,,300.01963805,,,,
,16163490.33,300.0188446,984.435607910156,0.879486056713372,0.00394364767875064,1,0.999253354069792,40.0298881530762,1.99938285468273,13.7200001627207,10.103753806359,1.7737251505047,25,-0.000574796340164139,0.879456814108367,-4.67061716933301E-6,300.0183716,300.0193176,919.453369140625,1049.41784667969,55.6410077699674,20.5952909326584,8.884414,0,0,0,40,4449,300.1899,984.435607910156,,,,,,,,,,,,,0,,,,11.5201521,,,,,,300.0188446,,,,
,16163491.53,300.01861575,1104.40246582031,0.964955600458941,0.00386047731157543,1,0.999253354069792,40.0298881530762,1.99937789457613,13.7200001627207,11.0856118790952,1.94615637658615,25,-0.000625165727367204,0.964923522876245,3.60399088719224E-7,300.0183716,300.0188599,1049.41784667969,1159.38708496094,55.6019263440059,20.5972821886748,9.256284,0,0,0,40,4449,300.1903,1104.40246582031,,,,,,,,,,,,,0,,,,11.5201521,,,,,,300.01861575,,,,
