Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;27.06.2023;17:58:52;00:00:00;250,0;24,4;19,9;18,8;20,9;20,0;0,0;1006,8;1,01E3;-2,1;20,00;3,0;3,0;49,09;0,40;-0,039;0,0;0,00;0,049
2;27.06.2023;17:58:53;00:00:01;250,0;24,4;19,9;18,8;20,9;20,0;0,0;1006,9;1,01E3;-2,1;20,00;3,0;3,0;49,09;0,40;-0,034;0,0;0,00;0,049
3;27.06.2023;17:58:54;00:00:02;250,0;24,4;19,9;18,8;20,9;20,0;0,0;1006,8;1,01E3;-2,1;20,00;3,0;3,0;49,10;0,40;-0,027;0,0;0,01;0,049
4;27.06.2023;17:58:55;00:00:03;250,0;24,2;19,9;18,8;20,9;20,0;0,0;1006,9;1,01E3;-2,1;20,00;3,0;3,0;49,10;0,40;-0,018;0,0;0,00;0,049
5;27.06.2023;17:58:56;00:00:04;250,0;24,2;19,9;18,8;20,9;20,0;0,0;1006,9;1,01E3;-2,1;20,00;3,0;3,0;49,10;0,40;-0,012;0,0;0,01;0,049
6;27.06.2023;17:58:57;00:00:05;250,0;24,1;19,9;18,8;20,9;20,0;0,0;1006,9;1,01E3;-2,1;20,00;3,0;3,0;49,09;0,40;-0,011;0,0;0,00;0,049
7;27.06.2023;17:58:58;00:00:06;250,0;23,9;19,9;18,8;20,9;20,0;0,0;1006,9;1,01E3;-2,1;20,00;3,0;3,0;49,09;0,40;-0,013;0,0;0,00;0,049
8;27.06.2023;17:58:59;00:00:07;250,0;23,9;19,9;18,8;20,9;20,0;0,0;1006,9;1,01E3;-2,1;20,00;3,0;3,0;49,09;0,40;-0,008;0,0;0,01;0,049
9;27.06.2023;17:59:00;00:00:08;250,0;23,9;19,9;18,8;20,9;20,0;0,0;1006,9;1,01E3;-2,1;20,00;3,0;3,0;49,09;0,40;-0,005;0,0;0,00;0,049
10;27.06.2023;17:59:01;00:00:09;250,0;23,7;19,9;18,8;20,9;20,0;0,0;958,9;9,59E2;-45,0;20,00;3,0;3,0;49,09;0,40;0,000;0,0;0,01;0,048
11;27.06.2023;17:59:02;00:00:10;250,0;23,6;19,9;18,8;20,9;20,0;0,0;911,3;9,11E2;-94,2;20,00;3,0;3,0;49,10;0,40;0,002;0,0;0,01;0,049
12;27.06.2023;17:59:03;00:00:11;250,0;23,6;19,9;18,8;20,9;20,0;0,0;888,9;8,89E2;-116,1;20,00;3,0;3,0;49,09;0,40;0,004;0,0;0,01;0,049
13;27.06.2023;17:59:04;00:00:12;250,0;23,6;19,9;18,8;20,9;20,0;0,0;845,8;8,46E2;-160,8;20,00;3,0;3,0;49,09;0,40;0,002;0,0;0,00;0,049
14;27.06.2023;17:59:05;00:00:13;250,0;23,5;19,9;18,8;20,9;20,0;0,0;806,4;8,06E2;-198,4;20,00;3,0;3,0;49,09;0,40;-0,003;0,0;0,01;0,049
15;27.06.2023;17:59:06;00:00:14;250,0;23,5;19,9;18,8;20,9;20,0;0,0;789,1;7,89E2;-218,3;20,00;3,0;3,0;49,10;0,40;-0,004;0,0;0,01;0,049
16;27.06.2023;17:59:07;00:00:15;250,0;23,3;19,9;18,8;20,9;20,0;0,0;752,9;7,53E2;-252,6;20,00;3,0;3,0;49,10;0,40;0,003;0,0;0,01;0,049
