Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;01.11.2023;12:10:50;00:00:00;250,0;17,5;19,0;17,9;19,2;20,0;0,0;995,0;9,95E2;-1,8;20,00;3,0;3,0;38,07;0,03;-0,019;0,0;0,00;0,053
2;01.11.2023;12:10:51;00:00:01;250,0;17,5;19,0;17,9;19,2;20,0;0,0;995,0;9,95E2;-1,8;20,00;3,0;3,0;38,07;0,03;-0,016;0,0;0,00;0,054
3;01.11.2023;12:10:52;00:00:02;250,0;17,5;19,0;17,9;19,2;20,0;0,0;995,0;9,95E2;-1,8;20,00;3,0;3,0;38,07;0,03;-0,010;0,0;0,00;0,054
4;01.11.2023;12:10:53;00:00:03;250,0;17,5;19,0;17,9;19,2;20,0;0,0;995,0;9,95E2;-1,9;20,00;3,0;3,0;38,07;0,03;-0,007;0,0;0,00;0,054
5;01.11.2023;12:10:54;00:00:04;250,0;17,5;19,0;17,9;19,2;20,0;0,0;995,0;9,95E2;-1,8;20,00;3,0;3,0;38,07;0,03;-0,007;0,0;0,00;0,054
6;01.11.2023;12:10:55;00:00:05;250,0;17,5;19,0;17,9;19,2;20,0;0,0;995,0;9,95E2;-1,9;20,00;3,0;3,0;38,07;0,03;-0,006;0,0;0,00;0,054
7;01.11.2023;12:10:56;00:00:06;250,0;17,5;19,0;17,9;19,2;20,0;0,0;995,0;9,95E2;-1,8;20,00;3,0;3,0;38,07;0,03;-0,007;0,0;0,00;0,054
8;01.11.2023;12:10:57;00:00:07;250,0;17,5;19,0;17,9;19,2;20,0;0,0;995,0;9,95E2;-1,8;20,00;3,0;3,0;38,07;0,03;-0,007;0,0;0,01;0,054
9;01.11.2023;12:10:58;00:00:08;250,0;17,5;19,0;17,9;19,2;20,0;0,0;958,1;9,58E2;-36,7;20,00;3,0;3,0;38,07;0,03;-0,005;0,0;0,00;0,054
10;01.11.2023;12:10:59;00:00:09;250,0;17,5;19,0;17,9;19,2;20,0;0,0;909,0;9,09E2;-83,8;20,00;3,0;3,0;38,07;0,03;-0,003;0,0;0,01;0,054
11;01.11.2023;12:11:00;00:00:10;250,0;17,5;19,0;17,9;19,2;20,0;0,0;885,8;8,86E2;-106,1;20,00;3,0;3,0;38,07;0,03;-0,001;0,0;0,00;0,054
