Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;05.06.2023;09:24:26;00:00:00;250,0;21,7;20,2;18,5;22,5;20,0;0,0;1003,7;1,00E3;-6,1;20,00;3,0;3,0;41,87;0,30;-0,001;0,0;0,01;0,044
2;05.06.2023;09:24:27;00:00:01;250,0;21,7;20,2;18,5;22,5;20,0;0,0;1003,7;1,00E3;-6,1;20,00;3,0;3,0;41,87;0,30;0,001;0,0;0,01;0,040
3;05.06.2023;09:24:28;00:00:02;250,0;21,6;20,2;18,5;22,5;20,0;0,0;1003,7;1,00E3;-6,0;20,00;3,0;3,0;41,87;0,30;-0,001;0,0;0,00;0,044
4;05.06.2023;09:24:29;00:00:03;250,0;21,6;20,2;18,5;22,5;20,0;0,0;1003,8;1,00E3;-5,9;20,00;3,0;3,0;41,87;0,30;0,002;0,0;0,01;0,044
5;05.06.2023;09:24:30;00:00:04;250,0;21,6;20,2;18,5;22,5;20,0;0,0;1003,8;1,00E3;-5,8;20,00;3,0;3,0;41,87;0,30;0,000;0,0;0,00;0,043
6;05.06.2023;09:24:31;00:00:05;250,0;21,6;20,2;18,5;22,5;20,0;0,0;1003,8;1,00E3;-5,8;20,00;3,0;3,0;41,87;0,30;0,001;0,0;0,00;0,044
7;05.06.2023;09:24:32;00:00:06;250,0;21,6;20,2;18,5;22,5;20,0;0,0;1003,8;1,00E3;-5,8;20,00;3,0;3,1;41,87;0,30;0,003;0,0;0,00;0,043
8;05.06.2023;09:24:33;00:00:07;250,0;21,5;20,2;18,5;22,5;20,0;0,0;1003,8;1,00E3;-5,8;20,00;3,0;3,0;41,87;0,30;-0,001;0,0;0,00;0,044
9;05.06.2023;09:24:34;00:00:08;250,0;21,5;20,2;18,5;22,5;20,0;0,0;994,8;9,95E2;-10,1;20,00;3,0;3,0;41,87;0,30;-0,002;0,0;0,00;0,043
