Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;08.08.2023;14:15:46;00:00:00;250,0;20,7;19,3;18,8;21,1;20,0;0,0;1000,3;1,00E3;-4,9;20,00;3,0;3,0;40,51;0,38;-0,003;0,0;0,00;0,049
2;08.08.2023;14:15:47;00:00:01;250,0;20,7;19,3;18,8;21,1;20,0;0,0;1000,3;1,00E3;-4,9;20,00;3,0;3,0;40,51;0,38;-0,002;0,0;0,00;0,049
3;08.08.2023;14:15:48;00:00:02;250,0;20,6;19,3;18,8;21,1;20,0;0,0;1000,3;1,00E3;-4,9;20,00;3,0;3,0;40,51;0,38;0,000;0,0;0,01;0,049
4;08.08.2023;14:15:49;00:00:03;250,0;20,6;19,3;18,8;21,1;20,0;0,0;1000,3;1,00E3;-4,9;20,00;3,0;3,0;40,51;0,38;-0,004;0,0;0,00;0,049
5;08.08.2023;14:15:50;00:00:04;250,0;20,6;19,3;18,8;21,1;20,0;0,0;1000,3;1,00E3;-4,9;20,00;3,0;3,0;40,51;0,38;-0,007;0,0;0,00;0,049
6;08.08.2023;14:15:51;00:00:05;250,0;20,6;19,3;18,8;21,1;20,0;0,0;1000,3;1,00E3;-4,9;20,00;3,0;3,0;40,51;0,38;0,001;0,0;0,00;0,049
7;08.08.2023;14:15:52;00:00:06;250,0;20,5;19,3;18,8;21,1;20,0;0,0;1000,3;1,00E3;-4,9;20,00;3,0;3,0;40,51;0,38;-0,001;0,0;0,01;0,049
8;08.08.2023;14:15:53;00:00:07;250,0;20,4;19,3;18,8;21,1;20,0;0,0;1000,3;1,00E3;-5,0;20,00;3,0;3,0;40,51;0,38;0,000;0,0;0,00;0,049
9;08.08.2023;14:15:54;00:00:08;250,0;20,4;19,3;18,8;21,1;20,0;0,0;976,3;9,76E2;-25,3;20,00;3,0;3,0;40,51;0,38;0,001;0,0;0,00;0,049
10;08.08.2023;14:15:55;00:00:09;250,0;20,3;19,2;18,7;21,0;20,0;0,0;922,0;9,22E2;-82,3;20,00;3,0;3,0;40,51;0,38;-0,002;0,0;0,00;0,049
11;08.08.2023;14:15:56;00:00:10;250,0;20,3;19,2;18,7;21,0;20,0;0,0;897,9;8,98E2;-104,9;20,00;3,0;3,0;40,51;0,38;-0,001;0,0;0,00;0,049
12;08.08.2023;14:15:57;00:00:11;250,0;20,3;19,2;18,6;21,0;20,0;0,0;854,1;8,54E2;-147,1;20,00;3,0;3,0;40,51;0,38;0,000;0,0;0,01;0,049
13;08.08.2023;14:15:58;00:00:12;250,0;20,2;19,2;18,6;21,0;20,0;0,0;814,2;8,14E2;-188,4;20,00;3,0;3,0;40,51;0,38;0,002;0,0;0,00;0,049
14;08.08.2023;14:15:59;00:00:13;250,0;20,2;19,2;18,6;21,0;20,0;0,0;796,3;7,96E2;-205,8;20,00;3,0;3,0;40,51;0,38;0,003;0,0;0,01;0,049
15;08.08.2023;14:16:00;00:00:14;250,0;20,1;19,2;18,6;21,0;20,0;0,0;762,9;7,63E2;-240,7;20,00;3,0;3,0;40,51;0,38;0,003;0,0;0,01;0,049
16;08.08.2023;14:16:01;00:00:15;250,0;20,1;19,2;18,4;21,0;20,0;0,0;746,4;7,46E2;-255,8;20,00;3,0;3,0;40,51;0,38;0,003;0,0;0,00;0,049
17;08.08.2023;14:16:02;00:00:16;250,0;20,1;19,2;18,4;21,0;20,0;0,0;714,3;7,14E2;-289,6;20,00;3,0;3,0;40,51;0,38;0,009;0,0;0,00;0,049
18;08.08.2023;14:16:03;00:00:17;250,0;20,0;19,2;18,2;21,0;20,0;0,0;684,8;6,85E2;-319,2;20,00;3,0;3,0;40,51;0,38;0,019;0,0;0,01;0,049
19;08.08.2023;14:16:04;00:00:18;250,0;20,0;19,2;18,2;21,0;20,0;0,0;671,8;6,72E2;-332,3;20,00;3,0;3,0;40,51;0,38;0,025;0,0;0,01;0,049
20;08.08.2023;14:16:05;00:00:19;250,0;19,9;19,2;17,9;21,0;20,0;0,0;644,3;6,44E2;-359,6;20,00;3,0;3,0;40,51;0,38;0,033;0,0;0,01;0,049
21;08.08.2023;14:16:06;00:00:20;250,0;19,9;19,2;17,9;21,0;20,0;0,0;619,5;6,19E2;-383,7;20,00;3,0;3,0;40,51;0,38;0,039;0,0;0,01;0,049
22;08.08.2023;14:16:07;00:00:21;250,0;19,9;19,2;17,5;21,0;20,0;0,0;607,5;6,08E2;-397,1;20,00;3,0;3,0;40,51;0,39;0,044;0,0;0,01;0,049
23;08.08.2023;14:16:08;00:00:22;250,0;19,9;19,2;17,5;21,0;20,0;0,0;582,0;5,82E2;-421,4;20,00;3,0;3,0;40,51;0,39;0,050;0,0;0,00;0,049
24;08.08.2023;14:16:09;00:00:23;250,0;19,8;19,2;17,0;21,0;20,0;0,0;559,6;5,60E2;-444,6;20,00;3,0;3,0;40,51;0,39;0,048;0,0;0,00;0,049
25;08.08.2023;14:16:10;00:00:24;250,0;19,8;19,2;17,0;21,0;20,0;0,0;548,1;5,48E2;-455,0;20,00;3,0;3,0;40,52;0,39;0,052;0,0;0,01;0,049
26;08.08.2023;14:16:11;00:00:25;250,0;19,8;19,2;16,5;21,0;20,0;0,0;526,4;5,26E2;-476,8;20,00;3,0;3,0;40,52;0,39;0,062;0,0;0,00;0,049
27;08.08.2023;14:16:12;00:00:26;250,0;19,7;19,2;16,5;21,0;20,0;0,0;515,9;5,16E2;-486,5;20,00;3,0;3,0;40,52;0,39;0,061;0,0;0,01;0,049
28;08.08.2023;14:16:13;00:00:27;250,0;19,7;19,2;16,0;21,0;20,0;0,0;495,0;4,95E2;-508,5;20,00;3,0;3,0;40,52;0,39;0,055;0,0;0,01;0,049
29;08.08.2023;14:16:14;00:00:28;250,0;19,7;19,1;16,0;21,0;20,0;0,0;476,0;4,76E2;-526,6;20,00;3,0;3,0;40,52;0,39;0,056;0,0;0,01;0,049
30;08.08.2023;14:16:15;00:00:29;250,0;19,5;19,1;15,8;20,9;20,0;0,0;466,9;4,67E2;-536,8;20,00;3,0;3,0;40,52;0,39;0,059;0,0;0,01;0,049
31;08.08.2023;14:16:16;00:00:30;250,0;19,5;19,1;15,3;20,9;20,0;0,0;449,3;4,49E2;-541,2;20,00;3,0;3,0;40,52;0,39;0,059;0,0;0,01;0,049
32;08.08.2023;14:16:17;00:00:31;250,0;19,5;19,0;15,3;20,9;20,0;0,0;431,9;4,32E2;-541,2;20,00;3,0;3,0;40,52;0,39;0,054;0,0;0,01;0,049
33;08.08.2023;14:16:18;00:00:32;250,0;19,4;19,0;14,7;20,9;20,0;0,0;423,6;4,24E2;-541,2;20,00;3,0;3,0;40,52;0,39;0,053;0,0;0,00;0,049
34;08.08.2023;14:16:19;00:00:33;250,0;19,4;19,0;14,7;20,9;20,0;0,0;405,8;4,06E2;-541,2;20,00;3,0;3,0;40,52;0,40;0,058;0,0;0,00;0,049
35;08.08.2023;14:16:20;00:00:34;250,0;19,3;19,0;14,2;20,9;20,0;0,0;390,2;3,90E2;-541,2;20,00;3,0;3,0;40,53;0,40;0,061;0,0;0,00;0,049
36;08.08.2023;14:16:21;00:00:35;250,0;19,3;19,0;13,7;20,9;20,0;0,0;382,7;3,83E2;-541,2;20,00;3,0;3,0;40,53;0,40;0,060;0,0;0,00;0,049
37;08.08.2023;14:16:22;00:00:36;250,0;19,2;19,0;13,7;20,9;20,0;0,0;367,8;3,68E2;-541,2;20,00;3,0;2,9;40,53;0,40;0,058;0,0;0,01;0,049
38;08.08.2023;14:16:23;00:00:37;250,0;19,2;19,0;13,3;20,9;20,0;0,0;353,1;3,53E2;-541,2;20,00;3,0;3,0;40,53;0,40;0,065;0,0;0,00;0,049
39;08.08.2023;14:16:24;00:00:38;250,0;19,2;19,0;13,3;20,9;20,0;0,0;346,8;3,47E2;-541,2;20,00;3,0;3,0;40,53;0,40;0,063;0,0;0,00;0,049
40;08.08.2023;14:16:25;00:00:39;250,0;19,1;19,0;12,9;20,9;20,0;0,0;332,6;3,33E2;-541,2;20,00;3,0;3,0;40,53;0,40;0,058;0,0;0,01;0,049
41;08.08.2023;14:16:26;00:00:40;250,0;19,1;19,0;12,9;20,9;20,0;0,0;326,0;3,26E2;-541,2;20,00;3,0;3,0;40,53;0,40;0,059;0,0;0,00;0,049
42;08.08.2023;14:16:27;00:00:41;250,0;19,1;19,0;12,9;20,9;20,0;0,0;313,7;3,14E2;-541,2;20,00;3,0;3,0;40,53;0,41;0,065;0,0;0,01;0,049
43;08.08.2023;14:16:28;00:00:42;250,0;19,1;19,0;12,6;20,9;20,0;0,0;301,6;3,02E2;-541,2;20,00;3,0;3,0;40,53;0,41;0,064;0,0;0,01;0,049
44;08.08.2023;14:16:29;00:00:43;250,0;19,1;19,0;12,3;20,9;20,0;0,0;295,8;2,96E2;-541,2;20,00;3,0;3,0;40,53;0,41;0,063;0,0;0,00;0,049
45;08.08.2023;14:16:30;00:00:44;250,0;19,1;19,0;12,3;20,9;20,0;0,0;284,3;2,84E2;-541,2;20,00;3,0;3,0;40,53;0,41;0,060;0,0;0,01;0,049
46;08.08.2023;14:16:31;00:00:45;250,0;19,0;19,0;12,0;20,9;20,0;0,0;272,4;2,72E2;-541,2;20,00;3,0;3,0;40,54;0,41;0,060;0,0;0,01;0,049
47;08.08.2023;14:16:32;00:00:46;250,0;19,0;19,0;12,0;20,9;20,0;0,0;267,3;2,67E2;-541,2;20,00;3,0;3,0;40,54;0,41;0,067;0,0;0,01;0,049
48;08.08.2023;14:16:33;00:00:47;250,0;19,0;19,0;11,8;20,9;20,0;0,0;257,0;2,57E2;-541,2;20,00;3,0;3,0;40,54;0,41;0,066;0,0;0,01;0,049
49;08.08.2023;14:16:34;00:00:48;250,0;19,0;18,8;11,8;20,9;20,0;0,0;247,2;2,47E2;-541,2;20,00;3,0;3,0;40,54;0,41;0,066;0,0;0,01;0,049
50;08.08.2023;14:16:35;00:00:49;250,0;18,8;18,8;11,6;20,8;20,0;0,0;242,3;2,42E2;-541,2;20,00;3,0;3,0;40,54;0,41;0,063;0,0;0,00;0,049
51;08.08.2023;14:16:36;00:00:50;250,0;18,7;18,8;11,4;20,8;20,0;0,0;233,2;2,33E2;-541,2;20,00;3,0;3,0;40,54;0,41;0,060;0,0;0,01;0,049
52;08.08.2023;14:16:37;00:00:51;250,0;18,7;18,8;11,3;20,8;20,0;0,0;223,5;2,24E2;-541,2;20,00;3,0;3,0;40,54;0,42;0,060;0,0;0,01;0,049
53;08.08.2023;14:16:38;00:00:52;250,0;18,7;18,8;11,3;20,8;20,0;0,0;219,3;2,19E2;-541,2;20,00;3,0;3,0;40,54;0,42;0,061;0,0;0,01;0,049
54;08.08.2023;14:16:39;00:00:53;250,0;18,7;18,8;11,2;20,8;20,0;0,0;210,8;2,11E2;-541,2;20,00;3,0;3,0;40,54;0,42;0,063;0,0;0,01;0,049
