Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;11.08.2023;11:16:16;00:00:00;250,0;26,1;18,7;17,9;20,4;20,0;0,0;0,4;4,25E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,002;0,0;0,01;0,049
2;11.08.2023;11:16:17;00:00:01;250,0;25,9;18,7;17,9;20,4;20,0;0,0;0,4;4,25E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,001;0,0;0,01;0,049
3;11.08.2023;11:16:18;00:00:02;250,0;25,9;18,8;18,0;20,5;20,0;0,0;0,4;4,27E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,01;0,054
4;11.08.2023;11:16:19;00:00:03;250,0;25,9;18,8;18,0;20,5;20,0;0,0;0,4;4,27E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,01;0,051
5;11.08.2023;11:16:20;00:00:04;250,0;25,7;18,8;18,0;20,5;20,0;0,0;0,4;4,29E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,001;0,0;0,01;0,051
6;11.08.2023;11:16:21;00:00:05;250,0;25,7;18,8;18,0;20,5;20,0;0,0;0,4;4,30E-1;-541,2;20,00;3,0;3,0;38,86;0,39;-0,002;0,0;0,00;0,054
7;11.08.2023;11:16:22;00:00:06;250,0;25,5;18,8;18,0;20,4;20,0;0,0;0,4;4,31E-1;-541,2;20,00;3,0;3,0;38,86;0,39;-0,001;0,0;0,01;0,053
8;11.08.2023;11:16:23;00:00:07;250,0;25,4;18,8;18,0;20,4;20,0;0,0;0,4;4,32E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,01;0,053
9;11.08.2023;11:16:24;00:00:08;250,0;25,4;18,7;18,0;20,4;20,0;0,0;0,4;4,33E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,002;0,0;0,01;0,050
10;11.08.2023;11:16:25;00:00:09;250,0;25,4;18,7;18,0;20,4;20,0;0,0;0,4;4,33E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,01;0,051
11;11.08.2023;11:16:26;00:00:10;250,0;25,2;18,7;18,0;20,4;20,0;0,0;0,4;4,33E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,01;0,050
12;11.08.2023;11:16:27;00:00:11;250,0;25,0;18,7;18,0;20,4;20,0;0,0;0,4;4,32E-1;-541,2;20,00;3,0;3,0;38,86;0,39;-0,002;0,0;0,00;0,053
13;11.08.2023;11:16:28;00:00:12;250,0;25,0;18,7;18,0;20,4;20,0;0,0;0,4;4,32E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,001;0,0;0,00;0,051
14;11.08.2023;11:16:29;00:00:13;250,0;25,0;18,7;18,0;20,4;20,0;0,0;0,4;4,32E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,003;0,0;0,01;0,050
15;11.08.2023;11:16:30;00:00:14;250,0;24,8;18,7;18,0;20,4;20,0;0,0;0,4;4,31E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,002;0,0;0,00;0,052
16;11.08.2023;11:16:31;00:00:15;250,0;24,7;18,7;18,0;20,5;20,0;0,0;0,4;4,31E-1;-541,2;20,00;3,0;2,9;38,86;0,39;-0,001;0,0;0,00;0,049
17;11.08.2023;11:16:32;00:00:16;250,0;24,7;18,7;18,0;20,5;20,0;0,0;0,4;4,13E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,001;0,0;0,01;0,052
18;11.08.2023;11:16:33;00:00:17;250,0;24,5;18,7;18,0;20,5;20,0;0,0;0,4;4,07E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,001;0,0;0,00;0,053
19;11.08.2023;11:16:34;00:00:18;250,0;24,5;18,7;18,0;20,5;20,0;0,0;0,4;3,95E-1;-541,2;20,00;3,0;3,0;38,86;0,39;-0,001;0,0;0,01;0,050
20;11.08.2023;11:16:35;00:00:19;250,0;24,3;18,7;18,0;20,4;20,0;0,0;0,4;3,83E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,003;0,0;0,00;0,054
21;11.08.2023;11:16:36;00:00:20;250,0;24,3;18,7;18,0;20,4;20,0;0,0;0,4;3,77E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,003;0,0;0,00;0,053
22;11.08.2023;11:16:37;00:00:21;250,0;24,2;18,7;18,0;20,5;20,0;0,0;0,4;3,66E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,001;0,0;0,00;0,050
23;11.08.2023;11:16:38;00:00:22;250,0;23,9;18,5;17,8;20,2;20,0;0,0;0,4;3,57E-1;-541,2;20,00;3,0;2,9;38,86;0,39;-0,001;0,0;0,01;0,053
24;11.08.2023;11:16:39;00:00:23;250,0;23,8;18,5;17,8;20,2;20,0;0,0;0,4;3,53E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,002;0,0;0,01;0,054
25;11.08.2023;11:16:40;00:00:24;250,0;23,8;18,5;17,8;20,2;20,0;0,0;0,3;3,45E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,00;0,049
26;11.08.2023;11:16:41;00:00:25;250,0;23,6;18,5;17,8;20,2;20,0;0,0;0,3;3,36E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,001;0,0;0,00;0,053
27;11.08.2023;11:16:42;00:00:26;250,0;23,6;18,5;17,8;20,2;20,0;0,0;0,3;3,32E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,001;0,0;0,01;0,052
28;11.08.2023;11:16:43;00:00:27;250,0;23,6;18,5;17,8;20,2;20,0;0,0;0,3;3,24E-1;-541,2;20,00;3,0;3,1;38,86;0,39;0,004;0,0;0,01;0,053
29;11.08.2023;11:16:44;00:00:28;250,0;23,4;18,5;17,8;20,2;20,0;0,0;0,3;3,21E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,003;0,0;0,00;0,049
30;11.08.2023;11:16:45;00:00:29;250,0;23,4;18,5;17,8;20,2;20,0;0,0;0,3;3,13E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,004;0,0;0,00;0,051
31;11.08.2023;11:16:46;00:00:30;250,0;23,3;18,4;17,8;20,2;20,0;0,0;0,3;3,06E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,001;0,0;0,00;0,053
32;11.08.2023;11:16:47;00:00:31;250,0;23,3;18,5;17,8;20,2;20,0;0,0;0,3;3,02E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,003;0,0;0,01;0,049
33;11.08.2023;11:16:48;00:00:32;250,0;23,2;18,5;17,8;20,2;20,0;0,0;0,3;2,95E-1;-541,2;20,00;3,0;2,9;38,86;0,39;-0,001;0,0;0,00;0,052
34;11.08.2023;11:16:49;00:00:33;250,0;23,2;18,5;17,8;20,2;20,0;0,0;0,3;2,89E-1;-541,2;20,00;3,0;2,9;38,86;0,39;0,000;0,0;0,00;0,049
35;11.08.2023;11:16:50;00:00:34;250,0;23,1;18,5;17,8;20,2;20,0;0,0;0,3;2,86E-1;-541,2;20,00;3,0;3,0;38,86;0,39;-0,001;0,0;0,01;0,051
36;11.08.2023;11:16:51;00:00:35;250,0;22,9;18,5;17,8;20,2;20,0;0,0;0,3;2,79E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,002;0,0;0,01;0,053
37;11.08.2023;11:16:52;00:00:36;250,0;22,9;18,5;17,8;20,2;20,0;0,0;0,3;2,73E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,005;0,0;0,00;0,049
38;11.08.2023;11:16:53;00:00:37;250,0;22,9;18,5;17,8;20,2;20,0;0,0;0,3;2,69E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,006;0,0;0,00;0,049
39;11.08.2023;11:16:54;00:00:38;250,0;22,8;18,5;17,8;20,2;20,0;0,0;0,3;2,63E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,006;0,0;0,00;0,052
40;11.08.2023;11:16:55;00:00:39;250,0;22,7;18,5;17,8;20,2;20,0;0,0;0,3;2,58E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,003;0,0;0,00;0,049
41;11.08.2023;11:16:56;00:00:40;250,0;22,7;18,5;17,8;20,2;20,0;0,0;0,3;2,55E-1;-541,2;20,00;3,0;3,1;38,86;0,39;0,003;0,0;0,00;0,053
42;11.08.2023;11:16:57;00:00:41;250,0;22,6;18,5;17,8;20,2;20,3;0,0;0,3;2,50E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,00;0,050
43;11.08.2023;11:16:58;00:00:42;250,0;22,6;18,5;17,8;20,2;20,8;0,0;0,2;2,47E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,01;0,050
44;11.08.2023;11:16:59;00:00:43;250,0;22,3;18,3;17,7;20,1;22,0;0,0;0,2;2,43E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,01;0,053
45;11.08.2023;11:17:00;00:00:44;250,0;22,3;18,3;17,7;20,1;23,1;0,1;0,2;2,38E-1;-541,2;20,00;3,0;2,9;38,86;0,39;0,001;0,0;0,01;0,051
46;11.08.2023;11:17:01;00:00:45;250,0;22,3;18,3;17,7;20,1;23,7;0,1;0,2;2,36E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,00;0,050
47;11.08.2023;11:17:02;00:00:46;250,0;22,2;18,3;17,7;20,1;24,8;0,2;0,2;2,32E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,001;0,0;0,01;0,050
48;11.08.2023;11:17:03;00:00:47;250,0;22,1;18,3;17,7;20,1;25,9;0,3;0,2;2,29E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,003;0,0;0,00;0,049
49;11.08.2023;11:17:04;00:00:48;250,0;22,1;18,3;17,7;20,1;26,4;0,4;0,2;2,27E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,002;0,0;0,01;0,049
50;11.08.2023;11:17:05;00:00:49;250,0;22,1;18,3;17,7;20,1;27,6;0,5;0,2;2,23E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,004;0,0;0,01;0,051
51;11.08.2023;11:17:06;00:00:50;250,0;21,9;18,3;17,7;20,1;28,7;0,6;0,2;2,20E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,002;0,0;0,01;0,049
52;11.08.2023;11:17:07;00:00:51;250,0;21,9;18,3;17,7;20,1;29,3;0,7;0,2;2,18E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,001;0,0;0,00;0,050
53;11.08.2023;11:17:08;00:00:52;250,0;21,9;18,3;17,7;20,1;30,4;0,8;0,2;2,15E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,004;0,0;0,00;0,051
54;11.08.2023;11:17:09;00:00:53;250,0;21,8;18,3;17,7;20,1;31,5;0,9;0,2;2,11E-1;-541,2;20,00;3,0;2,9;38,86;0,39;-0,001;0,0;0,01;0,049
55;11.08.2023;11:17:10;00:00:54;250,0;21,8;18,3;17,7;20,1;32,0;0,9;0,2;2,10E-1;-541,2;20,00;3,0;2,9;38,86;0,39;-0,001;0,0;0,00;0,049
56;11.08.2023;11:17:11;00:00:55;250,0;21,7;18,3;17,7;20,1;33,2;1,1;0,2;2,06E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,002;0,0;0,00;0,049
57;11.08.2023;11:17:12;00:00:56;250,0;21,7;18,3;17,7;20,1;33,8;1,1;0,2;2,05E-1;-541,2;20,00;3,0;3,1;38,86;0,40;0,001;0,0;0,00;0,052
58;11.08.2023;11:17:13;00:00:57;250,0;21,6;18,3;17,7;20,1;34,9;1,2;0,2;2,02E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,004;0,0;0,01;0,049
59;11.08.2023;11:17:14;00:00:58;250,0;21,6;18,3;17,7;20,1;36,0;1,3;0,2;1,99E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,001;0,0;0,01;0,051
60;11.08.2023;11:17:15;00:00:59;250,0;21,6;18,3;17,7;20,1;36,5;1,4;0,2;1,98E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,00;0,049
61;11.08.2023;11:17:16;00:01:00;250,0;21,5;18,3;17,7;20,1;37,6;1,5;0,2;1,95E-1;-541,2;20,00;3,0;2,9;38,86;0,39;-0,001;0,0;0,01;0,049
62;11.08.2023;11:17:17;00:01:01;250,0;21,4;18,3;17,7;20,1;38,8;1,6;0,2;1,92E-1;-541,2;20,00;3,0;3,0;38,86;0,39;-0,001;0,0;0,01;0,051
63;11.08.2023;11:17:18;00:01:02;250,0;21,4;18,4;17,7;20,1;39,3;1,7;0,2;1,91E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,01;0,051
64;11.08.2023;11:17:19;00:01:03;250,0;21,4;18,4;17,8;20,2;40,4;1,8;0,2;1,88E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,00;0,051
65;11.08.2023;11:17:20;00:01:04;250,0;21,4;18,3;17,8;20,2;41,5;1,9;0,2;1,86E-1;-541,2;20,00;3,0;3,0;38,86;0,39;-0,001;0,0;0,00;0,054
66;11.08.2023;11:17:21;00:01:05;250,0;21,4;18,3;17,8;20,2;42,1;2,0;0,2;1,84E-1;-541,2;20,00;3,0;3,0;38,86;0,39;-0,001;0,0;0,00;0,053
67;11.08.2023;11:17:22;00:01:06;250,0;21,3;18,3;17,8;20,2;43,2;2,1;0,2;1,82E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,01;0,050
68;11.08.2023;11:17:23;00:01:07;250,0;21,3;18,3;17,8;20,2;43,8;2,2;0,2;1,81E-1;-541,2;20,00;3,0;3,0;38,86;0,39;-0,001;0,0;0,00;0,052
69;11.08.2023;11:17:24;00:01:08;250,0;21,2;18,3;17,8;20,2;44,9;2,3;0,2;1,78E-1;-541,2;20,00;3,0;2,9;38,86;0,39;-0,002;0,0;0,00;0,053
70;11.08.2023;11:17:25;00:01:09;250,0;21,2;18,3;17,8;20,2;46,0;2,4;0,2;1,76E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,003;0,0;0,01;0,049
71;11.08.2023;11:17:26;00:01:10;250,0;21,1;18,3;17,8;20,2;46,6;2,5;0,2;1,75E-1;-541,2;20,00;3,0;3,1;38,86;0,39;0,002;0,0;0,00;0,053
72;11.08.2023;11:17:27;00:01:11;250,0;21,0;18,3;17,8;20,2;47,7;2,6;0,2;1,73E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,001;0,0;0,00;0,053
73;11.08.2023;11:17:28;00:01:12;250,0;21,0;18,3;17,8;20,2;48,8;2,7;0,2;1,71E-1;-541,2;20,00;3,0;3,0;38,86;0,39;-0,001;0,0;0,00;0,049
74;11.08.2023;11:17:29;00:01:13;250,0;21,0;18,4;17,8;20,2;49,4;2,8;0,2;1,70E-1;-541,2;20,00;3,0;3,0;38,86;0,39;-0,003;0,0;0,00;0,053
75;11.08.2023;11:17:30;00:01:14;250,0;20,9;18,4;17,8;20,2;50,5;2,9;0,2;1,68E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,000;0,0;0,01;0,053
76;11.08.2023;11:17:31;00:01:15;250,0;20,9;18,4;17,8;20,2;51,6;3,1;0,2;1,66E-1;-541,2;20,00;3,0;3,0;38,86;0,39;0,003;0,0;0,00;0,054
77;11.08.2023;11:17:32;00:01:16;250,0;20,9;18,4;17,8;20,2;52,2;3,1;0,2;1,65E-1;-541,2;20,00;3,0;3,0;38,86;0,39;-0,001;0,0;0,01;0,054
