Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;12.07.2023;18:10:15;00:00:00;250,0;23,3;19,8;18,4;20,1;20,0;0,0;997,7;9,98E2;-4,0;20,00;3,0;3,0;37,63;0,61;-0,068;0,0;0,00;0,049
2;12.07.2023;18:10:16;00:00:01;250,0;23,3;19,8;18,4;20,1;20,0;0,0;997,6;9,98E2;-4,3;20,00;3,0;3,0;37,63;0,61;-0,056;0,0;0,00;0,049
3;12.07.2023;18:10:17;00:00:02;250,0;23,2;19,8;18,4;20,1;20,0;0,0;997,6;9,98E2;-4,3;20,00;3,0;3,0;37,63;0,61;-0,051;0,0;0,00;0,049
4;12.07.2023;18:10:18;00:00:03;250,0;23,2;19,8;18,4;20,1;20,0;0,0;997,5;9,97E2;-4,3;20,00;3,0;3,0;37,63;0,61;-0,036;0,0;0,01;0,049
5;12.07.2023;18:10:19;00:00:04;250,0;23,1;19,8;18,4;20,1;20,0;0,0;997,4;9,97E2;-4,3;20,00;3,0;3,0;37,63;0,61;-0,030;0,0;0,00;0,049
6;12.07.2023;18:10:20;00:00:05;250,0;23,0;19,8;18,4;20,1;20,0;0,0;997,4;9,97E2;-4,5;20,00;3,0;3,0;37,63;0,61;-0,021;0,0;0,00;0,049
7;12.07.2023;18:10:21;00:00:06;250,0;23,0;19,8;18,4;20,1;20,0;0,0;997,3;9,97E2;-4,6;20,00;3,0;3,0;37,63;0,61;-0,017;0,0;0,00;0,049
8;12.07.2023;18:10:22;00:00:07;250,0;23,0;19,8;18,4;20,1;20,0;0,0;997,3;9,97E2;-4,6;20,00;3,0;3,0;37,63;0,61;-0,014;0,0;0,00;0,049
9;12.07.2023;18:10:23;00:00:08;250,0;22,8;19,8;18,4;20,1;20,0;0,0;978,0;9,78E2;-18,6;20,00;3,0;3,0;37,63;0,61;-0,007;0,0;0,00;0,049
10;12.07.2023;18:10:24;00:00:09;250,0;22,7;19,8;18,4;20,1;20,0;0,0;927,5;9,27E2;-71,9;20,00;3,0;3,0;37,63;0,61;-0,006;0,0;0,00;0,049
11;12.07.2023;18:10:25;00:00:10;250,0;22,7;19,8;18,4;20,1;20,0;0,0;903,2;9,03E2;-94,8;20,00;3,0;3,0;37,63;0,61;-0,003;0,0;0,01;0,049
12;12.07.2023;18:10:26;00:00:11;250,0;22,7;19,8;18,4;20,1;20,0;0,0;858,2;8,58E2;-141,3;20,00;3,0;3,0;37,63;0,61;-0,002;0,0;0,01;0,049
13;12.07.2023;18:10:27;00:00:12;250,0;22,6;19,8;18,4;20,1;20,0;0,0;820,5;8,21E2;-176,5;20,00;3,0;3,0;37,63;0,61;0,001;0,0;0,00;0,049
14;12.07.2023;18:10:28;00:00:13;250,0;22,4;19,8;18,4;20,1;20,0;0,0;803,4;8,03E2;-196,5;20,00;3,0;3,0;37,63;0,61;0,003;0,0;0,01;0,049
15;12.07.2023;18:10:29;00:00:14;250,0;22,4;19,8;18,4;20,1;20,0;0,0;768,7;7,69E2;-229,4;20,00;3,0;3,0;37,63;0,61;0,006;0,0;0,00;0,049
16;12.07.2023;18:10:30;00:00:15;250,0;22,3;19,8;18,4;20,1;20,0;0,0;736,2;7,36E2;-263,0;20,00;3,0;3,0;37,63;0,61;0,016;0,0;0,00;0,049
