Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;14.07.2023;10:09:27;00:00:00;250,0;22,4;20,0;18,6;19,5;20,0;0,0;1001,4;1,00E3;-7,0;20,00;3,0;3,0;36,28;0,03;0,001;0,0;0,01;0,049
2;14.07.2023;10:09:28;00:00:01;250,0;22,4;20,0;18,6;19,5;20,0;0,0;1001,4;1,00E3;-7,0;20,00;3,0;3,0;36,28;0,03;0,001;0,0;0,01;0,049
3;14.07.2023;10:09:29;00:00:02;250,0;22,3;20,0;18,6;19,5;20,0;0,0;1001,4;1,00E3;-7,0;20,00;3,0;3,0;36,28;0,03;0,001;0,0;0,00;0,052
4;14.07.2023;10:09:30;00:00:03;250,0;22,3;20,0;18,6;19,5;20,0;0,0;1001,4;1,00E3;-7,0;20,00;3,0;3,0;36,28;0,03;-0,001;0,0;0,01;0,049
5;14.07.2023;10:09:31;00:00:04;250,0;22,2;20,0;18,6;19,5;20,0;0,0;1001,4;1,00E3;-7,0;20,00;3,0;3,0;36,28;0,03;0,001;0,0;0,01;0,049
6;14.07.2023;10:09:32;00:00:05;250,0;22,1;20,0;18,6;19,5;20,0;0,0;1001,3;1,00E3;-7,0;20,00;3,0;3,0;36,28;0,03;-0,001;0,0;0,00;0,049
7;14.07.2023;10:09:33;00:00:06;250,0;22,1;20,0;18,6;19,5;20,0;0,0;1001,3;1,00E3;-7,0;20,00;3,0;3,0;36,28;0,03;0,001;0,0;0,00;0,049
8;14.07.2023;10:09:34;00:00:07;250,0;22,0;20,0;18,6;19,5;20,0;0,0;1001,4;1,00E3;-7,0;20,00;3,0;3,0;36,28;0,03;0,003;0,0;0,00;0,049
9;14.07.2023;10:09:35;00:00:08;250,0;22,0;20,0;18,6;19,5;20,0;0,0;990,9;9,91E2;-11,4;20,00;3,0;3,0;36,28;0,03;0,001;0,0;0,00;0,051
10;14.07.2023;10:09:36;00:00:09;250,0;22,0;20,0;18,6;19,5;20,0;0,0;965,4;9,65E2;-41,7;20,00;3,0;3,0;36,28;0,03;-0,001;0,0;0,00;0,049
11;14.07.2023;10:09:37;00:00:10;250,0;22,0;20,0;18,6;19,5;20,0;0,0;915,1;9,15E2;-88,9;20,00;3,0;3,0;36,28;0,03;0,003;0,0;0,00;0,049
12;14.07.2023;10:09:38;00:00:11;250,0;22,0;20,0;18,6;19,5;20,0;0,0;869,7;8,70E2;-136,2;20,00;3,0;3,0;36,28;0,03;0,037;0,0;0,00;0,049
13;14.07.2023;10:09:39;00:00:12;250,0;21,9;20,0;18,6;19,5;20,0;0,0;847,5;8,48E2;-156,7;20,00;3,0;3,0;36,28;0,03;0,057;0,0;0,01;0,051
14;14.07.2023;10:09:40;00:00:13;250,0;21,8;20,0;18,6;19,5;20,0;0,0;807,2;8,07E2;-199,5;20,00;3,0;3,0;36,29;0,04;0,086;0,0;0,01;0,049
15;14.07.2023;10:09:41;00:00:14;250,0;21,8;20,0;18,6;19,5;20,0;0,0;772,9;7,73E2;-232,2;20,00;3,0;3,0;36,29;0,04;0,105;0,0;0,00;0,049
