Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;18.07.2023;13:10:11;00:00:00;250,0;23,1;19,2;18,6;22,6;20,0;0,0;1006,7;1,01E3;-4,3;20,00;3,0;3,0;39,58;0,00;0,003;0,0;0,01;0,045
2;18.07.2023;13:10:12;00:00:01;250,0;23,0;19,2;18,6;22,6;20,0;0,0;1006,5;1,01E3;-4,6;20,00;3,0;3,0;39,58;0,00;-0,001;0,0;0,00;0,047
3;18.07.2023;13:10:13;00:00:02;250,0;22,8;19,2;18,5;22,6;20,0;0,0;1006,4;1,01E3;-4,6;20,00;3,0;2,9;39,58;0,00;0,000;0,0;0,00;0,044
4;18.07.2023;13:10:14;00:00:03;250,0;22,8;19,2;18,5;22,6;20,0;0,0;1006,3;1,01E3;-4,7;20,00;3,0;3,0;39,58;0,00;0,000;0,0;0,00;0,046
5;18.07.2023;13:10:15;00:00:04;250,0;22,7;19,2;18,5;22,5;20,0;0,0;1006,2;1,01E3;-4,9;20,00;3,0;3,0;39,58;0,00;-0,003;0,0;0,01;0,044
6;18.07.2023;13:10:16;00:00:05;250,0;22,7;19,2;18,5;22,5;20,0;0,0;1006,1;1,01E3;-4,9;20,00;3,0;3,0;39,58;0,00;-0,001;0,0;0,00;0,044
7;18.07.2023;13:10:17;00:00:06;250,0;22,6;19,2;18,5;22,5;20,0;0,0;1006,0;1,01E3;-4,9;20,00;3,0;3,0;39,58;0,00;-0,002;0,0;0,00;0,044
8;18.07.2023;13:10:18;00:00:07;250,0;22,4;19,2;18,5;22,5;20,0;0,0;1005,7;1,01E3;-4,9;20,00;3,0;3,0;39,58;0,00;-0,001;0,0;0,00;0,044
9;18.07.2023;13:10:19;00:00:08;250,0;22,4;19,2;18,5;22,5;20,0;0,0;947,0;9,47E2;-58,5;20,00;3,0;3,0;39,58;0,00;0,002;0,0;0,00;0,044
10;18.07.2023;13:10:20;00:00:09;250,0;22,4;19,2;18,5;22,5;20,0;0,0;921,9;9,22E2;-86,1;20,00;3,0;3,0;39,58;0,00;0,002;0,0;0,00;0,046
11;18.07.2023;13:10:21;00:00:10;250,0;22,3;19,2;18,5;22,5;20,0;0,0;876,5;8,76E2;-130,1;20,00;3,0;3,0;39,58;0,00;0,005;0,0;0,00;0,044
12;18.07.2023;13:10:22;00:00:11;250,0;22,3;19,2;18,5;22,5;20,0;0,0;854,7;8,55E2;-154,1;20,00;3,0;3,0;39,59;0,00;0,009;0,0;0,00;0,044
13;18.07.2023;13:10:23;00:00:12;250,0;22,2;19,2;18,5;22,5;20,0;0,0;815,4;8,15E2;-191,8;20,00;3,0;3,0;39,59;0,00;0,023;0,0;0,00;0,044
14;18.07.2023;13:10:24;00:00:13;250,0;22,2;19,2;18,4;22,5;20,0;0,0;781,2;7,81E2;-228,0;20,00;3,0;3,0;39,59;0,01;0,042;0,0;0,00;0,044
15;18.07.2023;13:10:25;00:00:14;250,0;22,1;19,2;18,4;22,5;20,0;0,0;761,3;7,61E2;-246,2;20,00;3,0;3,0;39,59;0,01;0,049;0,0;0,00;0,045
16;18.07.2023;13:10:26;00:00:15;250,0;22,0;19,2;18,4;22,5;20,0;0,0;730,6;7,31E2;-278,5;20,00;3,0;3,0;39,59;0,01;0,065;0,0;0,00;0,044
17;18.07.2023;13:10:27;00:00:16;250,0;22,0;19,2;18,4;22,5;20,0;0,0;701,3;7,01E2;-306,8;20,00;3,0;3,0;39,59;0,01;0,069;0,0;0,00;0,044
18;18.07.2023;13:10:28;00:00:17;250,0;21,8;19,0;18,2;22,4;20,0;0,0;687,2;6,87E2;-322,6;20,00;3,0;3,0;39,59;0,01;0,069;0,0;0,01;0,044
19;18.07.2023;13:10:29;00:00:18;250,0;21,7;19,0;18,1;22,4;20,0;0,0;659,6;6,60E2;-348,6;20,00;3,0;3,0;39,60;0,01;0,074;0,0;0,00;0,045
20;18.07.2023;13:10:30;00:00:19;250,0;21,7;19,0;18,0;22,4;20,0;0,0;633,0;6,33E2;-375,3;20,00;3,0;3,0;39,60;0,01;0,075;0,0;0,00;0,045
21;18.07.2023;13:10:31;00:00:20;250,0;21,6;19,0;18,0;22,4;20,0;0,0;618,9;6,19E2;-389,2;20,00;3,0;3,0;39,60;0,02;0,074;0,0;0,00;0,045
22;18.07.2023;13:10:32;00:00:21;250,0;21,6;19,0;18,0;22,4;20,0;0,0;594,8;5,95E2;-414,0;20,00;3,0;3,0;39,60;0,02;0,076;0,0;0,00;0,045
23;18.07.2023;13:10:33;00:00:22;250,0;21,4;19,0;17,9;22,4;20,0;0,0;571,8;5,72E2;-437,8;20,00;3,0;3,0;39,60;0,02;0,073;0,0;0,01;0,045
24;18.07.2023;13:10:34;00:00:23;250,0;21,4;19,0;17,9;22,4;20,0;0,0;560,7;5,61E2;-448,5;20,00;3,0;3,0;39,60;0,02;0,071;0,0;0,00;0,044
25;18.07.2023;13:10:35;00:00:24;250,0;21,3;19,0;17,7;22,4;20,0;0,0;538,1;5,38E2;-470,8;20,00;3,0;3,0;39,60;0,02;0,077;0,0;0,00;0,044
26;18.07.2023;13:10:36;00:00:25;250,0;21,3;19,0;17,7;22,4;20,0;0,0;528,3;5,28E2;-480,7;20,00;3,0;3,0;39,60;0,02;0,077;0,0;0,01;0,044
27;18.07.2023;13:10:37;00:00:26;250,0;21,2;19,0;17,5;22,4;20,0;0,0;506,4;5,06E2;-503,2;20,00;3,0;3,0;39,60;0,02;0,075;0,0;0,00;0,044
28;18.07.2023;13:10:38;00:00:27;250,0;21,2;19,0;17,4;22,4;20,0;0,0;486,7;4,87E2;-521,6;20,00;3,0;3,0;39,61;0,02;0,073;0,0;0,00;0,044
29;18.07.2023;13:10:39;00:00:28;250,0;21,1;19,0;17,4;22,4;20,0;0,0;477,4;4,77E2;-532,0;20,00;3,0;3,0;39,61;0,02;0,073;0,0;0,00;0,044
30;18.07.2023;13:10:40;00:00:29;250,0;21,1;19,0;17,4;22,4;20,0;0,0;458,4;4,58E2;-541,2;20,00;3,0;3,0;39,61;0,03;0,072;0,0;0,00;0,045
31;18.07.2023;13:10:41;00:00:30;250,0;21,0;19,0;17,2;22,4;20,0;0,0;441,5;4,41E2;-541,2;20,00;3,0;3,0;39,61;0,03;0,072;0,0;0,00;0,044
32;18.07.2023;13:10:42;00:00:31;250,0;21,0;19,0;17,2;22,4;20,0;0,0;431,7;4,32E2;-541,2;20,00;3,0;3,0;39,61;0,03;0,066;0,0;0,00;0,044
33;18.07.2023;13:10:43;00:00:32;250,0;20,9;19,0;17,1;22,4;20,0;0,0;414,8;4,15E2;-541,2;20,00;3,0;3,0;39,61;0,03;0,063;0,0;0,01;0,044
34;18.07.2023;13:10:44;00:00:33;250,0;20,9;19,0;17,1;22,4;20,0;0,0;398,8;3,99E2;-541,2;20,00;3,0;3,0;39,61;0,03;0,061;0,0;0,01;0,044
35;18.07.2023;13:10:45;00:00:34;250,0;20,8;19,0;17,0;22,4;20,0;0,0;391,2;3,91E2;-541,2;20,00;3,0;3,0;39,61;0,03;0,058;0,0;0,01;0,045
36;18.07.2023;13:10:46;00:00:35;250,0;20,7;19,0;16,9;22,4;20,0;0,0;376,3;3,76E2;-541,2;20,00;3,0;3,0;39,61;0,03;0,054;0,0;0,01;0,044
37;18.07.2023;13:10:47;00:00:36;250,0;20,7;19,0;16,9;22,4;20,0;0,0;369,0;3,69E2;-541,2;20,00;3,0;3,0;39,61;0,03;0,050;0,0;0,01;0,044
38;18.07.2023;13:10:48;00:00:37;250,0;20,4;18,7;16,6;22,1;20,0;0,0;353,5;3,54E2;-541,2;20,00;3,0;3,0;39,62;0,03;0,051;0,0;0,01;0,044
39;18.07.2023;13:10:49;00:00:38;250,0;20,3;18,7;16,5;22,1;20,0;0,0;340,0;3,40E2;-541,2;20,00;3,0;3,0;39,62;0,03;0,052;0,0;0,00;0,044
40;18.07.2023;13:10:50;00:00:39;250,0;20,3;18,7;16,5;22,1;20,0;0,0;333,4;3,33E2;-541,2;20,00;3,0;3,0;39,62;0,03;0,053;0,0;0,00;0,044
41;18.07.2023;13:10:51;00:00:40;250,0;20,2;18,7;16,4;22,1;20,0;0,0;320,7;3,21E2;-541,2;20,00;3,0;3,0;39,62;0,04;0,053;0,0;0,01;0,044
42;18.07.2023;13:10:52;00:00:41;250,0;20,2;18,7;16,4;22,1;20,0;0,0;308,4;3,08E2;-541,2;20,00;3,0;3,0;39,62;0,04;0,059;0,0;0,01;0,045
43;18.07.2023;13:10:53;00:00:42;250,0;20,1;18,7;16,3;22,1;20,0;0,0;302,6;3,03E2;-541,2;20,00;3,0;3,0;39,62;0,04;0,060;0,0;0,00;0,046
44;18.07.2023;13:10:54;00:00:43;250,0;20,1;18,7;16,3;22,1;20,0;0,0;290,9;2,91E2;-541,2;20,00;3,0;3,0;39,62;0,04;0,062;0,0;0,01;0,045
45;18.07.2023;13:10:55;00:00:44;250,0;20,0;18,7;16,3;22,1;20,0;0,0;278,9;2,79E2;-541,2;20,00;3,0;3,0;39,62;0,04;0,063;0,0;0,01;0,045
46;18.07.2023;13:10:56;00:00:45;250,0;20,0;18,7;16,3;22,1;20,0;0,0;273,5;2,74E2;-541,2;20,00;3,0;3,0;39,62;0,04;0,065;0,0;0,00;0,044
47;18.07.2023;13:10:57;00:00:46;250,0;20,0;18,7;16,3;22,1;20,0;0,0;263,0;2,63E2;-541,2;20,00;3,0;3,0;39,62;0,04;0,064;0,0;0,01;0,045
48;18.07.2023;13:10:58;00:00:47;250,0;20,0;18,7;16,2;22,1;20,0;0,0;253,0;2,53E2;-541,2;20,00;3,0;3,0;39,63;0,04;0,054;0,0;0,00;0,045
49;18.07.2023;13:10:59;00:00:48;250,0;19,9;18,7;16,2;22,1;20,0;0,0;248,1;2,48E2;-541,2;20,00;3,0;3,0;39,63;0,04;0,053;0,0;0,01;0,045
50;18.07.2023;13:11:00;00:00:49;250,0;19,9;18,7;16,2;22,1;20,0;0,0;238,8;2,39E2;-541,2;20,00;3,0;3,0;39,63;0,04;0,050;0,0;0,00;0,045
