Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;11.08.2023;12:41:44;00:00:00;250,0;20,7;18,9;19,8;23,0;20,0;0,0;1010,8;1,01E3;-2,1;20,00;3,0;3,0;38,22;0,01;0,004;0,0;0,00;0,049
2;11.08.2023;12:41:45;00:00:01;250,0;20,7;18,9;19,8;23,0;20,0;0,0;1010,7;1,01E3;-2,3;20,00;3,0;3,0;38,22;0,01;0,005;0,0;0,01;0,049
3;11.08.2023;12:41:46;00:00:02;250,0;20,7;18,9;19,8;23,0;20,0;0,0;1010,7;1,01E3;-2,3;20,00;3,0;3,0;38,22;0,01;0,005;0,0;0,01;0,049
4;11.08.2023;12:41:47;00:00:03;250,0;20,5;18,9;19,8;22,9;20,0;0,0;1010,5;1,01E3;-2,4;20,00;3,0;3,0;38,22;0,01;0,001;0,0;0,01;0,049
5;11.08.2023;12:41:48;00:00:04;250,0;20,5;18,8;19,7;22,9;20,0;0,0;1010,5;1,01E3;-2,4;20,00;3,0;3,0;38,22;0,01;0,004;0,0;0,00;0,049
6;11.08.2023;12:41:49;00:00:05;250,0;20,4;18,8;19,7;22,9;20,0;0,0;1010,5;1,01E3;-2,4;20,00;3,0;3,0;38,22;0,01;0,002;0,0;0,00;0,049
7;11.08.2023;12:41:50;00:00:06;250,0;20,3;18,8;19,6;22,9;20,0;0,0;1010,4;1,01E3;-2,4;20,00;3,0;3,0;38,22;0,01;-0,002;0,0;0,00;0,049
8;11.08.2023;12:41:51;00:00:07;250,0;20,3;18,8;19,6;22,9;20,0;0,0;1009,3;1,01E3;-2,4;20,00;3,0;3,0;38,22;0,01;0,001;0,0;0,01;0,049
9;11.08.2023;12:41:52;00:00:08;250,0;20,3;18,8;19,6;22,9;20,0;0,0;982,3;9,82E2;-29,6;20,00;3,0;3,0;38,22;0,01;0,000;0,0;0,01;0,049
10;11.08.2023;12:41:53;00:00:09;250,0;20,2;18,8;19,6;22,9;20,0;0,0;929,8;9,30E2;-78,9;20,00;3,0;3,0;38,22;0,01;0,003;0,0;0,00;0,049
11;11.08.2023;12:41:54;00:00:10;250,0;20,2;18,8;19,6;22,9;20,0;0,0;907,0;9,07E2;-101,5;20,00;3,0;3,0;38,22;0,01;0,002;0,0;0,00;0,049
12;11.08.2023;12:41:55;00:00:11;250,0;20,1;18,8;19,5;22,9;20,0;0,0;863,5;8,63E2;-146,4;20,00;3,0;3,0;38,22;0,01;0,006;0,0;0,00;0,049
13;11.08.2023;12:41:56;00:00:12;250,0;20,1;18,8;19,5;22,9;20,0;0,0;823,3;8,23E2;-188,0;20,00;3,0;3,0;38,22;0,01;0,032;0,0;0,01;0,049
