Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;18.07.2023;17:22:04;00:00:00;250,0;20,2;19,3;18,5;20,3;20,0;0,0;1002,2;1,00E3;-5,2;20,00;3,0;3,0;39,59;0,01;0,005;0,0;0,01;0,049
2;18.07.2023;17:22:05;00:00:01;250,0;20,2;19,4;18,5;20,3;20,0;0,0;1002,1;1,00E3;-5,4;20,00;3,0;3,0;39,59;0,01;0,008;0,0;0,00;0,049
3;18.07.2023;17:22:06;00:00:02;250,0;20,2;19,4;18,5;20,3;20,0;0,0;1002,1;1,00E3;-5,4;20,00;3,0;3,0;39,59;0,02;0,005;0,0;0,01;0,049
4;18.07.2023;17:22:07;00:00:03;250,0;20,1;19,4;18,5;20,3;20,0;0,0;1002,1;1,00E3;-5,5;20,00;3,0;3,0;39,59;0,01;0,008;0,0;0,01;0,049
5;18.07.2023;17:22:08;00:00:04;250,0;20,0;19,4;18,5;20,3;20,0;0,0;1002,0;1,00E3;-5,5;20,00;3,0;2,9;39,59;0,01;0,005;0,0;0,01;0,049
6;18.07.2023;17:22:09;00:00:05;250,0;20,0;19,4;18,5;20,3;20,0;0,0;1002,0;1,00E3;-5,5;20,00;3,0;3,0;39,59;0,02;0,005;0,0;0,01;0,049
7;18.07.2023;17:22:10;00:00:06;250,0;19,9;19,4;18,4;20,3;20,0;0,0;1001,9;1,00E3;-5,5;20,00;3,0;3,0;39,59;0,02;0,010;0,0;0,01;0,049
8;18.07.2023;17:22:11;00:00:07;250,0;19,9;19,4;18,4;20,3;20,0;0,0;1001,9;1,00E3;-5,5;20,00;3,0;3,0;39,59;0,02;0,008;0,0;0,00;0,049
9;18.07.2023;17:22:12;00:00:08;250,0;19,8;19,4;18,4;20,3;20,0;0,0;1001,8;1,00E3;-5,8;20,00;3,0;3,0;39,59;0,02;0,005;0,0;0,01;0,049
10;18.07.2023;17:22:13;00:00:09;250,0;19,8;19,4;18,4;20,3;20,0;0,0;996,6;9,97E2;-5,8;20,00;3,0;3,0;39,59;0,02;0,003;0,0;0,01;0,049
11;18.07.2023;17:22:14;00:00:10;250,0;19,7;19,4;18,4;20,3;20,0;0,0;943,8;9,44E2;-60,6;20,00;3,0;3,0;39,59;0,02;0,000;0,0;0,01;0,049
12;18.07.2023;17:22:15;00:00:11;250,0;19,7;19,4;18,4;20,3;20,0;0,0;894,8;8,95E2;-110,3;20,00;3,0;3,0;39,59;0,02;0,003;0,0;0,01;0,049
13;18.07.2023;17:22:16;00:00:12;250,0;19,7;19,4;18,4;20,3;20,0;0,0;872,5;8,73E2;-131,8;20,00;3,0;3,0;39,59;0,02;0,008;0,0;0,00;0,049
14;18.07.2023;17:22:17;00:00:13;250,0;19,7;19,4;18,4;20,3;20,0;0,0;833,6;8,34E2;-172,5;20,00;3,0;2,9;39,59;0,02;0,028;0,0;0,01;0,050
15;18.07.2023;17:22:18;00:00:14;250,0;19,6;19,4;18,4;20,3;20,0;0,0;797,8;7,98E2;-206,6;20,00;3,0;3,0;39,60;0,02;0,047;0,0;0,00;0,049
16;18.07.2023;17:22:19;00:00:15;250,0;19,6;19,4;18,4;20,3;20,0;0,0;777,5;7,78E2;-228,5;20,00;3,0;3,0;39,60;0,02;0,059;0,0;0,01;0,049
17;18.07.2023;17:22:20;00:00:16;250,0;19,5;19,4;18,3;20,3;20,0;0,0;745,3;7,45E2;-259,7;20,00;3,0;3,0;39,60;0,02;0,062;0,0;0,00;0,049
18;18.07.2023;17:22:21;00:00:17;250,0;19,5;19,4;18,2;20,3;20,0;0,0;714,5;7,15E2;-291,8;20,00;3,0;3,0;39,60;0,02;0,058;0,0;0,01;0,049
19;18.07.2023;17:22:22;00:00:18;250,0;19,4;19,4;18,2;20,3;20,0;0,0;699,7;7,00E2;-305,9;20,00;3,0;3,0;39,60;0,02;0,056;0,0;0,00;0,049
20;18.07.2023;17:22:23;00:00:19;250,0;19,4;19,4;18,1;20,3;20,0;0,0;670,7;6,71E2;-335,2;20,00;3,0;3,0;39,60;0,02;0,057;0,0;0,01;0,049
21;18.07.2023;17:22:24;00:00:20;250,0;19,4;19,4;18,1;20,3;20,0;0,0;643,5;6,43E2;-361,0;20,00;3,0;3,0;39,60;0,02;0,051;0,0;0,00;0,049
22;18.07.2023;17:22:25;00:00:21;250,0;19,1;19,4;18,1;20,1;20,0;0,0;628,4;6,28E2;-377,4;20,00;3,0;3,0;39,60;0,03;0,049;0,0;0,00;0,049
23;18.07.2023;17:22:26;00:00:22;250,0;19,0;19,1;17,6;20,1;20,0;0,0;603,0;6,03E2;-401,2;20,00;3,0;3,0;39,60;0,03;0,051;0,0;0,00;0,049
24;18.07.2023;17:22:27;00:00:23;250,0;19,0;19,1;17,6;20,1;20,0;0,0;591,7;5,92E2;-414,5;20,00;3,0;3,0;39,60;0,03;0,050;0,0;0,01;0,049
25;18.07.2023;17:22:28;00:00:24;250,0;18,9;19,1;17,4;20,1;20,0;0,0;568,2;5,68E2;-436,5;20,00;3,0;3,0;39,60;0,03;0,055;0,0;0,01;0,049
26;18.07.2023;17:22:29;00:00:25;250,0;18,9;19,1;17,4;20,1;20,0;0,0;545,6;5,46E2;-459,5;20,00;3,0;3,0;39,60;0,03;0,047;0,0;0,01;0,049
27;18.07.2023;17:22:30;00:00:26;250,0;18,9;19,1;17,2;20,1;20,0;0,0;535,3;5,35E2;-469,6;20,00;3,0;3,0;39,60;0,03;0,045;0,0;0,00;0,049
28;18.07.2023;17:22:31;00:00:27;250,0;18,9;19,1;17,2;20,1;20,0;0,0;512,5;5,13E2;-492,7;20,00;3,0;3,0;39,60;0,03;0,042;0,0;0,00;0,049
29;18.07.2023;17:22:32;00:00:28;250,0;18,8;19,1;17,0;20,1;20,0;0,0;493,0;4,93E2;-511,6;20,00;3,0;3,0;39,60;0,03;0,036;0,0;0,01;0,049
30;18.07.2023;17:22:33;00:00:29;250,0;18,8;19,1;17,0;20,1;20,0;0,0;483,5;4,84E2;-522,2;20,00;3,0;3,0;39,61;0,03;0,036;0,0;0,01;0,049
31;18.07.2023;17:22:34;00:00:30;250,0;18,7;19,1;16,9;20,1;20,0;0,0;455,0;4,55E2;-541,2;20,00;3,0;3,0;39,61;0,03;0,038;0,0;0,01;0,049
32;18.07.2023;17:22:35;00:00:31;250,0;18,7;19,1;16,9;20,1;20,0;0,0;446,5;4,46E2;-541,2;20,00;3,0;3,0;39,61;0,03;0,040;0,0;0,01;0,049
33;18.07.2023;17:22:36;00:00:32;250,0;18,7;19,1;16,8;20,2;20,0;0,0;429,2;4,29E2;-541,2;20,00;3,0;3,0;39,61;0,03;0,034;0,0;0,01;0,049
34;18.07.2023;17:22:37;00:00:33;250,0;18,6;19,1;16,6;20,2;20,0;0,0;412,3;4,12E2;-541,2;20,00;3,0;3,0;39,61;0,03;0,033;0,0;0,01;0,049
35;18.07.2023;17:22:38;00:00:34;250,0;18,6;19,1;16,6;20,2;20,0;0,0;403,7;4,04E2;-541,2;20,00;3,0;3,0;39,61;0,03;0,034;0,0;0,01;0,049
36;18.07.2023;17:22:39;00:00:35;250,0;18,6;19,1;16,6;20,2;20,0;0,0;387,9;3,88E2;-541,2;20,00;3,0;3,0;39,61;0,04;0,033;0,0;0,00;0,049
37;18.07.2023;17:22:40;00:00:36;250,0;18,5;19,1;16,5;20,2;20,0;0,0;373,0;3,73E2;-541,2;20,00;3,0;3,0;39,61;0,04;0,032;0,0;0,01;0,049
38;18.07.2023;17:22:41;00:00:37;250,0;18,5;19,1;16,4;20,2;20,0;0,0;365,2;3,65E2;-541,2;20,00;3,0;3,0;39,61;0,04;0,032;0,0;0,01;0,049
39;18.07.2023;17:22:42;00:00:38;250,0;18,5;19,1;16,4;20,2;20,0;0,0;351,7;3,52E2;-541,2;20,00;3,0;3,0;39,61;0,04;0,030;0,0;0,01;0,049
40;18.07.2023;17:22:43;00:00:39;250,0;18,5;19,1;16,4;20,2;20,0;0,0;338,1;3,38E2;-541,2;20,00;3,0;3,0;39,61;0,04;0,031;0,0;0,01;0,049
41;18.07.2023;17:22:44;00:00:40;250,0;18,5;19,1;16,2;20,2;20,0;0,0;330,6;3,31E2;-541,2;20,00;3,0;3,0;39,61;0,04;0,029;0,0;0,01;0,049
42;18.07.2023;17:22:45;00:00:41;250,0;18,3;18,9;16,1;20,1;20,0;0,0;317,8;3,18E2;-541,2;20,00;3,0;3,0;39,61;0,04;0,025;0,0;0,00;0,049
43;18.07.2023;17:22:46;00:00:42;250,0;18,2;18,9;16,1;20,1;20,0;0,0;311,8;3,12E2;-541,2;20,00;3,0;3,0;39,61;0,04;0,029;0,0;0,01;0,049
44;18.07.2023;17:22:47;00:00:43;250,0;18,2;18,9;16,1;20,1;20,0;0,0;299,8;3,00E2;-541,2;20,00;3,0;3,0;39,61;0,04;0,030;0,0;0,01;0,049
45;18.07.2023;17:22:48;00:00:44;250,0;18,2;18,9;16,1;20,1;20,0;0,0;288,4;2,88E2;-541,2;20,00;3,0;3,0;39,61;0,04;0,028;0,0;0,01;0,049
46;18.07.2023;17:22:49;00:00:45;250,0;18,2;18,9;16,0;20,1;20,0;0,0;282,7;2,83E2;-541,2;20,00;3,0;3,0;39,61;0,04;0,028;0,0;0,00;0,049
47;18.07.2023;17:22:50;00:00:46;250,0;18,2;18,9;16,0;20,1;20,0;0,0;270,9;2,71E2;-541,2;20,00;3,0;3,0;39,61;0,04;0,024;0,0;0,01;0,049
48;18.07.2023;17:22:51;00:00:47;250,0;18,2;18,9;16,0;20,1;20,0;0,0;260,7;2,61E2;-541,2;20,00;3,0;3,0;39,62;0,04;0,022;0,0;0,00;0,049
49;18.07.2023;17:22:52;00:00:48;250,0;18,1;18,9;16,0;20,1;20,0;0,0;255,7;2,56E2;-541,2;20,00;3,0;3,0;39,61;0,04;0,023;0,0;0,00;0,049
50;18.07.2023;17:22:53;00:00:49;250,0;18,1;18,9;16,0;20,1;20,0;0,0;245,9;2,46E2;-541,2;20,00;3,0;3,0;39,62;0,04;0,023;0,0;0,01;0,049
51;18.07.2023;17:22:54;00:00:50;250,0;18,1;18,9;16,0;20,1;20,0;0,0;236,5;2,36E2;-541,2;20,00;3,0;3,0;39,62;0,04;0,024;0,0;0,01;0,049
52;18.07.2023;17:22:55;00:00:51;250,0;18,1;18,9;15,9;20,1;20,0;0,0;232,1;2,32E2;-541,2;20,00;3,0;3,0;39,62;0,04;0,025;0,0;0,00;0,049
53;18.07.2023;17:22:56;00:00:52;250,0;18,1;18,9;15,9;20,1;20,0;0,0;222,3;2,22E2;-541,2;20,00;3,0;3,0;39,62;0,04;0,027;0,0;0,00;0,049
