Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;25.07.2023;11:41:24;00:00:00;250,0;21,9;19,5;19,4;25,4;20,0;0,0;992,4;9,92E2;-2,1;20,00;3,0;3,0;38,54;0,02;0,002;0,0;0,00;0,044
2;25.07.2023;11:41:25;00:00:01;250,0;21,8;19,5;19,4;25,3;20,0;0,0;992,4;9,92E2;-2,1;20,00;3,0;3,0;38,54;0,02;0,004;0,0;0,00;0,044
3;25.07.2023;11:41:26;00:00:02;250,0;21,8;19,5;19,4;25,3;20,0;0,0;992,3;9,92E2;-2,1;20,00;3,0;3,0;38,54;0,01;0,004;0,0;0,01;0,044
4;25.07.2023;11:41:27;00:00:03;250,0;21,7;19,5;19,4;25,3;20,0;0,0;992,2;9,92E2;-2,2;20,00;3,0;3,0;38,54;0,02;0,002;0,0;0,01;0,044
5;25.07.2023;11:41:28;00:00:04;250,0;21,7;19,5;19,4;25,3;20,0;0,0;992,1;9,92E2;-2,4;20,00;3,0;3,0;38,54;0,01;0,003;0,0;0,00;0,044
6;25.07.2023;11:41:29;00:00:05;250,0;21,6;19,5;19,3;25,3;20,0;0,0;992,1;9,92E2;-2,4;20,00;3,0;3,0;38,54;0,01;0,000;0,0;0,01;0,044
7;25.07.2023;11:41:30;00:00:06;250,0;21,6;19,5;19,3;25,3;20,0;0,0;992,0;9,92E2;-2,4;20,00;3,0;3,0;38,54;0,01;-0,002;0,0;0,01;0,044
8;25.07.2023;11:41:31;00:00:07;250,0;21,5;19,5;19,3;25,3;20,0;0,0;991,9;9,92E2;-2,4;20,00;3,0;3,0;38,54;0,01;0,001;0,0;0,00;0,044
9;25.07.2023;11:41:32;00:00:08;250,0;21,4;19,5;19,3;25,3;20,0;0,0;982,1;9,82E2;-7,6;20,00;3,0;3,0;38,54;0,01;0,005;0,0;0,00;0,044
10;25.07.2023;11:41:33;00:00:09;250,0;21,4;19,5;19,3;25,3;20,0;0,0;954,4;9,54E2;-37,8;20,00;3,0;3,0;38,54;0,02;0,005;0,0;0,01;0,044
11;25.07.2023;11:41:34;00:00:10;250,0;21,4;19,4;19,3;25,3;20,0;0,0;907,6;9,08E2;-83,4;20,00;3,0;3,0;38,54;0,02;0,002;0,0;0,01;0,044
