Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;13.07.2023;18:48:47;00:00:00;250,0;23,9;19,8;18,5;20,5;20,0;0,0;1006,4;1,01E3;-1,8;20,00;3,0;3,0;38,24;0,04;-0,025;0,0;0,00;0,049
2;13.07.2023;18:48:48;00:00:01;250,0;23,9;19,8;18,5;20,5;20,0;0,0;1006,4;1,01E3;-1,8;20,00;3,0;3,0;38,24;0,04;-0,017;0,0;0,01;0,049
3;13.07.2023;18:48:49;00:00:02;250,0;23,8;19,8;18,5;20,5;20,0;0,0;1006,4;1,01E3;-1,8;20,00;3,0;3,0;38,24;0,04;-0,016;0,0;0,00;0,049
4;13.07.2023;18:48:50;00:00:03;250,0;23,8;19,8;18,5;20,5;20,0;0,0;1006,4;1,01E3;-1,8;20,00;3,0;3,0;38,24;0,04;-0,007;0,0;0,00;0,049
5;13.07.2023;18:48:51;00:00:04;250,0;23,7;19,8;18,5;20,5;20,0;0,0;1006,4;1,01E3;-1,8;20,00;3,0;3,0;38,24;0,04;-0,001;0,0;0,00;0,049
6;13.07.2023;18:48:52;00:00:05;250,0;23,5;19,6;18,2;20,3;20,0;0,0;1006,4;1,01E3;-1,8;20,00;3,0;3,0;38,24;0,04;-0,001;0,0;0,01;0,049
7;13.07.2023;18:48:53;00:00:06;250,0;23,4;19,6;18,2;20,3;20,0;0,0;1006,4;1,01E3;-1,8;20,00;3,0;3,0;38,24;0,04;0,000;0,0;0,00;0,049
8;13.07.2023;18:48:54;00:00:07;250,0;23,4;19,6;18,2;20,3;20,0;0,0;1006,4;1,01E3;-1,8;20,00;3,0;3,0;38,24;0,04;-0,004;0,0;0,00;0,048
9;13.07.2023;18:48:55;00:00:08;250,0;23,3;19,6;18,3;20,3;20,0;0,0;989,4;9,89E2;-15,3;20,00;3,0;3,1;38,24;0,04;-0,001;0,0;0,00;0,049
10;13.07.2023;18:48:56;00:00:09;250,0;23,3;19,6;18,3;20,3;20,0;0,0;949,1;9,49E2;-57,5;20,00;3,0;3,0;38,24;0,04;0,003;0,0;0,00;0,049
11;13.07.2023;18:48:57;00:00:10;250,0;23,2;19,6;18,3;20,3;20,0;0,0;927,2;9,27E2;-77,5;20,00;3,0;3,0;38,24;0,04;0,003;0,0;0,00;0,049
12;13.07.2023;18:48:58;00:00:11;250,0;23,2;19,6;18,3;20,3;20,0;0,0;877,6;8,78E2;-128,1;20,00;3,0;3,0;38,24;0,04;0,003;0,0;0,00;0,049
13;13.07.2023;18:48:59;00:00:12;250,0;23,1;19,6;18,3;20,3;20,0;0,0;836,4;8,36E2;-168,0;20,00;3,0;3,0;38,24;0,04;0,004;0,0;0,01;0,049
14;13.07.2023;18:49:00;00:00:13;250,0;23,1;19,6;18,3;20,3;20,0;0,0;816,6;8,17E2;-189,7;20,00;3,0;3,0;38,24;0,04;0,006;0,0;0,00;0,049
15;13.07.2023;18:49:01;00:00:14;250,0;23,1;19,6;18,3;20,3;20,0;0,0;782,2;7,82E2;-223,3;20,00;3,0;3,0;38,24;0,04;0,008;0,0;0,01;0,049
16;13.07.2023;18:49:02;00:00:15;250,0;23,0;19,6;18,2;20,3;20,0;0,0;749,3;7,49E2;-257,1;20,00;3,0;3,0;38,24;0,04;0,010;0,0;0,01;0,049
17;13.07.2023;18:49:03;00:00:16;250,0;23,0;19,6;18,2;20,3;20,0;0,0;733,7;7,34E2;-272,1;20,00;3,0;3,0;38,24;0,04;0,010;0,0;0,00;0,049
