Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;13.07.2023;13:35:35;00:00:00;250,0;23,8;18,9;18,3;21,7;20,0;0,0;1005,2;1,01E3;-2,7;20,00;3,0;3,1;38,41;0,01;0,045;0,0;0,00;0,049
2;13.07.2023;13:35:36;00:00:01;250,0;23,8;18,9;18,4;21,7;20,0;0,0;1005,1;1,01E3;-2,7;20,00;3,0;3,0;38,41;0,01;0,043;0,0;0,01;0,049
3;13.07.2023;13:35:37;00:00:02;250,0;23,8;18,9;18,4;21,7;20,0;0,0;1005,0;1,01E3;-3,0;20,00;3,0;3,0;38,41;0,01;0,039;0,0;0,01;0,049
4;13.07.2023;13:35:38;00:00:03;250,0;23,7;18,9;18,4;21,7;20,0;0,0;1004,8;1,00E3;-3,1;20,00;3,0;3,0;38,41;0,01;0,033;0,0;0,00;0,049
5;13.07.2023;13:35:39;00:00:04;250,0;23,5;18,9;18,3;21,7;20,0;0,0;1004,7;1,00E3;-3,4;20,00;3,0;3,0;38,41;0,01;0,025;0,0;0,01;0,049
6;13.07.2023;13:35:40;00:00:05;250,0;23,5;18,9;18,3;21,7;20,0;0,0;1004,6;1,00E3;-3,4;20,00;3,0;3,0;38,42;0,01;0,023;0,0;0,00;0,049
7;13.07.2023;13:35:41;00:00:06;250,0;23,3;18,9;18,3;21,7;20,0;0,0;1004,5;1,00E3;-3,4;20,00;3,0;3,0;38,42;0,01;0,017;0,0;0,01;0,049
8;13.07.2023;13:35:42;00:00:07;250,0;23,3;18,9;18,3;21,6;20,0;0,0;1004,3;1,00E3;-3,7;20,00;3,0;3,0;38,42;0,01;0,014;0,0;0,00;0,049
9;13.07.2023;13:35:43;00:00:08;250,0;23,2;18,9;18,3;21,6;20,0;0,0;1004,0;1,00E3;-3,7;20,00;3,0;3,0;38,41;0,01;0,013;0,0;0,01;0,049
10;13.07.2023;13:35:44;00:00:09;250,0;23,2;18,9;18,3;21,6;20,0;0,0;950,2;9,50E2;-53,3;20,00;3,0;3,0;38,42;0,01;0,010;0,0;0,00;0,049
11;13.07.2023;13:35:45;00:00:10;250,0;23,1;18,9;18,3;21,6;20,0;0,0;901,2;9,01E2;-103,6;20,00;3,0;3,0;38,42;0,01;0,015;0,0;0,00;0,049
12;13.07.2023;13:35:46;00:00:11;250,0;23,1;18,9;18,3;21,6;20,0;0,0;879,3;8,79E2;-125,4;20,00;3,0;3,0;38,42;0,01;0,030;0,0;0,01;0,049
13;13.07.2023;13:35:47;00:00:12;250,0;22,9;18,9;18,3;21,6;20,0;0,0;834,1;8,34E2;-171,7;20,00;3,0;3,0;38,42;0,02;0,061;0,0;0,01;0,049
14;13.07.2023;13:35:48;00:00:13;250,0;22,8;18,9;18,3;21,6;20,0;0,0;797,8;7,98E2;-208,7;20,00;3,0;3,0;38,42;0,02;0,079;0,0;0,01;0,049
15;13.07.2023;13:35:49;00:00:14;250,0;22,8;18,9;18,3;21,6;20,0;0,0;780,3;7,80E2;-225,1;20,00;3,0;3,0;38,42;0,02;0,087;0,0;0,01;0,049
16;13.07.2023;13:35:50;00:00:15;250,0;22,8;18,9;18,3;21,6;20,0;0,0;747,3;7,47E2;-256,6;20,00;3,0;3,0;38,43;0,02;0,096;0,0;0,01;0,049
17;13.07.2023;13:35:51;00:00:16;250,0;22,7;18,9;18,2;21,6;20,0;0,0;731,4;7,31E2;-274,2;20,00;3,0;3,0;38,43;0,02;0,099;0,0;0,00;0,049
18;13.07.2023;13:35:52;00:00:17;250,0;22,7;18,9;18,2;21,6;20,0;0,0;701,4;7,01E2;-303,0;20,00;3,0;3,0;38,43;0,03;0,103;0,0;0,00;0,049
19;13.07.2023;13:35:53;00:00:18;250,0;22,5;18,9;18,1;21,6;20,0;0,0;671,1;6,71E2;-334,6;20,00;3,0;3,0;38,43;0,03;0,096;0,0;0,01;0,048
20;13.07.2023;13:35:54;00:00:19;250,0;22,5;18,9;18,0;21,6;20,0;0,0;656,6;6,57E2;-347,6;20,00;3,0;3,0;38,43;0,03;0,096;0,0;0,00;0,049
21;13.07.2023;13:35:55;00:00:20;250,0;22,4;18,9;18,0;21,6;20,0;0,0;631,5;6,31E2;-374,7;20,00;3,0;3,1;38,43;0,03;0,088;0,0;0,00;0,049
22;13.07.2023;13:35:56;00:00:21;250,0;22,2;18,7;17,7;21,4;20,0;0,0;605,8;6,06E2;-400,3;20,00;3,0;3,1;38,44;0,03;0,090;0,0;0,01;0,049
23;13.07.2023;13:35:57;00:00:22;250,0;22,2;18,7;17,7;21,4;20,0;0,0;593,5;5,93E2;-411,6;20,00;3,0;3,0;38,44;0,03;0,085;0,0;0,00;0,049
24;13.07.2023;13:35:58;00:00:23;250,0;22,1;18,7;17,7;21,4;20,0;0,0;570,9;5,71E2;-435,5;20,00;3,0;3,0;38,44;0,03;0,086;0,0;0,01;0,049
25;13.07.2023;13:35:59;00:00:24;250,0;21,9;18,7;17,6;21,4;20,0;0,0;547,2;5,47E2;-458,3;20,00;3,0;3,0;38,44;0,04;0,089;0,0;0,00;0,049
26;13.07.2023;13:36:00;00:00:25;250,0;21,9;18,7;17,6;21,4;20,0;0,0;536,0;5,36E2;-470,2;20,00;3,0;3,1;38,44;0,04;0,090;0,0;0,00;0,049
27;13.07.2023;13:36:01;00:00:26;250,0;21,8;18,7;17,5;21,4;20,0;0,0;515,2;5,15E2;-489,7;20,00;3,0;3,0;38,44;0,04;0,077;0,0;0,01;0,049
28;13.07.2023;13:36:02;00:00:27;250,0;21,8;18,7;17,5;21,4;20,0;0,0;495,6;4,96E2;-510,1;20,00;3,0;3,0;38,44;0,04;0,068;0,0;0,00;0,049
29;13.07.2023;13:36:03;00:00:28;250,0;21,6;18,7;17,3;21,4;20,0;0,0;486,1;4,86E2;-519,2;20,00;3,0;3,0;38,44;0,04;0,064;0,0;0,00;0,049
30;13.07.2023;13:36:04;00:00:29;250,0;21,6;18,7;17,3;21,4;20,0;0,0;467,6;4,68E2;-538,3;20,00;3,0;3,0;38,44;0,04;0,063;0,0;0,01;0,049
31;13.07.2023;13:36:05;00:00:30;250,0;21,5;18,7;17,2;21,4;20,0;0,0;456,8;4,57E2;-541,2;20,00;3,0;3,0;38,45;0,04;0,063;0,0;0,00;0,049
32;13.07.2023;13:36:06;00:00:31;250,0;21,5;18,7;17,2;21,4;20,0;0,0;438,9;4,39E2;-541,2;20,00;3,0;3,0;38,45;0,04;0,064;0,0;0,01;0,049
33;13.07.2023;13:36:07;00:00:32;250,0;21,4;18,6;17,1;21,4;20,0;0,0;421,3;4,21E2;-541,2;20,00;3,0;3,0;38,45;0,04;0,069;0,0;0,01;0,049
34;13.07.2023;13:36:08;00:00:33;250,0;21,4;18,6;17,1;21,4;20,0;0,0;414,5;4,15E2;-541,2;20,00;3,0;3,0;38,45;0,05;0,067;0,0;0,01;0,049
35;13.07.2023;13:36:09;00:00:34;250,0;21,4;18,6;17,0;21,4;20,0;0,0;398,3;3,98E2;-541,2;20,00;3,0;3,0;38,45;0,05;0,066;0,0;0,01;0,049
36;13.07.2023;13:36:10;00:00:35;250,0;21,3;18,6;17,0;21,4;20,0;0,0;383,3;3,83E2;-541,2;20,00;3,0;3,0;38,45;0,05;0,063;0,0;0,00;0,049
37;13.07.2023;13:36:11;00:00:36;250,0;21,2;18,6;16,9;21,4;20,0;0,0;374,5;3,74E2;-541,2;20,00;3,0;3,0;38,45;0,05;0,061;0,0;0,00;0,049
38;13.07.2023;13:36:12;00:00:37;250,0;21,2;18,6;16,9;21,4;20,0;0,0;360,2;3,60E2;-541,2;20,00;3,0;3,0;38,45;0,05;0,059;0,0;0,01;0,049
39;13.07.2023;13:36:13;00:00:38;250,0;21,1;18,6;16,9;21,4;20,0;0,0;346,4;3,46E2;-541,2;20,00;3,0;3,0;38,45;0,05;0,061;0,0;0,01;0,049
40;13.07.2023;13:36:14;00:00:39;250,0;21,1;18,6;16,9;21,4;20,0;0,0;339,8;3,40E2;-541,2;20,00;3,0;3,0;38,45;0,05;0,063;0,0;0,00;0,049
41;13.07.2023;13:36:15;00:00:40;250,0;20,9;18,6;16,8;21,4;20,0;0,0;326,6;3,27E2;-541,2;20,00;3,0;3,0;38,46;0,05;0,060;0,0;0,01;0,049
42;13.07.2023;13:36:16;00:00:41;250,0;20,9;18,6;16,8;21,4;20,0;0,0;319,8;3,20E2;-541,2;20,00;3,0;3,0;38,46;0,05;0,061;0,0;0,01;0,049
43;13.07.2023;13:36:17;00:00:42;250,0;20,9;18,6;16,7;21,4;20,0;0,0;307,1;3,07E2;-541,2;20,00;3,0;3,0;38,46;0,06;0,066;0,0;0,01;0,049
44;13.07.2023;13:36:18;00:00:43;250,0;20,8;18,6;16,7;21,4;20,0;0,0;295,3;2,95E2;-541,2;20,00;3,0;3,0;38,46;0,06;0,066;0,0;0,01;0,049
45;13.07.2023;13:36:19;00:00:44;250,0;20,7;18,5;16,7;21,4;20,0;0,0;289,6;2,90E2;-541,2;20,00;3,0;3,0;38,46;0,06;0,062;0,0;0,00;0,049
46;13.07.2023;13:36:20;00:00:45;250,0;20,7;18,5;16,7;21,4;20,0;0,0;278,5;2,78E2;-541,2;20,00;3,0;3,0;38,46;0,06;0,063;0,0;0,01;0,049
47;13.07.2023;13:36:21;00:00:46;250,0;20,6;18,5;16,6;21,3;20,0;0,0;267,9;2,68E2;-541,2;20,00;3,0;3,0;38,46;0,06;0,065;0,0;0,00;0,049
48;13.07.2023;13:36:22;00:00:47;250,0;20,6;18,5;16,6;21,3;20,0;0,0;262,7;2,63E2;-541,2;20,00;3,0;3,0;38,46;0,06;0,066;0,0;0,01;0,049
49;13.07.2023;13:36:23;00:00:48;250,0;20,5;18,5;16,6;21,3;20,0;0,0;252,0;2,52E2;-541,2;20,00;3,0;3,1;38,46;0,06;0,061;0,0;0,01;0,049
