Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;13.07.2023;17:09:50;00:00:00;250,0;21,3;19,3;18,4;20,8;20,0;0,0;1003,4;1,00E3;-4,9;20,00;3,0;3,0;37,99;0,00;0,004;0,0;0,00;0,049
2;13.07.2023;17:09:51;00:00:01;250,0;21,3;19,3;18,4;20,8;20,0;0,0;1003,2;1,00E3;-4,9;20,00;3,0;3,0;37,99;0,00;0,002;0,0;0,01;0,049
3;13.07.2023;17:09:52;00:00:02;250,0;21,2;19,3;18,4;20,8;20,0;0,0;1003,0;1,00E3;-5,2;20,00;3,0;3,0;37,99;0,00;0,003;0,0;0,01;0,049
4;13.07.2023;17:09:53;00:00:03;250,0;21,2;19,3;18,4;20,8;20,0;0,0;1003,0;1,00E3;-5,2;20,00;3,0;3,0;37,99;0,00;0,001;0,0;0,00;0,049
5;13.07.2023;17:09:54;00:00:04;250,0;21,0;19,3;18,3;20,8;20,0;0,0;1002,8;1,00E3;-5,5;20,00;3,0;3,0;37,99;0,00;0,001;0,0;0,00;0,049
6;13.07.2023;17:09:55;00:00:05;250,0;21,0;19,3;18,3;20,8;20,0;0,0;1002,6;1,00E3;-5,5;20,00;3,0;3,0;37,99;0,00;0,003;0,0;0,01;0,049
7;13.07.2023;17:09:56;00:00:06;250,0;20,9;19,3;18,3;20,8;20,0;0,0;1002,6;1,00E3;-5,7;20,00;3,0;3,0;37,99;0,00;0,001;0,0;0,00;0,049
8;13.07.2023;17:09:57;00:00:07;250,0;20,9;19,3;18,3;20,8;20,0;0,0;1002,4;1,00E3;-5,8;20,00;3,0;3,0;37,99;0,00;0,001;0,0;0,00;0,049
9;13.07.2023;17:09:58;00:00:08;250,0;20,9;19,3;18,3;20,8;20,0;0,0;987,1;9,87E2;-15,3;20,00;3,0;3,0;37,99;0,00;0,001;0,0;0,01;0,048
10;13.07.2023;17:09:59;00:00:09;250,0;20,7;19,3;18,2;20,7;20,0;0,0;935,5;9,35E2;-69,7;20,00;3,0;3,0;37,99;0,00;0,000;0,0;0,00;0,049
11;13.07.2023;17:10:00;00:00:10;250,0;20,7;19,2;18,2;20,7;20,0;0,0;887,5;8,88E2;-115,2;20,00;3,0;3,0;37,99;0,00;-0,001;0,0;0,00;0,049
12;13.07.2023;17:10:01;00:00:11;250,0;20,5;19,2;18,2;20,7;20,0;0,0;866,4;8,66E2;-139,8;20,00;3,0;3,0;37,99;0,00;0,000;0,0;0,01;0,049
13;13.07.2023;17:10:02;00:00:12;250,0;20,4;19,2;18,2;20,7;20,0;0,0;822,7;8,23E2;-181,8;20,00;3,0;3,0;37,99;0,00;-0,003;0,0;0,01;0,049
14;13.07.2023;17:10:03;00:00:13;250,0;20,4;19,2;18,2;20,7;20,0;0,0;787,1;7,87E2;-218,1;20,00;3,0;3,0;37,99;0,00;0,008;0,0;0,00;0,049
15;13.07.2023;17:10:04;00:00:14;250,0;20,3;19,2;18,2;20,7;20,0;0,0;770,5;7,71E2;-234,3;20,00;3,0;3,0;37,99;0,00;0,013;0,0;0,00;0,049
16;13.07.2023;17:10:05;00:00:15;250,0;20,3;19,2;18,2;20,7;20,0;0,0;737,7;7,38E2;-267,8;20,00;3,0;3,0;37,99;0,01;0,026;0,0;0,00;0,049
17;13.07.2023;17:10:06;00:00:16;250,0;20,2;19,2;18,1;20,7;20,0;0,0;707,2;7,07E2;-299,2;20,00;3,0;3,0;37,99;0,01;0,032;0,0;0,01;0,049
18;13.07.2023;17:10:07;00:00:17;250,0;20,2;19,2;18,1;20,7;20,0;0,0;693,1;6,93E2;-313,1;20,00;3,0;3,0;37,99;0,01;0,037;0,0;0,00;0,049
19;13.07.2023;17:10:08;00:00:18;250,0;20,1;19,2;18,1;20,7;20,0;0,0;663,1;6,63E2;-344,2;20,00;3,0;3,0;37,99;0,01;0,038;0,0;0,00;0,049
20;13.07.2023;17:10:09;00:00:19;250,0;20,1;19,2;18,1;20,7;20,0;0,0;636,0;6,36E2;-369,4;20,00;3,0;3,0;37,99;0,01;0,033;0,0;0,00;0,049
21;13.07.2023;17:10:10;00:00:20;250,0;20,0;19,2;18,0;20,7;20,0;0,0;623,6;6,24E2;-383,5;20,00;3,0;3,0;37,99;0,01;0,033;0,0;0,00;0,049
22;13.07.2023;17:10:11;00:00:21;250,0;20,0;19,2;18,0;20,7;20,0;0,0;598,7;5,99E2;-406,9;20,00;3,0;3,0;37,99;0,01;0,036;0,0;0,01;0,049
23;13.07.2023;17:10:12;00:00:22;250,0;19,9;19,2;17,8;20,7;20,0;0,0;586,4;5,86E2;-418,0;20,00;3,0;3,0;37,99;0,01;0,033;0,0;0,01;0,049
24;13.07.2023;17:10:13;00:00:23;250,0;19,9;19,2;17,8;20,7;20,0;0,0;564,3;5,64E2;-441,8;20,00;3,0;2,9;37,99;0,01;0,028;0,0;0,01;0,049
25;13.07.2023;17:10:14;00:00:24;250,0;19,8;19,2;17,7;20,7;20,0;0,0;540,2;5,40E2;-466,0;20,00;3,0;3,0;38,00;0,01;0,026;0,0;0,01;0,049
26;13.07.2023;17:10:15;00:00:25;250,0;19,8;19,2;17,7;20,7;20,0;0,0;529,4;5,29E2;-476,0;20,00;3,0;3,0;38,00;0,01;0,024;0,0;0,00;0,049
27;13.07.2023;17:10:16;00:00:26;250,0;19,7;19,2;17,6;20,7;20,0;0,0;509,0;5,09E2;-496,9;20,00;3,0;3,0;38,00;0,01;0,027;0,0;0,01;0,049
28;13.07.2023;17:10:17;00:00:27;250,0;19,5;19,2;17,5;20,7;20,0;0,0;489,9;4,90E2;-515,5;20,00;3,0;3,0;38,00;0,01;0,034;0,0;0,00;0,049
29;13.07.2023;17:10:18;00:00:28;250,0;19,5;19,2;17,5;20,7;20,0;0,0;480,5;4,81E2;-525,9;20,00;3,0;3,0;38,00;0,01;0,033;0,0;0,00;0,049
30;13.07.2023;17:10:19;00:00:29;250,0;19,5;19,2;17,4;20,7;20,0;0,0;462,0;4,62E2;-541,2;20,00;3,0;3,0;38,00;0,01;0,030;0,0;0,00;0,049
31;13.07.2023;17:10:20;00:00:30;250,0;19,4;19,1;17,3;20,7;20,0;0,0;442,7;4,43E2;-541,2;20,00;3,0;3,0;38,00;0,01;0,032;0,0;0,00;0,049
32;13.07.2023;17:10:21;00:00:31;250,0;19,4;19,1;17,3;20,7;20,0;0,0;433,6;4,34E2;-541,2;20,00;3,0;3,0;38,00;0,01;0,031;0,0;0,00;0,049
33;13.07.2023;17:10:22;00:00:32;250,0;19,3;19,1;17,2;20,7;20,0;0,0;417,3;4,17E2;-541,2;20,00;3,0;3,0;38,00;0,01;0,034;0,0;0,01;0,049
34;13.07.2023;17:10:23;00:00:33;250,0;19,3;19,1;17,2;20,7;20,0;0,0;409,2;4,09E2;-541,2;20,00;3,0;3,0;38,00;0,01;0,035;0,0;0,01;0,049
35;13.07.2023;17:10:24;00:00:34;250,0;19,3;19,1;17,2;20,7;20,0;0,0;393,7;3,94E2;-541,2;20,00;3,0;3,0;38,00;0,02;0,033;0,0;0,00;0,049
