Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;13.07.2023;15:02:32;00:00:00;250,0;21,1;19,2;18,2;20,7;20,0;0,0;1003,4;1,00E3;-4,9;20,00;3,0;3,0;44,45;0,01;-0,003;0,0;0,01;0,049
2;13.07.2023;15:02:33;00:00:01;250,0;21,1;19,2;18,2;20,7;20,0;0,0;1003,4;1,00E3;-4,9;20,00;3,0;3,0;44,45;0,01;-0,004;0,0;0,01;0,049
3;13.07.2023;15:02:34;00:00:02;250,0;21,0;19,2;18,2;20,7;20,0;0,0;1003,4;1,00E3;-4,9;20,00;3,0;3,0;44,45;0,01;-0,006;0,0;0,01;0,049
4;13.07.2023;15:02:35;00:00:03;250,0;21,0;19,2;18,2;20,7;20,0;0,0;1003,4;1,00E3;-4,9;20,00;3,0;3,0;44,45;0,01;-0,004;0,0;0,01;0,049
5;13.07.2023;15:02:36;00:00:04;250,0;20,9;19,2;18,2;20,7;20,0;0,0;1003,4;1,00E3;-4,9;20,00;3,0;3,0;44,45;0,01;-0,004;0,0;0,01;0,049
6;13.07.2023;15:02:37;00:00:05;250,0;20,8;19,2;18,2;20,7;20,0;0,0;1003,4;1,00E3;-4,9;20,00;3,0;3,0;44,45;0,01;-0,004;0,0;0,00;0,049
7;13.07.2023;15:02:38;00:00:06;250,0;20,8;19,2;18,2;20,7;20,0;0,0;1003,4;1,00E3;-4,9;20,00;3,0;3,0;44,45;0,01;-0,004;0,0;0,00;0,049
8;13.07.2023;15:02:39;00:00:07;250,0;20,8;19,2;18,2;20,7;20,0;0,0;998,4;9,98E2;-5,5;20,00;3,0;3,0;44,45;0,01;-0,006;0,0;0,00;0,049
9;13.07.2023;15:02:40;00:00:08;250,0;20,8;19,2;18,2;20,7;20,0;0,0;971,1;9,71E2;-35,9;20,00;3,0;3,0;44,45;0,01;-0,006;0,0;0,01;0,049
10;13.07.2023;15:02:41;00:00:09;250,0;20,7;19,2;18,2;20,7;20,0;0,0;920,4;9,20E2;-84,1;20,00;3,0;3,0;44,45;0,01;-0,007;0,0;0,01;0,049
11;13.07.2023;15:02:42;00:00:10;250,0;20,7;19,2;18,2;20,7;20,0;0,0;896,8;8,97E2;-106,7;20,00;3,0;3,0;44,45;0,01;-0,006;0,0;0,00;0,049
12;13.07.2023;15:02:43;00:00:11;250,0;20,7;19,2;18,2;20,7;20,0;0,0;852,4;8,52E2;-152,2;20,00;3,0;3,0;44,46;0,01;0,006;0,0;0,00;0,049
13;13.07.2023;15:02:44;00:00:12;250,0;20,6;19,2;18,2;20,7;20,0;0,0;810,4;8,10E2;-195,4;20,00;3,0;3,0;44,46;0,01;0,032;0,0;0,01;0,049
14;13.07.2023;15:02:45;00:00:13;250,0;20,5;19,2;18,2;20,7;20,0;0,0;793,9;7,94E2;-211,9;20,00;3,0;3,0;44,46;0,01;0,046;0,0;0,00;0,049
15;13.07.2023;15:02:46;00:00:14;250,0;20,5;19,2;18,2;20,7;20,0;0,0;759,4;7,59E2;-246,6;20,00;3,0;3,1;44,46;0,02;0,068;0,0;0,00;0,049
16;13.07.2023;15:02:47;00:00:15;250,0;20,3;19,1;18,0;20,6;20,0;0,0;728,9;7,29E2;-276,7;20,00;3,0;3,0;44,46;0,02;0,083;0,0;0,01;0,049
17;13.07.2023;15:02:48;00:00:16;250,0;20,3;19,1;18,0;20,6;20,0;0,0;713,4;7,13E2;-293,6;20,00;3,0;3,0;44,46;0,02;0,088;0,0;0,01;0,049
18;13.07.2023;15:02:49;00:00:17;250,0;20,3;19,1;17,9;20,6;20,0;0,0;683,7;6,84E2;-321,4;20,00;3,0;2,9;44,47;0,02;0,088;0,0;0,01;0,049
19;13.07.2023;15:02:50;00:00:18;250,0;20,2;19,1;17,9;20,6;20,0;0,0;654,4;6,54E2;-351,7;20,00;3,0;3,0;44,47;0,02;0,095;0,0;0,00;0,049
20;13.07.2023;15:02:51;00:00:19;250,0;20,2;19,1;17,9;20,6;20,0;0,0;641,7;6,42E2;-364,3;20,00;3,0;3,0;44,47;0,02;0,095;0,0;0,01;0,049
21;13.07.2023;15:02:52;00:00:20;250,0;20,1;19,1;17,8;20,6;20,0;0,0;616,4;6,16E2;-390,3;20,00;3,0;3,0;44,47;0,03;0,089;0,0;0,01;0,049
22;13.07.2023;15:02:53;00:00:21;250,0;20,0;19,0;17,7;20,6;20,0;0,0;604,6;6,05E2;-401,9;20,00;3,0;3,0;44,47;0,03;0,092;0,0;0,00;0,049
23;13.07.2023;15:02:54;00:00:22;250,0;20,0;19,0;17,7;20,6;20,0;0,0;580,1;5,80E2;-426,2;20,00;3,0;3,0;44,47;0,03;0,090;0,0;0,01;0,049
24;13.07.2023;15:02:55;00:00:23;250,0;19,9;19,0;17,6;20,6;20,0;0,0;557,7;5,58E2;-447,6;20,00;3,0;3,0;44,48;0,03;0,079;0,0;0,00;0,049
25;13.07.2023;15:02:56;00:00:24;250,0;19,9;19,0;17,6;20,6;20,0;0,0;544,9;5,45E2;-461,4;20,00;3,0;3,0;44,48;0,03;0,075;0,0;0,00;0,049
26;13.07.2023;15:02:57;00:00:25;250,0;19,9;19,0;17,5;20,6;20,0;0,0;524,6;5,25E2;-481,5;20,00;3,0;2,9;44,48;0,03;0,069;0,0;0,00;0,049
27;13.07.2023;15:02:58;00:00:26;250,0;19,8;19,0;17,5;20,7;20,0;0,0;504,1;5,04E2;-502,1;20,00;3,0;3,0;44,48;0,03;0,073;0,0;0,00;0,049
28;13.07.2023;15:02:59;00:00:27;250,0;19,8;19,0;17,5;20,7;20,0;0,0;493,9;4,94E2;-511,4;20,00;3,0;3,0;44,48;0,03;0,074;0,0;0,01;0,049
29;13.07.2023;15:03:00;00:00:28;250,0;19,7;19,0;17,4;20,7;20,0;0,0;475,0;4,75E2;-530,8;20,00;3,0;3,0;44,48;0,03;0,071;0,0;0,01;0,049
30;13.07.2023;15:03:01;00:00:29;250,0;19,6;19,0;17,2;20,7;20,0;0,0;455,6;4,56E2;-541,2;20,00;3,0;3,0;44,48;0,04;0,070;0,0;0,01;0,049
31;13.07.2023;15:03:02;00:00:30;250,0;19,6;19,0;17,2;20,7;20,0;0,0;445,8;4,46E2;-541,2;20,00;3,0;3,0;44,48;0,04;0,072;0,0;0,00;0,049
32;13.07.2023;15:03:03;00:00:31;250,0;19,5;19,0;17,2;20,7;20,0;0,0;429,7;4,30E2;-541,2;20,00;3,0;3,0;44,48;0,04;0,076;0,0;0,00;0,049
33;13.07.2023;15:03:04;00:00:32;250,0;19,5;19,0;17,2;20,7;20,0;0,0;412,9;4,13E2;-541,2;20,00;3,0;3,0;44,49;0,04;0,075;0,0;0,01;0,049
34;13.07.2023;15:03:05;00:00:33;250,0;19,4;19,0;17,1;20,7;20,0;0,0;405,2;4,05E2;-541,2;20,00;3,0;3,0;44,49;0,04;0,072;0,0;0,01;0,049
35;13.07.2023;15:03:06;00:00:34;250,0;19,4;18,9;17,1;20,7;20,0;0,0;389,8;3,90E2;-541,2;20,00;3,0;3,0;44,49;0,04;0,066;0,0;0,01;0,049
36;13.07.2023;15:03:07;00:00:35;250,0;19,3;18,9;16,9;20,5;20,0;0,0;381,9;3,82E2;-541,2;20,00;3,0;2,9;44,49;0,04;0,064;0,0;0,01;0,049
37;13.07.2023;15:03:08;00:00:36;250,0;19,2;18,9;16,8;20,5;20,0;0,0;366,2;3,66E2;-541,2;20,00;3,0;3,1;44,49;0,04;0,065;0,0;0,00;0,049
38;13.07.2023;15:03:09;00:00:37;250,0;19,2;18,9;16,8;20,5;20,0;0,0;352,2;3,52E2;-541,2;20,00;3,0;3,0;44,49;0,04;0,064;0,0;0,00;0,049
39;13.07.2023;15:03:10;00:00:38;250,0;19,1;18,9;16,7;20,5;20,0;0,0;345,6;3,46E2;-541,2;20,00;3,0;3,0;44,49;0,04;0,062;0,0;0,01;0,049
40;13.07.2023;15:03:11;00:00:39;250,0;19,1;18,8;16,7;20,5;20,0;0,0;332,3;3,32E2;-541,2;20,00;3,0;2,9;44,49;0,05;0,059;0,0;0,00;0,049
41;13.07.2023;15:03:12;00:00:40;250,0;19,0;18,8;16,7;20,5;20,0;0,0;319,2;3,19E2;-541,2;20,00;3,0;3,0;44,49;0,05;0,057;0,0;0,00;0,049
42;13.07.2023;15:03:13;00:00:41;250,0;19,0;18,8;16,6;20,5;20,0;0,0;313,2;3,13E2;-541,2;20,00;3,0;3,0;44,49;0,05;0,059;0,0;0,01;0,049
43;13.07.2023;15:03:14;00:00:42;250,0;19,0;18,8;16,6;20,5;20,0;0,0;300,4;3,00E2;-541,2;20,00;3,0;3,0;44,50;0,05;0,061;0,0;0,00;0,049
44;13.07.2023;15:03:15;00:00:43;250,0;18,9;18,8;16,6;20,6;20,0;0,0;289,0;2,89E2;-541,2;20,00;3,0;3,0;44,50;0,05;0,061;0,0;0,00;0,049
45;13.07.2023;15:03:16;00:00:44;250,0;18,9;18,8;16,6;20,6;20,0;0,0;283,3;2,83E2;-541,2;20,00;3,0;3,0;44,50;0,05;0,062;0,0;0,00;0,049
46;13.07.2023;15:03:17;00:00:45;250,0;18,9;18,8;16,6;20,6;20,0;0,0;272,5;2,73E2;-541,2;20,00;3,0;3,0;44,50;0,05;0,061;0,0;0,00;0,049
47;13.07.2023;15:03:18;00:00:46;250,0;18,9;18,8;16,6;20,6;20,0;0,0;267,4;2,67E2;-541,2;20,00;3,0;3,0;44,50;0,05;0,061;0,0;0,01;0,049
48;13.07.2023;15:03:19;00:00:47;250,0;18,9;18,8;16,6;20,6;20,0;0,0;257,2;2,57E2;-541,2;20,00;3,0;3,0;44,50;0,05;0,056;0,0;0,00;0,049
49;13.07.2023;15:03:20;00:00:48;250,0;18,8;18,8;16,6;20,6;20,0;0,0;246,4;2,46E2;-541,2;20,00;3,0;3,0;44,50;0,06;0,055;0,0;0,01;0,049
50;13.07.2023;15:03:21;00:00:49;250,0;18,8;18,9;16,6;20,6;20,0;0,0;241,8;2,42E2;-541,2;20,00;3,0;3,0;44,50;0,06;0,056;0,0;0,01;0,049
51;13.07.2023;15:03:22;00:00:50;250,0;18,8;18,9;16,6;20,6;20,0;0,0;232,6;2,33E2;-541,2;20,00;3,0;3,0;44,50;0,06;0,056;0,0;0,01;0,049
52;13.07.2023;15:03:23;00:00:51;250,0;18,8;18,9;16,6;20,6;20,0;0,0;223,6;2,24E2;-541,2;20,00;3,0;3,1;44,50;0,06;0,058;0,0;0,00;0,049
53;13.07.2023;15:03:24;00:00:52;250,0;18,8;18,9;16,6;20,6;20,0;0,0;219,3;2,19E2;-541,2;20,00;3,0;3,1;44,50;0,06;0,058;0,0;0,01;0,049
54;13.07.2023;15:03:25;00:00:53;250,0;18,7;18,9;16,6;20,6;20,0;0,0;210,9;2,11E2;-541,2;20,00;3,0;3,0;44,51;0,06;0,058;0,0;0,01;0,049
55;13.07.2023;15:03:26;00:00:54;250,0;18,7;18,8;16,6;20,6;20,0;0,0;202,3;2,02E2;-541,2;20,00;3,0;3,0;44,51;0,06;0,057;0,0;0,01;0,049
