Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;29.06.2023;18:14:59;00:00:00;250,0;21,7;19,7;18,3;20,5;20,0;0,0;1000,0;1,00E3;-4,3;20,00;3,0;3,0;38,80;0,05;-0,021;0,0;0,00;0,049
2;29.06.2023;18:15:00;00:00:01;250,0;21,6;19,7;18,3;20,5;20,0;0,0;1000,0;1,00E3;-4,3;20,00;3,0;3,0;38,80;0,05;-0,017;0,0;0,01;0,049
3;29.06.2023;18:15:01;00:00:02;250,0;21,6;19,8;18,3;20,5;20,0;0,0;1000,0;1,00E3;-4,5;20,00;3,0;3,0;38,80;0,05;-0,010;0,0;0,00;0,049
4;29.06.2023;18:15:02;00:00:03;250,0;21,6;19,8;18,3;20,5;20,0;0,0;999,9;1,00E3;-4,6;20,00;3,0;3,0;38,80;0,05;-0,011;0,0;0,00;0,049
5;29.06.2023;18:15:03;00:00:04;250,0;21,5;19,8;18,3;20,5;20,0;0,0;999,9;1,00E3;-4,6;20,00;3,0;3,0;38,80;0,05;-0,006;0,0;0,01;0,049
6;29.06.2023;18:15:04;00:00:05;250,0;21,4;19,8;18,3;20,5;20,0;0,0;999,9;1,00E3;-4,6;20,00;3,0;3,0;38,80;0,05;-0,004;0,0;0,00;0,049
7;29.06.2023;18:15:05;00:00:06;250,0;21,4;19,8;18,3;20,5;20,0;0,0;999,9;1,00E3;-4,6;20,00;3,0;3,0;38,80;0,05;-0,002;0,0;0,00;0,049
8;29.06.2023;18:15:06;00:00:07;250,0;21,4;19,8;18,3;20,5;20,0;0,0;999,9;1,00E3;-4,6;20,00;3,0;3,0;38,80;0,05;-0,004;0,0;0,00;0,049
9;29.06.2023;18:15:07;00:00:08;250,0;21,4;19,8;18,3;20,5;20,0;0,0;975,5;9,76E2;-25,3;20,00;3,0;3,0;38,80;0,05;-0,002;0,0;0,00;0,049
