Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;29.06.2023;18:51:51;00:00:00;250,0;24,2;19,7;18,4;20,4;20,0;0,0;1002,0;1,00E3;-1,8;20,00;3,0;3,0;38,66;0,06;-0,012;0,0;0,01;0,049
2;29.06.2023;18:51:52;00:00:01;250,0;24,1;19,7;18,4;20,4;20,0;0,0;1002,0;1,00E3;-1,8;20,00;3,0;3,0;38,66;0,06;-0,009;0,0;0,01;0,049
3;29.06.2023;18:51:53;00:00:02;250,0;24,1;19,7;18,4;20,4;20,0;0,0;1002,0;1,00E3;-1,8;20,00;3,0;3,0;38,66;0,06;-0,007;0,0;0,01;0,049
4;29.06.2023;18:51:54;00:00:03;250,0;23,9;19,7;18,4;20,4;20,0;0,0;1002,1;1,00E3;-1,8;20,00;3,0;3,0;38,66;0,06;-0,006;0,0;0,00;0,049
5;29.06.2023;18:51:55;00:00:04;250,0;23,9;19,8;18,4;20,4;20,0;0,0;1002,1;1,00E3;-1,8;20,00;3,0;3,0;38,66;0,06;-0,008;0,0;0,00;0,049
6;29.06.2023;18:51:56;00:00:05;250,0;23,8;19,8;18,4;20,4;20,0;0,0;1002,1;1,00E3;-1,8;20,00;3,0;3,0;38,66;0,06;-0,007;0,0;0,00;0,049
7;29.06.2023;18:51:57;00:00:06;250,0;23,6;19,8;18,4;20,4;20,0;0,0;1002,1;1,00E3;-1,8;20,00;3,0;3,0;38,66;0,06;-0,004;0,0;0,00;0,049
8;29.06.2023;18:51:58;00:00:07;250,0;23,6;19,8;18,4;20,4;20,0;0,0;1002,1;1,00E3;-1,8;20,00;3,0;3,0;38,66;0,06;-0,004;0,0;0,01;0,049
9;29.06.2023;18:51:59;00:00:08;250,0;23,6;19,8;18,4;20,4;20,0;0,0;965,5;9,65E2;-33,9;20,00;3,0;3,0;38,66;0,06;-0,001;0,0;0,01;0,049
