Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;03.07.2023;16:49:53;00:00:00;250,0;23,1;19,3;18,3;21,7;20,0;0,0;1001,9;1,00E3;-1,8;20,00;3,0;3,0;39,86;0,06;-0,002;0,0;0,00;0,049
2;03.07.2023;16:49:54;00:00:01;250,0;23,1;19,3;18,3;21,7;20,0;0,0;1001,9;1,00E3;-1,8;20,00;3,0;3,0;39,86;0,06;0,001;0,0;0,00;0,049
3;03.07.2023;16:49:55;00:00:02;250,0;23,0;19,3;18,3;21,7;20,0;0,0;1001,9;1,00E3;-1,8;20,00;3,0;3,0;39,86;0,06;-0,001;0,0;0,00;0,049
4;03.07.2023;16:49:56;00:00:03;250,0;23,0;19,3;18,3;21,7;20,0;0,0;1001,9;1,00E3;-1,8;20,00;3,0;3,0;39,86;0,06;-0,001;0,0;0,01;0,049
5;03.07.2023;16:49:57;00:00:04;250,0;22,8;19,3;18,3;21,7;20,0;0,0;1002,0;1,00E3;-1,8;20,00;3,0;3,0;39,86;0,06;-0,002;0,0;0,00;0,049
6;03.07.2023;16:49:58;00:00:05;250,0;22,8;19,3;18,3;21,7;20,0;0,0;1002,0;1,00E3;-1,8;20,00;3,0;3,0;39,86;0,06;-0,003;0,0;0,00;0,049
7;03.07.2023;16:49:59;00:00:06;250,0;22,7;19,3;18,3;21,7;20,0;0,0;1002,0;1,00E3;-1,8;20,00;3,0;3,0;39,86;0,06;-0,004;0,0;0,00;0,049
8;03.07.2023;16:50:00;00:00:07;250,0;22,7;19,3;18,3;21,7;20,0;0,0;1001,9;1,00E3;-1,8;20,00;3,0;3,0;39,86;0,06;0,001;0,0;0,01;0,049
9;03.07.2023;16:50:01;00:00:08;250,0;22,6;19,3;18,3;21,7;20,0;0,0;1000,5;1,00E3;-1,8;20,00;3,0;3,0;39,86;0,06;-0,002;0,0;0,00;0,049
10;03.07.2023;16:50:02;00:00:09;250,0;22,6;19,3;18,3;21,7;20,0;0,0;950,1;9,50E2;-52,2;20,00;3,0;3,0;39,86;0,06;-0,001;0,0;0,01;0,049
11;03.07.2023;16:50:03;00:00:10;250,0;22,5;19,3;18,3;21,7;20,0;0,0;909,1;9,09E2;-91,3;20,00;3,0;3,0;39,86;0,06;0,000;0,0;0,00;0,049
12;03.07.2023;16:50:04;00:00:11;250,0;22,5;19,3;18,3;21,7;20,0;0,0;888,5;8,89E2;-113,4;20,00;3,0;3,0;39,86;0,06;0,002;0,0;0,00;0,049
13;03.07.2023;16:50:05;00:00:12;250,0;22,4;19,3;18,3;21,7;20,0;0,0;849,7;8,50E2;-150,6;20,00;3,0;3,0;39,86;0,06;0,004;0,0;0,00;0,049
14;03.07.2023;16:50:06;00:00:13;250,0;22,3;19,3;18,3;21,7;20,0;0,0;813,2;8,13E2;-188,8;20,00;3,0;3,0;39,86;0,06;0,004;0,0;0,00;0,049
15;03.07.2023;16:50:07;00:00:14;250,0;22,3;19,3;18,3;21,7;20,0;0,0;795,2;7,95E2;-205,7;20,00;3,0;3,0;39,86;0,06;0,003;0,0;0,01;0,049
16;03.07.2023;16:50:08;00:00:15;250,0;22,3;19,3;18,3;21,7;20,0;0,0;759,3;7,59E2;-243,2;20,00;3,0;3,0;39,86;0,06;0,004;0,0;0,00;0,049
17;03.07.2023;16:50:09;00:00:16;250,0;22,1;19,3;18,2;21,7;20,0;0,0;727,1;7,27E2;-273,6;20,00;3,0;3,0;39,86;0,06;0,003;0,0;0,01;0,049
18;03.07.2023;16:50:10;00:00:17;250,0;22,1;19,3;18,2;21,7;20,0;0,0;712,2;7,12E2;-290,6;20,00;3,0;3,0;39,86;0,06;0,004;0,0;0,00;0,049
19;03.07.2023;16:50:11;00:00:18;250,0;22,0;19,3;18,2;21,7;20,0;0,0;682,2;6,82E2;-318,5;20,00;3,0;3,0;39,86;0,06;0,013;0,0;0,01;0,049
20;03.07.2023;16:50:12;00:00:19;250,0;21,7;19,0;17,9;21,4;20,0;0,0;668,5;6,68E2;-334,2;20,00;3,0;3,0;39,86;0,06;0,019;0,0;0,01;0,049
21;03.07.2023;16:50:13;00:00:20;250,0;21,5;19,0;17,9;21,4;20,0;0,0;640,6;6,41E2;-359,9;20,00;3,0;3,0;39,86;0,06;0,026;0,0;0,01;0,049
22;03.07.2023;16:50:14;00:00:21;250,0;21,5;19,0;17,9;21,4;20,0;0,0;613,1;6,13E2;-388,4;20,00;3,0;3,0;39,86;0,06;0,034;0,0;0,00;0,049
23;03.07.2023;16:50:15;00:00:22;250,0;21,3;19,0;17,9;21,4;20,0;0,0;600,6;6,01E2;-400,2;20,00;3,0;3,0;39,86;0,06;0,033;0,0;0,00;0,049
24;03.07.2023;16:50:16;00:00:23;250,0;21,3;19,0;17,9;21,4;20,0;0,0;577,0;5,77E2;-424,7;20,00;3,0;3,0;39,86;0,06;0,035;0,0;0,01;0,049
25;03.07.2023;16:50:17;00:00:24;250,0;21,1;19,0;17,9;21,4;20,0;0,0;554,6;5,55E2;-448,1;20,00;3,0;3,0;39,86;0,06;0,037;0,0;0,01;0,049
