Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;04.07.2023;14:48:52;00:00:00;250,0;19,1;19,5;18,2;19,6;20,0;0,0;1002,7;1,00E3;-2,4;20,00;3,0;3,0;38,84;0,02;0,002;0,0;0,00;0,049
2;04.07.2023;14:48:53;00:00:01;250,0;19,1;19,5;18,2;19,6;20,0;0,0;1002,7;1,00E3;-2,4;20,00;3,0;3,0;38,84;0,02;0,002;0,0;0,00;0,049
3;04.07.2023;14:48:54;00:00:02;250,0;19,1;19,5;18,2;19,6;20,0;0,0;1002,7;1,00E3;-2,4;20,00;3,0;3,0;38,84;0,02;0,004;0,0;0,01;0,049
4;04.07.2023;14:48:55;00:00:03;250,0;19,1;19,5;18,2;19,6;20,0;0,0;1002,7;1,00E3;-2,4;20,00;3,0;3,0;38,84;0,02;0,001;0,0;0,01;0,049
5;04.07.2023;14:48:56;00:00:04;250,0;19,0;19,5;18,2;19,6;20,0;0,0;1002,7;1,00E3;-2,4;20,00;3,0;3,0;38,84;0,02;0,002;0,0;0,00;0,049
6;04.07.2023;14:48:57;00:00:05;250,0;19,0;19,5;18,2;19,6;20,0;0,0;1002,7;1,00E3;-2,4;20,00;3,0;2,9;38,84;0,02;-0,006;0,0;0,01;0,049
7;04.07.2023;14:48:58;00:00:06;250,0;19,0;19,5;18,2;19,6;20,0;0,0;1002,8;1,00E3;-2,4;20,00;3,0;3,0;38,84;0,02;0,000;0,0;0,00;0,049
8;04.07.2023;14:48:59;00:00:07;250,0;18,9;19,4;18,1;19,5;20,0;0,0;1002,7;1,00E3;-2,4;20,00;3,0;3,0;38,84;0,02;0,001;0,0;0,01;0,049
9;04.07.2023;14:49:00;00:00:08;250,0;18,9;19,4;18,1;19,5;20,0;0,0;1002,7;1,00E3;-2,4;20,00;3,0;3,0;38,84;0,02;0,001;0,0;0,01;0,049
10;04.07.2023;14:49:01;00:00:09;250,0;18,9;19,4;18,1;19,5;20,0;0,0;965,5;9,65E2;-36,7;20,00;3,0;3,1;38,84;0,02;0,002;0,0;0,01;0,049
11;04.07.2023;14:49:02;00:00:10;250,0;18,8;19,4;18,1;19,5;20,0;0,0;940,4;9,40E2;-60,9;20,00;3,0;3,1;38,84;0,02;0,002;0,0;0,00;0,049
12;04.07.2023;14:49:03;00:00:11;250,0;18,8;19,4;18,1;19,5;20,0;0,0;892,6;8,93E2;-110,4;20,00;3,0;3,1;38,84;0,02;0,005;0,0;0,01;0,049
13;04.07.2023;14:49:04;00:00:12;250,0;18,8;19,4;18,1;19,5;20,0;0,0;849,1;8,49E2;-152,1;20,00;3,0;3,1;38,84;0,02;0,007;0,0;0,01;0,049
14;04.07.2023;14:49:05;00:00:13;250,0;18,8;19,4;18,1;19,5;20,0;0,0;828,9;8,29E2;-174,4;20,00;3,0;3,1;38,84;0,02;0,006;0,0;0,00;0,049
15;04.07.2023;14:49:06;00:00:14;250,0;18,8;19,4;18,1;19,5;20,0;0,0;793,9;7,94E2;-208,8;20,00;3,0;3,0;38,84;0,02;0,005;0,0;0,01;0,049
