[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,22576_01
FILEOPENTIME,35309680.81,02/12/2025,3:36 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC633,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM487,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,477,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 D0,OVEN_HW_VERSION
INFO,OVN250,OVEN_SERIAL_NUMBER
INFO,01.01.10,OVEN_SOFTWARE_VERSION
INFO,568,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,54.86,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,(1.98, 1.99, 2.70),SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (�A),Bridge 2 Resistance (ohms),Bridge 2 Excitation (�A),Bridge 3 Resistance (ohms),Bridge 3 Excitation (�A),Bridge 4 Resistance (ohms),Bridge 4 Excitation (�A),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 33.63 mm touchdown = 5.82000007852912 mm,15574468.43,299.9285278,0.292466700077057,-0.0242066788233553,1.76663698804452E-5,1,0.999253354069792,40.0298881530762,1.99546238171924,12.5500001013279,-0.131694915511876,-0.0244313984630397,2.5,-1.95583814634588E-6,-0.0242018045898689,-0.000103586789075458,299.9285278,299.9285278,0.292466700077057,0.292466700077057,56.0818462548136,20.8697591767235,15.206179,0,0,0,40,5185,300.09015,0.292466700077057,,,,,,,,,,,,,0,,,,36.3404503,,,,,,299.9285278,,,,
,15574481.365,299.94740295,61.6583099365234,-0.0241856995318375,3.72432204291331E-5,1,0.999253354069792,40.0298881530762,1.99533434427141,12.5500001013279,-0.131564586427611,-0.02445108926982,2.5,-9.73790268807058E-6,-0.0241807788505687,-0.000111291052423115,299.9466553,299.9481506,49.0775375366211,74.2390823364258,56.3155531820637,20.864698701266,8.884414,0,0,0,40,4449,300.05975,61.6583099365234,,,,,,,,,,,,,0,,,,17.1790924,,,,,,299.94740295,,,,
,15574481.9,299.9481506,108.253726959229,-0.0189824890263429,0.000523365417909066,1,0.999253354069792,40.0298881530762,1.99556266691516,12.5500001013279,-0.103298373491521,-0.0190498684448057,2.5,1.8650500576781E-5,-0.0189787368238532,-6.10604219335369E-5,299.9481506,299.9481506,74.2390823364258,142.268371582031,55.9067614665059,20.8678189223028,8.512546,0,0,0,40,4449,300.0585,108.253726959229,,,,,,,,,,,,,0,,,,17.1790924,,,,,,299.9481506,,,,
,15574482.915,299.9491272,196.712387084961,-0.00102156895563763,0.000983772526080326,1,0.999253354069792,40.0298881530762,1.99509053085967,12.5500001013279,-0.00561959790021115,-0.000692032302581193,2.5,6.22087469089162E-5,-0.00102162398700283,5.79066169564594E-5,299.9481506,299.9501038,142.268371582031,251.156402587891,56.384336491756,20.8680710137178,8.512546,0,0,0,40,4449,300.05575,196.712387084961,,,,,,,,,,,,,0,,,,17.0091791,,,,,,299.9491272,,,,
,15574484.15,299.9512024,314.502044677734,0.0631742266733171,0.00180011506473416,1,0.999253354069792,40.0298881530762,1.99535982384219,12.5500001013279,0.343710974009765,0.0635790062737967,2.5,-2.77307074469112E-5,0.0631615876211353,0.000237545793364971,299.9501038,299.952301,251.156402587891,377.847686767578,56.0513627425636,20.8629948364067,9.256284,0,0,0,40,4449,300.05185,314.502044677734,,,,,,,,,,,,,0,,,,17.0091791,,,,,,299.9512024,,,,
,15574485.375,299.95336915,438.133941650391,0.105063148472265,0.00199230262116961,1,0.999253354069792,40.0298881530762,1.99511111013126,12.5500001013279,0.571571424467137,0.105585454730351,2.5,-7.14928742153178E-5,0.105042226736583,0.000369688329819474,299.952301,299.9544373,377.847686767578,498.420196533203,55.7215155074482,20.87219652621,9.256284,0,0,0,40,4449,300.04795,438.133941650391,,,,,,,,,,,,,0,,,,17.1790924,,,,,,299.95336915,,,,
,15574486.46,299.9542847,543.800674438477,0.149341614566184,0.00204345995150849,1,0.999253354069792,40.0298881530762,1.995439054449,12.5500001013279,0.812586547588615,0.150117013567396,2.5,-9.99855805647524E-5,0.14931186328368,0.000527131945104348,299.9541321,299.9544373,498.420196533203,589.18115234375,56.2037803038136,20.8721722103945,8.884414,0,0,0,40,4449,300.04485,543.800674438477,,,,,,,,,,,,,0,,,,17.0091791,,,,,,299.9542847,,,,
,15574487.54,299.95541385,649.387634277344,0.194504756606861,0.00208048197366122,1,0.999253354069792,40.0298881530762,1.99502149937319,12.5500001013279,1.05810214497326,0.195511456250331,2.5,-0.000123475815816821,0.194465971605774,0.000693290658420664,299.9541321,299.9566956,589.18115234375,709.594116210937,55.5948916873328,20.8642157612928,8.512546,0,0,0,40,4449,300.0425,649.387634277344,,,,,,,,,,,,,0,,,,17.0091791,,,,,,299.95541385,,,,
,15574488.635,299.9570618,759.560913085938,0.240130049860209,0.00208674452164706,1,0.999253354069792,40.0298881530762,1.99533162296405,12.5500001013279,1.3066563088301,0.240570570302442,2.5,-0.000306640328216971,0.24008280009759,0.000701745562584116,299.9566956,299.957428,709.594116210937,809.527709960937,55.8661167835059,20.8695293304875,8.512546,0,0,0,40,4449,300.04065,759.560913085938,,,,,,,,,,,,,0,,,,17.1790924,,,,,,299.9570618,,,,
,15574489.675,299.9582062,864.55810546875,0.286240493349254,0.0021119236436042,1,0.999253354069792,40.0298881530762,1.99530219216667,12.5500001013279,1.55754707253822,0.286732187239525,2.5,-0.000370905679635501,0.286184180988776,0.000831115349474542,299.957428,299.9589844,809.527709960937,919.588500976563,55.8231272149482,20.8765650280351,9.256284,0,0,0,40,4449,300.03815,864.55810546875,,,,,,,,,,,,,0,,,,17.1790924,,,,,,299.9582062,,,,
,15574490.775,299.95928955,974.58251953125,0.332653436220526,0.0021337157296464,1,0.999253354069792,40.0298881530762,1.99538752891453,12.5500001013279,1.81019182846918,0.333140142130162,2.5,-0.000449166001209726,0.332588056172267,0.000947758456203357,299.9589844,299.9595947,919.588500976563,1029.57653808594,55.9825794328713,20.868234103503,9.256284,0,0,0,40,4449,300.0364,974.58251953125,,,,,,,,,,,,,0,,,,17.1790924,,,,,,299.95928955,,,,
,15574491.775,299.9599304,1074.48101806641,0.379532050178064,0.00213366993391405,1,0.999253354069792,40.0298881530762,1.99543262564905,12.5500001013279,2.06525189577013,0.380546375951053,2.5,-0.000429615533917462,0.379457100874959,0.00116413917231175,299.9595947,299.9602661,1029.57653808594,1119.38549804688,55.9349000931982,20.8638758343619,9.256284,0,0,0,40,4449,300.03605,1074.48101806641,,,,,,,,,,,,,0,,,,17.2653227,,,,,,299.9599304,,,,
,15574492.82,299.96138,1179.36700439453,,,1,0.999253354069792,40.0298881530762,1.9954968447752,12.5500001013279,2.32167543021185,0.427605378019891,2.5,,,,299.9602661,299.9624939,1119.38549804688,1239.34851074219,56.0404199432944,20.8647444750061,9.256284,1,0,,40,4449,300.03415,1179.36700439453,,,,,,,,,,,,,0,,,,17.2653227,,,,,,299.96138,,,,
,15574496.655,299.9660645,1563.82214355469,0.571055641202603,0.00220306052559548,1,0.999253354069792,40.0298881530762,1.9952996184478,12.5500001013279,3.10849569283255,0.571480681066242,25,-0.000876525351874846,0.570943712630536,0.00152147760689578,299.9660645,299.9660645,1558.8095703125,1568.83471679687,55.9903957180636,20.8601021621968,9.256284,0,0,0,40,4449,300.0302,1563.82214355469,,,,,,,,,,,,,0,,,,17.1790924,,,,,,299.9660645,,,,
,15574497.275,299.9656067,1623.60974121094,0.667728354550173,0.0022354496075383,1,0.999253354069792,40.0298881530762,1.99542433207267,12.5500001013279,3.63501317882671,0.667911409840278,25,-0.00109008413868748,0.667597762392841,0.00171388849707665,299.9651489,299.9660645,1568.83471679687,1678.384765625,56.1021685963136,20.8634720779697,9.256284,0,0,0,40,4449,300.02835,1623.60974121094,,,,,,,,,,,,,0,,,,17.1790924,,,,,,299.9656067,,,,
,15574498.405,299.96572875,1738.22448730469,0.716289094754635,0.00223337712117281,1,0.999253354069792,40.0298881530762,1.99539615749596,12.5500001013279,3.89937527024293,0.716160727174972,25,-0.00122722116575591,0.716149244734289,0.00178068541515191,299.9651489,299.9663086,1678.384765625,1798.06420898438,55.9778896617559,20.8685957285992,9.256284,0,0,0,40,4449,300.02525,1738.22448730469,,,,,,,,,,,,,0,,,,17.09370325,,,,,,299.96572875,,,,
,15574499.45,299.9666443,1843.02569580078,0.764873103906159,0.00225197316089848,1,0.999253354069792,40.0298881530762,1.99549852626003,12.5500001013279,4.164071897041,0.764752054952304,25,-0.00131451974772851,0.764723761305215,0.00189738665442235,299.9663086,299.96698,1798.06420898438,1887.98718261719,55.7676315900828,20.8722024495919,9.256284,0,0,0,40,4449,300.0241,1843.02569580078,,,,,,,,,,,,,0,,,,17.09370325,,,,,,299.9666443,,,,
,15574500.525,299.9672699,1947.85064697266,0.813190391906295,0.00225239936551964,1,0.999253354069792,40.0298881530762,1.99548700564818,12.5500001013279,4.42693299181147,0.813918363386574,25,-0.00123927848159789,0.813030934709416,0.00217546393982761,299.96698,299.9675598,1887.98718261719,2007.71411132813,56.2975757261213,20.8640609431345,8.512546,0,0,0,40,4449,300.02355,1947.85064697266,,,,,,,,,,,,,0,,,,17.2653227,,,,,,299.9672699,,,,
,15574501.66,299.9676361,2062.62377929687,0.861890067574835,0.0022017353719216,1,0.999253354069792,40.0298881530762,1.99547929467283,12.5500001013279,4.69237935921175,0.860783944494653,25,-0.00165788280705248,0.861722498064969,0.00196140006146364,299.9675598,299.9677124,2007.71411132813,2117.53344726562,55.8051497590059,20.8674585725006,9.256284,0,0,0,40,4449,300.02255,2062.62377929687,,,,,,,,,,,,,0,,,,17.351553,,,,,,299.9676361,,,,
,15574502.695,299.968277,2167.45227050781,0.909949020244489,0.00221655341537072,1,0.999253354069792,40.0298881530762,1.99540892961986,12.5500001013279,4.95378108748473,0.909153015853743,25,-0.00167622597248518,0.909771778126678,0.00214481416938642,299.9677124,299.9688416,2117.53344726562,2217.37109375,55.8332883856982,20.8701630044667,9.256284,0,0,0,40,4449,300.02235,2167.45227050781,,,,,,,,,,,,,0,,,,17.17993355,,,,,,299.968277,,,,
,15574503.85,299.970047,2282.22265625,0.958056195137953,0.00220546403366356,1,0.999253354069792,40.0298881530762,1.99525752451155,12.5500001013279,5.21533515897008,0.95691124556064,25,-0.0018081739580611,0.957869705657985,0.00221484724136667,299.9688416,299.9712524,2217.37109375,2347.07421875,55.636317998852,20.8704632979857,8.512546,0,0,0,40,4449,300.0217,2282.22265625,,,,,,,,,,,,,0,,,,17.0083141,,,,,,299.970047,,,,
,15574505.055,299.97183225,2401.98193359375,1.05355980922468,0.00212061482773257,1,0.999253354069792,40.0298881530762,1.99527469079562,12.5500001013279,5.73593661527692,1.04872747729993,25,-0.00264663802056012,1.05335742605992,0.00177752807009623,299.9712524,299.9724121,2347.07421875,2456.8896484375,55.6566403403521,20.8599060321635,9.256284,0,0,0,40,4449,300.01975,2401.98193359375,,,,,,,,,,,,,0,,,,17.0083141,,,,,,299.97183225,,,,
,15574506.275,299.97229005,2521.71545410156,1.10040734115001,0.00216326258890561,1,0.999253354069792,40.0298881530762,1.99517261360517,12.5500001013279,5.9909181040134,1.09408383606787,25,-0.00298878826436029,1.10019688653482,0.00163210772994707,299.972168,299.9724121,2456.8896484375,2586.54125976562,55.8465760705251,20.8727064620877,9.256284,0,0,0,40,4449,300.0187,2521.71545410156,,,,,,,,,,,,,0,,,,17.09370325,,,,,,299.97229005,,,,
,15574507.515,299.9720917,2646.45190429687,1.14712134729235,0.00210377471544295,1,0.999253354069792,40.0298881530762,1.99528143039584,12.5500001013279,6.24577029735637,1.13953178234798,25,-0.00331006208147036,1.14690279028232,0.00150696191145638,299.9720154,299.972168,2586.54125976562,2706.36254882813,55.8661167835059,20.8664116851358,9.256284,0,0,0,40,4449,300.01925,2646.45190429687,,,,,,,,,,,,,0,,,,17.09370325,,,,,,299.9720917,,,,
,15574508.66,299.97329715,2761.20788574219,1.19332741269048,0.00207396763913767,1,0.999253354069792,40.0298881530762,1.99547728825254,12.5500001013279,6.49786667114359,1.18611108806428,25,-0.00333938863113077,1.1930995705962,0.00167155831057438,299.9720154,299.9745789,2706.36254882813,2816.05322265625,56.1506295645059,20.8642130755797,9.256284,0,0,0,40,4449,300.0204,2761.20788574219,,,,,,,,,,,,,0,,,,17.17993355,,,,,,299.97329715,,,,
,15574509.725,299.97496035,2866.0244140625,1.23897719605923,0.00209442433775254,1,0.999253354069792,40.0298881530762,1.99545225406952,12.5500001013279,6.74639006006435,1.23127768569833,25,-0.00350234825703596,1.23874071610053,0.00170023017070606,299.9745789,299.9753418,2816.05322265625,2915.99560546875,56.432015831429,20.8671611230801,9.256284,0,0,0,40,4449,300.02065,2866.0244140625,,,,,,,,,,,,,0,,,,17.17993355,,,,,,299.97496035,,,,
