Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 35.27 mm touchdown = 6.010000128299 mm,15576798.235,299.9560547,0.438700035214424,0.0506849940397279,0.000108838524921702,1,0.999253354069792,40.0298881530762,1.97987696698623,11.0999997705221,0.273212853896499,0.0531116271817124,2.5,0.00043852728807511,0.050672907206573,0.000651291115464298,299.9560547,299.9560547,0.404953867197037,0.472446203231812,55.3361726474674,20.7841761813724,9.256284,0,0,0,40,4417,300.0276,0.438700035214424,,,,,,,,,,,,,0,,,,17.1790924,,,,,,299.9560547,,,,
,15576811.34,299.969635,59.3858184814453,0.0511921190917431,0.00013859762233914,1,0.999253354069792,40.0298881530762,1.98022013753087,11.0999997705221,0.276126615363969,0.0529312815675073,2.5,0.000309394770029374,0.051180442245729,0.000524354484911649,299.969635,299.969635,59.3858184814453,59.3858184814453,56.4163832610444,20.7816914213639,8.884414,0,0,0,40,4449,299.9794,59.3858184814453,,,,,,,,,,,,,0,,,,17.7017174,,,,,,299.969635,,,,
,15576811.885,299.97032165,103.955268859863,0.0568786306823811,0.000476080713690363,1,0.999253354069792,40.0298881530762,1.98013952955771,11.0999997705221,0.306880167035687,0.0583065513803667,2.5,0.000250778959540291,0.0568660459314098,0.000489635040722984,299.969635,299.9710083,59.3858184814453,148.524719238281,56.648526931256,20.7857236645709,9.256284,0,0,0,40,4449,299.9794,103.955268859863,,,,,,,,,,,,,0,,,,17.5266352,,,,,,299.97032165,,,,
,15576812.92,299.97106935,191.84538269043,0.0720228976296506,0.000849714633134471,1,0.999253354069792,40.0298881530762,1.98034889008407,11.0999997705221,0.38806950108743,0.0768551433074386,2.5,0.000876134425848842,0.0720046141892822,0.00117847153523515,299.9710083,299.9711304,148.524719238281,235.166046142578,56.6024108486214,20.7838763817262,9.256284,0,0,0,40,4449,299.98015,191.84538269043,,,,,,,,,,,,,0,,,,17.351553,,,,,,299.97106935,,,,
,15576813.92,299.97143555,281.563369750977,0.0933460787923369,0.00112994249609225,1,0.999253354069792,40.0298881530762,1.98022763835859,11.0999997705221,0.503346825348235,0.0973646483528039,2.5,0.000721013576672571,0.0933241223494441,0.00111294285663462,299.9711304,299.9717407,235.166046142578,327.960693359375,55.9145777516982,20.7851599712725,9.256284,0,0,0,40,4449,299.98,281.563369750977,,,,,,,,,,,,,0,,,,17.351553,,,,,,299.97143555,,,,
,15576814.915,299.97213745,377.240478515625,0.118895306671732,0.00120541641766635,1,0.999253354069792,40.0298881530762,1.98049001561477,11.0999997705221,0.641092370311775,0.124598797566227,2.5,0.00102371781283413,0.118866895406778,0.00152289500935514,299.9717407,299.9725342,327.960693359375,426.520263671875,55.873151440179,20.7778284461607,9.256284,0,0,0,40,4449,299.98,377.240478515625,,,,,,,,,,,,,0,,,,17.351553,,,,,,299.97213745,,,,
,15576816,299.97233585,482.174407958984,0.146104762815259,0.00125829003298405,1,0.999253354069792,40.0298881530762,1.98000984382436,11.1100003123283,0.78843884483455,0.148669461907255,2.5,0.000441650082471035,0.146073277964907,0.00105522430666864,299.9721375,299.9725342,426.520263671875,537.828552246094,55.9661652339675,20.7868990719599,9.256284,0,0,0,40,4449,299.9806,482.174407958984,,,,,,,,,,,,,0,,,,17.4386654,,,,,,299.97233585,,,,
,15576817.005,299.97299195,583.304901123047,0.173488958876961,0.00123793791828815,1,0.999253354069792,40.0298881530762,1.98039199163752,11.0999997705221,0.936278679859011,0.177173165476936,2.5,0.000636567412472352,0.173451098068034,0.00136511619959832,299.9721375,299.9738464,537.828552246094,628.78125,57.1589303543137,20.7828755759436,9.256284,0,0,0,40,4449,299.97995,583.304901123047,,,,,,,,,,,,,0,,,,17.6137476,,,,,,299.97299195,,,,
,15576818.06,299.97349545,688.999877929688,0.200812744513707,0.00125782161568239,1,0.999253354069792,40.0298881530762,1.98025823355496,11.0999997705221,1.0840630302426,0.202929307197474,2.5,0.000341581046339437,0.200770577742661,0.00118494722304563,299.9731445,299.9738464,628.78125,749.218505859375,56.963523224506,20.7783255165909,9.256284,0,0,0,40,4449,299.9796,688.999877929688,,,,,,,,,,,,,0,,,,17.5266352,,,,,,299.97349545,,,,
,15576819.24,299.97427365,809.329498291016,0.228017791088748,0.0012533403997531,1,0.999253354069792,40.0298881530762,1.98014409901526,11.0999997705221,1.2306993302544,0.231257969415963,2.5,0.000545252950747738,0.227969245476554,0.0015028287786925,299.9731445,299.9754028,749.218505859375,869.440490722656,55.5057860361405,20.7830392182665,9.256284,0,0,0,40,4449,299.9805,809.329498291016,,,,,,,,,,,,,0,,,,17.351553,,,,,,299.97427365,,,,
,15576820.28,299.9763794,914.411834716797,0.255433100473069,0.00132629036728474,1,0.999253354069792,40.0298881530762,1.98026634234021,11.0999997705221,1.37885182357462,0.258546432716236,2.5,0.000512313638285775,0.255379113978986,0.00158502111225179,299.9754028,299.977356,869.440490722656,959.383178710937,56.3444734372752,20.7818020162689,8.512546,0,0,0,40,4449,299.98305,914.411834716797,,,,,,,,,,,,,0,,,,17.351553,,,,,,299.9763794,,,,
,15576824.255,299.9789734,1313.94586181641,0.364132794457054,0.00130683554912525,1,0.999253354069792,40.0298881530762,1.98036942386388,11.1100003123283,1.96681021845589,0.366340315034171,25,0.000291508731801377,0.364057647656024,0.00182074065366601,299.9789734,299.9789734,1308.83459472656,1319.05712890625,56.6242964471598,20.7780345028191,8.512546,0,0,0,40,4449,299.983,1313.94586181641,,,,,,,,,,,,,0,,,,17.5257778,,,,,,299.9789734,,,,
,15576824.88,299.97895815,1374.32019042969,0.392488640550511,0.00122473211362576,1,0.999253354069792,40.0298881530762,1.98009624829906,11.0999997705221,2.11998720105397,0.393185041223114,25,1.24703884640348E-5,0.39240891076309,0.00166083396628611,299.9789429,299.9789734,1319.05712890625,1429.58325195312,57.0018230219483,20.7857193992099,8.512546,0,0,0,40,4449,299.98375,1374.32019042969,,,,,,,,,,,,,0,,,,17.6137476,,,,,,299.97895815,,,,
,15576826.085,299.97885135,1494.5166015625,0.419677166122938,0.00119005036939035,1,0.999253354069792,40.0298881530762,1.98023134524123,11.0999997705221,2.26658433491073,0.422659628474156,25,0.000422451309981592,0.419590199014937,0.0021848942921594,299.9787598,299.9789429,1429.58325195312,1559.44995117187,56.0091548025252,20.7869879001939,9.256284,0,0,0,40,4449,299.98415,1494.5166015625,,,,,,,,,,,,,0,,,,17.7017174,,,,,,299.97885135,,,,
,15576827.195,299.97994995,1604.22894287109,0.446775187853394,0.00129791094759615,1,0.999253354069792,40.0298881530762,1.98019263849593,11.0999997705221,2.4132438223979,0.448026627577509,25,9.52326456609429E-5,0.446684078372495,0.0019715227192584,299.9787598,299.9811401,1559.44995117187,1649.00793457031,56.5688008222944,20.7894606855594,8.512546,0,0,0,40,4449,299.9846,1604.22894287109,,,,,,,,,,,,,0,,,,17.5266352,,,,,,299.97994995,,,,
,15576828.265,299.981369,1708.91021728516,0.472840876889848,0.00130306079934172,1,0.999253354069792,40.0298881530762,1.98033281292043,11.0999997705221,2.55438934576456,0.473247828673264,25,-7.5083599484167E-5,0.472745168361077,0.00191068179224536,299.9811401,299.9815979,1649.00793457031,1768.8125,56.2233210167944,20.7827285525726,8.884414,0,0,0,40,4449,299.98535,1708.91021728516,,,,,,,,,,,,,0,,,,17.5266352,,,,,,299.981369,,,,
,15576829.39,299.98179625,1823.72479248047,0.500064606176316,0.00127717267563244,1,0.999253354069792,40.0298881530762,1.98023499435472,11.0999997705221,2.70147268585505,0.499688827139538,25,-0.000224165237746408,0.499963988805384,0.00187594407728226,299.9815979,299.9819946,1768.8125,1878.63708496094,56.1873661049098,20.7889861904652,9.256284,0,0,0,40,4449,299.9843,1823.72479248047,,,,,,,,,,,,,0,,,,17.5266352,,,,,,299.98179625,,,,
