Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 35.71 mm touchdown = 6.08999980613589 mm,15579714.845,299.9391785,-0.359959006309509,-0.063632363432286,8.80417070817395E-5,1,0.999253354069792,40.0298881530762,1.98064090765243,10.7399998232722,-0.343749378210038,-0.0633842052106106,2.5,6.40993442567729E-5,-0.06361981038015,-0.000203133411587649,299.9391785,299.9391785,-0.382456451654434,-0.337461560964584,56.1858028478713,20.8143142614583,16.321785,0,0,0,40,5185,300.0328,-0.359959006309509,,,,,,,,,,,,,0,,,,41.8477211,,,,,,299.9391785,,,,
,15579728.055,299.9614258,40.3320941925049,-0.0637840413968964,9.05269679549103E-5,1,0.999253354069792,40.0298881530762,1.98009771028617,10.7399998232722,-0.344586656102168,-0.062923035579518,2.5,0.00017452213233887,-0.0637718654144901,-9.34096569958687E-5,299.9614258,299.9614258,31.8573226928711,48.8068656921387,55.6816524529674,20.8164275736881,9.256284,0,0,0,40,4449,299.9947,40.3320941925049,,,,,,,,,,,,,0,,,,17.7017174,,,,,,299.9614258,,,,
,15579729.53,299.9643555,160.897346496582,-0.0485048195254443,0.00110077210537794,1,0.999253354069792,40.0298881530762,1.98026748732127,10.7399998232722,-0.261960861482962,-0.048410978561815,2.5,2.95880586790382E-5,-0.0484951215884363,-0.000174143738003749,299.9643555,299.9643555,156.58283996582,165.211853027344,56.1318704800444,20.811692934593,8.512546,0,0,0,40,4449,299.98935,160.897346496582,,,,,,,,,,,,,0,,,,17.8803339,,,,,,299.9643555,,,,
,15579730.045,299.96455385,204.889785766602,-0.0138673737412141,0.00212770385531628,1,0.999253354069792,40.0298881530762,1.98016373528892,10.7399998232722,-0.0750944811645962,-0.0127368460300939,2.5,0.000212723179054229,-0.0138654589640278,0.000154435555477251,299.9643555,299.9647522,165.211853027344,244.567718505859,56.1115481385444,20.8134447249742,8.884414,0,0,0,40,4449,299.9887,204.889785766602,,,,,,,,,,,,,0,,,,17.7923641,,,,,,299.96455385,,,,
,15579730.91,299.9650116,286.425170898438,0.0415267971133675,0.00285183024812632,1,0.999253354069792,40.0298881530762,1.98014919977884,10.7399998232722,0.224332991323896,0.0410582652688601,2.5,-9.67757840760908E-5,0.0415187932492369,7.76628727351312E-5,299.9647522,299.965271,244.567718505859,328.282623291016,56.1490663074675,20.8226457288963,8.512546,0,0,0,40,4449,299.9847,286.425170898438,,,,,,,,,,,,,0,,,,17.7026186,,,,,,299.9650116,,,,
,15579731.975,299.9663391,387.674835205078,0.106223057278334,0.00304904697520265,1,0.999253354069792,40.0298881530762,1.98019906213616,10.7399998232722,0.573481885253127,0.106982142972788,2.5,0.000114488024552976,0.106201057562006,0.000560623499994218,299.965271,299.9674072,328.282623291016,447.067047119141,55.6519505692367,20.8169196884731,8.512546,0,0,0,40,4449,299.9799,387.674835205078,,,,,,,,,,,,,0,,,,17.7905884,,,,,,299.9663391,,,,
,15579732.995,299.9674072,487.495346069336,0.173148711084442,0.00302980048693549,1,0.999253354069792,40.0298881530762,1.97995511322751,10.7399998232722,0.935095553861048,0.172182310632799,2.5,-0.00021765224639004,0.173114541745653,0.000509651500211521,299.9674072,299.9674072,447.067047119141,527.923645019531,55.5776958599097,20.8203381443587,8.512546,0,0,0,40,4449,299.97815,487.495346069336,,,,,,,,,,,,,0,,,,17.7017174,,,,,,299.9674072,,,,
,15579733.845,299.96795655,578.355010986328,0.238853219050381,0.0029459329612913,1,0.999253354069792,40.0298881530762,1.9800396298277,10.7500003650784,1.29015495001194,0.236633341321398,2.5,-0.000466307471846215,0.238806775923159,0.000537021580358117,299.9674072,299.9685059,527.923645019531,628.786376953125,56.0685585699867,20.822120681148,8.884414,0,0,0,40,4449,299.97565,578.355010986328,,,,,,,,,,,,,0,,,,17.7017174,,,,,,299.96795655,,,,
,15579734.895,299.96867375,684.014007568359,0.302689159671235,0.0028550195533021,1,0.999253354069792,40.0298881530762,1.98004235232975,10.7399998232722,1.63494024459285,0.300004853731495,2.5,-0.000567148837836349,0.302630195523802,0.000704332811558333,299.9685059,299.9688416,628.786376953125,739.241638183594,56.3007022401983,20.8215223767501,8.512546,0,0,0,40,4449,299.97195,684.014007568359,,,,,,,,,,,,,0,,,,17.7017174,,,,,,299.96867375,,,,
,15579739.3,299.9703674,1124.35833740234,0.544746505789813,0.0027170085184153,1,0.999253354069792,40.0298881530762,1.98005057046745,10.7399998232722,2.94377200060394,0.537908696366981,25,-0.00142561691060728,0.544642053555732,0.000862756827891876,299.9703674,299.9703674,1119.283203125,1129.43347167969,56.0122813166021,20.823389774727,8.512546,0,0,0,40,4449,299.96,1124.35833740234,,,,,,,,,,,,,0,,,,17.7017174,,,,,,299.9703674,,,,
