Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 35.37 mm touchdown = 5.78999985009432 mm,15577802.82,299.9111328,-0.359958991408348,0.0253443838926104,1.40379968353302E-5,1,0.999253354069792,40.0298881530762,1.98115109645626,10.780000127852,0.137019086489932,0.0248675715647119,2.5,-9.66960052458684E-5,0.0253397068805071,9.77977603205627E-6,299.9111328,299.9111328,-0.404953867197037,-0.314964115619659,56.4390504881021,20.7964205351876,82.886238,0,0,0,40,5185,299.97515,-0.359958991408348,,,,,,,,,,,,,0,,,,273.0595093,,,,,,299.9111328,,,,
,15577816.26,299.9145508,44.2778873443604,0.0254121852317842,2.65351468181038E-5,1,0.999253354069792,40.0298881530762,1.98123300862965,10.780000127852,0.137393662973649,0.0249216836218063,2.5,-9.94141316255775E-5,0.0254075050916353,7.32282220755658E-6,299.9145508,299.9145508,40.0483016967773,48.5074729919434,56.0466729714482,20.7975988937314,13.718705,0,0,0,40,5217,300.032,44.2778873443604,,,,,,,,,,,,,0,,,,32.5586777,,,,,,299.9145508,,,,
,15577816.925,299.916626,99.3976192474365,0.0283793483443675,0.000274882255133189,1,0.999253354069792,40.0298881530762,1.98119599345812,10.7899997383356,0.153408411803838,0.0279644031199828,2.5,-8.63398166104717E-5,0.0283740160926588,3.28531367639528E-5,299.9145508,299.9187012,48.5074729919434,150.28776550293,56.9009929429675,20.800411794097,11.115625,0,0,0,40,5217,300.0351,99.3976192474365,,,,,,,,,,,,,0,,,,30.4339266,,,,,,299.916626,,,,
,15577818,299.9187012,191.131210327148,0.0374333590129405,0.000536771819044043,1,0.999253354069792,40.0298881530762,1.98094513217857,10.7599999755621,0.202301730897048,0.0370128285457993,2.5,-8.95662407478521E-5,0.0374262208509948,6.76458952508139E-5,299.9187012,299.9187012,150.28776550293,231.974655151367,54.8116999110635,20.7952824824976,401.577576,0,0,0,40,5217,300.038,191.131210327148,,,,,,,,,,,,,0,,,,26.58529375,,,,,,299.9187012,,,,
,15577818.915,299.91970825,279.987312316895,0.0510980005183972,0.000696011817126281,1,0.999253354069792,40.0298881530762,1.98138421255036,10.7699995860457,0.276212712907091,0.0505174112467901,2.5,-0.000125492405705755,0.0510882685366,8.91066626008982E-5,299.9187012,299.9207153,231.974655151367,327.999969482422,57.2894623170253,20.8122319163045,207.462173,0,0,0,40,5217,300.0392,279.987312316895,,,,,,,,,,,,,0,,,,107.35155865,,,,,,299.91970825,,,,
,15577820.02,299.9375,392.803985595703,0.0671076060319224,0.000758139222034357,1,0.999253354069792,40.0298881530762,1.98124798601923,10.780000127852,0.362722649026455,0.0663740535519662,2.5,-0.000158616997800221,0.0670947553812923,0.000123211919961298,299.9207153,299.9542847,327.999969482422,457.608001708984,56.7118388413137,20.7969236373833,72.102058,0,0,0,40,5217,300.04185,392.803985595703,,,,,,,,,,,,,0,,,,209.1669159,,,,,,299.9375,,,,
,15577821.09,299.9542847,497.913650512695,0.0838023847047181,0.000764132246174493,1,0.999253354069792,40.0298881530762,1.98125507513801,10.780000127852,0.452978645978191,0.0827899764156358,2.5,-0.000215953370937732,0.0837863607374238,0.000135987123100682,299.9542847,299.9542847,457.608001708984,538.219299316406,56.0841911403713,20.7962594349361,40.865105,0,0,0,40,5217,300.0429,497.913650512695,,,,,,,,,,,,,0,,,,173.559433,,,,,,299.9542847,,,,
,15577821.98,299.94433595,583.515960693359,0.100408533069632,0.000754134087037393,1,0.999253354069792,40.0298881530762,1.9812848146691,10.780000127852,0.542766443491386,0.0990992932681541,2.5,-0.000276827556104314,0.100389446806033,0.000144854086726662,299.9343872,299.9542847,538.219299316406,628.812622070312,57.2183341217753,20.7968344278321,27.10597,0,0,0,40,5217,300.0427,583.515960693359,,,,,,,,,,,,,0,,,,88.9582138,,,,,,299.94433595,,,,
,15577822.93,299.93292235,678.970642089844,0.116816002148651,0.000745631430155295,1,0.999253354069792,40.0298881530762,1.98126626112415,10.780000127852,0.631464006504897,0.115231623137982,2.5,-0.000333201088164984,0.116793893324348,0.000157384914341462,299.9314575,299.9343872,628.812622070312,729.128662109375,56.1584458496982,20.7955576208939,20.412338,0,0,0,40,5217,300.04265,678.970642089844,,,,,,,,,,,,,0,,,,52.0562992,,,,,,299.93292235,,,,
,15577823.88,299.93240355,774.113616943359,0.133170717176715,0.000746514967442878,1,0.999253354069792,40.0298881530762,1.98119924460789,10.780000127852,0.719872902516613,0.131224806739317,2.5,-0.000404907779791965,0.133145620911072,0.000154366026705183,299.9314575,299.9333496,729.128662109375,819.098571777344,56.432015831429,20.7985137171702,15.949916,0,0,0,40,5217,300.0412,774.113616943359,,,,,,,,,,,,,0,,,,41.32245445,,,,,,299.93240355,,,,
,15577824.91,299.93370055,879.157318115234,0.149542275582241,0.000753779394288317,1,0.999253354069792,40.0298881530762,1.98124185986938,10.780000127852,0.808373907784936,0.147439283001233,2.5,-0.00044005303945064,0.149514025460438,0.00018797317896826,299.9333496,299.9340515,819.098571777344,939.216064453125,56.6274229612368,20.7984475741147,12.6031,0,0,0,40,5217,300.03885,879.157318115234,,,,,,,,,,,,,0,,,,34.3971567,,,,,,299.93370055,,,,
,15577825.91,299.93548585,979.187103271484,0.167223656819604,0.000878184752809794,1,0.999253354069792,40.0298881530762,1.98109515471169,10.780000127852,0.903890327834695,0.164847575604971,2.5,-0.000494398605445103,0.167192065433093,0.000207881468736694,299.9340515,299.9369202,939.216064453125,1019.15814208984,57.4129596230638,20.8007635966703,11.487494,0,0,0,40,5217,300.03745,979.187103271484,,,,,,,,,,,,,0,,,,29.9263935,,,,,,299.93548585,,,,
,15577826.875,299.93800355,1074.0735168457,0.186936343671364,0.000908244504061162,1,0.999253354069792,40.0298881530762,1.98112635698621,10.780000127852,1.01043195383477,0.184425110484337,2.5,-0.000526362829361208,0.186900901091937,0.000258690569955896,299.9369202,299.9390869,1019.15814208984,1128.98889160156,57.1417345268907,20.8097000938172,10.371889,0,0,0,40,5217,300.03775,1074.0735168457,,,,,,,,,,,,,0,,,,27.1218014,,,,,,299.93800355,,,,
,15577827.955,299.9397888,1183.90979003906,0.20696706514041,0.000906437153027982,1,0.999253354069792,40.0298881530762,1.98109414930857,10.780000127852,1.11869491819702,0.204127791082156,2.5,-0.000593069797823715,0.206927854969445,0.000276100683711294,299.9390869,299.9404907,1128.98889160156,1238.83068847656,56.3984058051021,20.8052981289486,10.00002,0,0,0,40,5217,300.0368,1183.90979003906,,,,,,,,,,,,,0,,,,24.15748405,,,,,,299.9397888,,,,
,15577832.33,299.9464722,1622.91510009766,0.287340191134682,0.000909253034990114,1,0.999253354069792,40.0298881530762,1.98115086571181,10.7899997383356,1.55371843674441,0.283299672608722,25,-0.000860366961906084,0.287285839253463,0.000346336569246659,299.9464722,299.9464722,1617.96838378906,1627.86181640625,56.6414922745829,20.8034320076087,8.512546,0,0,0,40,4449,300.0274,1622.91510009766,,,,,,,,,,,,,0,,,,17.7017174,,,,,,299.9464722,,,,
,15577833.02,299.94792175,1692.75903320313,0.30725159797867,0.0009071804388159,1,0.999253354069792,40.0298881530762,1.98112465893601,10.780000127852,1.66137771983639,0.302846407660889,25,-0.000934924269881031,0.307193526611574,0.000355395594957261,299.9464722,299.9493713,1627.86181640625,1757.65625,56.1545377071021,20.8091341743905,8.512546,0,0,0,40,4449,300.0268,1692.75903320313,,,,,,,,,,,,,0,,,,17.7017174,,,,,,299.94792175,,,,
,15577834.245,299.9500122,1812.57287597656,0.327063119426352,0.000898998325649476,1,0.999253354069792,40.0298881530762,1.98102056734909,10.780000127852,1.76841741226487,0.32232953961866,25,-0.00100034920906793,0.327001300291981,0.000373168273278037,299.9493713,299.9506531,1757.65625,1867.48950195313,55.8848758679674,20.8115969607273,8.512546,0,0,0,40,4449,300.0243,1812.57287597656,,,,,,,,,,,,,0,,,,17.7017174,,,,,,299.9500122,,,,
,15577835.275,299.95129395,1912.39306640625,0.34681541160155,0.000888647004697645,1,0.999253354069792,40.0298881530762,1.98110400791363,10.7899997383356,1.87526979577844,0.341941720395484,25,-0.00103639174215579,0.346749739750028,0.000420077448519551,299.9506531,299.9519348,1867.48950195313,1957.29663085938,56.2358270731021,20.8117161316947,8.512546,0,0,0,40,4449,300.0207,1912.39306640625,,,,,,,,,,,,,0,,,,17.7017174,,,,,,299.95129395,,,,
,15577836.235,299.95265195,2007.18920898438,0.366400635810624,0.000880752358583785,1,0.999253354069792,40.0298881530762,1.98106941595438,10.7899997383356,1.9811393202351,0.361224726404182,25,-0.00109877004084457,0.366331253345937,0.000439947460438199,299.9519348,299.9533691,1957.29663085938,2057.08178710938,56.4210730321598,20.8077736687754,9.256284,0,0,0,40,4449,300.0185,2007.18920898438,,,,,,,,,,,,,0,,,,17.5266352,,,,,,299.95265195,,,,
,15577837.115,299.95379635,2096.99731445313,0.385934051567104,0.000878794266807741,1,0.999253354069792,40.0298881530762,1.98112502685267,10.780000127852,2.08682804905665,0.380417695316735,25,-0.00117116563892317,0.38586101611519,0.000449541972417007,299.9533691,299.9542236,2057.08178710938,2136.91284179687,56.2686554709098,20.8092592181833,9.256284,0,0,0,40,4449,300.02305,2096.99731445313,,,,,,,,,,,,,0,,,,17.351553,,,,,,299.95379635,,,,
,15577838.115,299.95539855,2196.84814453125,0.405234506497169,0.000881990163189574,1,0.999253354069792,40.0298881530762,1.98111336591998,10.780000127852,2.1912488211934,0.399052904578678,25,-0.0013013263175954,0.405158098223991,0.00040041499278249,299.9542236,299.9565735,2136.91284179687,2256.78344726562,56.2303556734675,20.8102836345732,8.512546,0,0,0,40,4449,300.02515,2196.84814453125,,,,,,,,,,,,,0,,,,17.4386654,,,,,,299.95539855,,,,
