
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 36.32 mm touchdown = 8.74000042676926 mm,16175509.41,300.0065613,0,0.0663891295764443,6.55068125115263E-6,1,0.999253354069792,40.0298881530762,1.99897855389795,13.2799996063113,0.762460557568552,0.132892299665622,2.5,-0.000124377285952638,0.0663870105247605,-8.13303916840047E-5,300.0065613,300.0065613,-0.0224974378943443,0.0224974378943443,55.3025626211405,20.6150412756322,8.512546,0,0,0,40,4417,300.1563,0,,,,,,,,,,,,,0,,,,11.9898119,,,,,,300.0065613,,,,
,16175521.61,300.00697325,43.433895111084,0.0700733901722798,0.000542128045764033,1,0.999253354069792,40.0298881530762,1.99910883080946,13.2799996063113,0.804740735406697,0.140744388349226,2.5,-9.04732740433373E-5,0.0700711258298847,-4.50394299347423E-5,300.0069275,300.007019,34.4089469909668,52.4588432312012,55.3572766174866,20.616854508396,8.884414,0,0,0,40,4449,300.1593,43.433895111084,,,,,,,,,,,,,0,,,,12.0500002,,,,,,300.00697325,,,,
,16175522.34,300.00665285,104.902997970581,0.101772116079811,0.00270299092269718,1,0.999253354069792,40.0298881530762,1.99908357935062,13.2799996063113,1.1683256490689,0.206891142218399,2.5,8.47235866231262E-5,0.101768688769877,0.000150702965059542,300.0063782,300.0069275,52.4588432312012,157.347152709961,55.0422803242366,20.6176670533112,8.884414,0,0,0,40,4449,300.1587,104.902997970581,,,,,,,,,,,,,0,,,,11.9898119,,,,,,300.00665285,,,,
,16175523.56,300.0065613,204.982147216797,,,1,0.999253354069792,40.0298881530762,1.99913633929416,13.2799996063113,2.20990700996072,0.392131941665404,2.5,,,,300.0063782,300.0067444,157.347152709961,252.617141723633,55.4260599271789,20.617824579067,8.884414,1,0,,40,4449,300.1576,204.982147216797,,,,,,,,,,,,,0,,,,11.9898119,,,,,,300.0065613,,,,
,16175527.705,300.0071106,608.499176025391,0.846371725044936,0.00743146629831772,1,0.999253354069792,40.0298881530762,1.99913967321679,13.2799996063113,9.72224977095902,1.70648696809083,25,-0.000575593496409377,0.846344035658297,-2.68510007380625E-5,300.0069275,300.0072937,598.383850097656,618.614501953125,55.3807254730635,20.6183599137997,9.256284,0,0,0,40,4449,300.1566,608.499176025391,,,,,,,,,,,,,0,,,,12.2317734,,,,,,300.0071106,,,,
,16175528.4,300.0068512,678.962524414062,1.00730399005894,0.00726581125068713,1,0.999253354069792,40.0298881530762,1.99908627260994,13.2799996063113,11.5706471900432,2.03052964174497,25,-0.000718412329853737,1.0072710694825,-6.53327930501698E-5,300.0067749,300.0069275,618.614501953125,739.310546875,55.4885902087174,20.6187842616058,8.512546,0,0,0,40,4449,300.1573,678.962524414062,,,,,,,,,,,,,0,,,,12.11079265,,,,,,300.0068512,,,,
,16175532.5,300.0072937,1094.86291503906,1.47574908281074,0.00718039245022815,1,0.999253354069792,40.0298881530762,1.9990742950511,13.2799996063113,16.973946883029,2.97612033305019,250,-0.00127456799448061,1.47570096864624,-0.000317781705625844,300.0072937,300.0072937,1089.89660644531,1099.82922363281,55.3478970752559,20.619705588607,9.256284,0,0,0,40,4449,300.1557,1094.86291503906,,,,,,,,,,,,,0,,,,11.9898119,,,,,,300.0072937,,,,
,16175533.11,300.0072174,1154.78552246094,1.6303689520476,0.0069753091553152,1,0.999253354069792,40.0298881530762,1.99909921390645,13.2799996063113,18.7527605170737,3.28704141280678,250,-0.00148962957368793,1.6303158555339,-0.000432597602664516,300.0071411,300.0072937,1099.82922363281,1209.74182128906,55.453416925352,20.6200610943432,9.256284,0,0,0,40,4449,300.15565,1154.78552246094,,,,,,,,,,,,,0,,,,11.9898119,,,,,,300.0072174,,,,
,16175534.145,300.00723265,1254.66821289062,1.78216887407121,0.00688790248314639,1,0.999253354069792,40.0298881530762,1.99909316043573,13.2799996063113,20.4989474889995,3.59183380165876,250,-0.00173667272490203,1.78211090383412,-0.000581228773311282,300.0071411,300.0073242,1209.74182128906,1299.59460449219,55.6410077699674,20.6209970264808,9.256284,0,0,0,40,4449,300.15635,1254.66821289062,,,,,,,,,,,,,0,,,,12.0500002,,,,,,300.00723265,,,,
,16175535.105,300.0075073,1349.52209472656,1.9325782743778,0.00684150094945795,1,0.999253354069792,40.0298881530762,1.99906854455402,13.2799996063113,22.2284615963166,3.89646263982713,250,-0.00174972926273812,1.93251530250093,-0.000496786395918093,300.0073242,300.0076904,1299.59460449219,1399.44958496094,55.639444512929,20.6201892424629,8.884414,0,0,0,40,4449,300.15755,1349.52209472656,,,,,,,,,,,,,0,,,,12.0500002,,,,,,300.0075073,,,,
