
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 35.71 mm touchdown = 8.72000027447939 mm,16169311.055,299.9981995,-0.438700020313263,-3.12920700401831,0.000232935016664238,1,0.999253354069792,40.0298881530762,1.97457918181171,13.8699999079108,-35.5710543979163,-6.23394288339001,250,0.00294905922960576,-3.12910647556139,0.000920821529420125,299.9981995,299.9981995,-0.449948728084564,-0.427451312541962,56.1435949078329,20.5951009314842,9.256284,0,0,0,40,4417,300.23775,-0.438700020313263,,,,,,,,,,,,,0,,,,11.69422485,,,,,,299.9981995,,,,
,16169324.055,300.0024719,48.7747707366943,-3.12921410401784,0.000325174674414737,1,0.999253354069792,40.0298881530762,1.97460397575163,13.8699999079108,-35.5713986865974,-6.23491946742975,250,0.00287083913220767,-3.1291129270075,0.000842625971730366,300.0024719,300.0024719,40.3970794677734,57.1524620056152,55.9372449787559,20.5939178817248,9.256284,0,0,0,40,4449,300.2408,48.7747707366943,,,,,,,,,,,,,0,,,,11.6358137,,,,,,300.0024719,,,,
,16169324.655,300.00411985,98.4255504608154,-3.12829750775023,0.000283329578365575,1,0.999253354069792,40.0298881530762,1.97461541256203,13.8699999079108,-35.5615808594769,-6.23081595319604,250,0.00307333303049188,-3.12819626255752,0.00104572589463413,300.0024719,300.0057678,57.1524620056152,139.698638916016,55.6331914847751,20.5952435300432,8.884414,0,0,0,40,4449,300.24275,98.4255504608154,,,,,,,,,,,,,0,,,,11.69422485,,,,,,300.00411985,,,,
,16169325.59,300.0048065,174.159332275391,-3.12425657703118,0.000333088925751416,1,0.999253354069792,40.0298881530762,1.97461541256203,13.8699999079108,-35.5153337401108,-6.22452584959107,250,0.00291461001313229,-3.12415526809959,0.000889648020049856,300.0038452,300.0057678,139.698638916016,208.620025634766,55.7418378489482,20.5952435300432,8.512546,0,0,0,40,4449,300.2447,174.159332275391,,,,,,,,,,,,,0,,,,11.69422485,,,,,,300.0048065,,,,
,16169326.505,300.0044098,258.801605224609,-3.11607457814475,0.000572504533993217,1,0.999253354069792,40.0298881530762,1.97464048842491,13.8699999079108,-35.4231122131096,-6.20627099728735,250,0.00308551193826604,-3.11597370528197,0.00106584256935299,300.0038452,300.0049744,208.620025634766,308.983184814453,56.0333852866213,20.5941904483937,8.512546,0,0,0,40,4449,300.2433,258.801605224609,,,,,,,,,,,,,0,,,,11.69422485,,,,,,300.0044098,,,,
,16169327.58,300.0052948,362.864547729492,-3.10505777800888,0.000606182331015687,1,0.999253354069792,40.0298881530762,1.97460964364073,13.8699999079108,-35.297011853662,-6.18613363374132,250,0.0029076675722318,-3.10495703018608,0.000895144074404059,300.0049744,300.0056152,308.983184814453,416.745910644531,55.7621601904482,20.5952602432604,9.256284,0,0,0,40,4449,300.2422,362.864547729492,,,,,,,,,,,,,0,,,,11.752636,,,,,,300.0052948,,,,
,16169328.595,300.0055389,462.176849365234,-3.09299008284865,0.000680401289286844,1,0.999253354069792,40.0298881530762,1.97459697945496,13.8699999079108,-35.159718295655,-6.16146941127095,250,0.00294774859442136,-3.09288972780686,0.000943063170851247,300.0054626,300.0056152,416.745910644531,507.607788085937,56.0271322584675,20.5957475279647,8.512546,0,0,0,40,4449,300.2434,462.176849365234,,,,,,,,,,,,,0,,,,11.69422485,,,,,,300.0055389,,,,
,16169330.485,300.006134,653.796630859375,-3.06820269536911,0.000629024780596798,1,0.999253354069792,40.0298881530762,1.97462689060902,13.8699999079108,-34.8783099194242,-6.11297779451205,250,0.00285386391896079,-3.06810301883159,0.000865264120775527,300.006134,300.006134,648.724548339844,658.868713378906,56.1232725663329,20.5935239350883,9.256284,0,0,0,40,4449,300.2434,653.796630859375,,,,,,,,,,,,,0,,,,11.752636,,,,,,300.006134,,,,
,16169331.125,300.0058136,714.054626464844,-3.05593488940685,0.000609075298181018,1,0.999253354069792,40.0298881530762,1.97459127176023,13.8699999079108,-34.7378650650826,-6.09064377310707,250,0.00264775143873811,-3.05583552989001,0.00066711618833935,300.0054932,300.006134,658.868713378906,769.240539550781,55.7340215637559,20.5954051395885,9.256284,0,0,0,40,4449,300.24355,714.054626464844,,,,,,,,,,,,,0,,,,11.752636,,,,,,300.0058136,,,,
,16169332.18,300.0062561,819.228210449219,-3.04380369515829,0.000619487548548442,1,0.999253354069792,40.0298881530762,1.97458294955605,13.8699999079108,-34.6001460117893,-6.06462235938464,250,0.00279725482323213,-3.04370477393779,0.000824483192080207,300.0054932,300.007019,769.240539550781,869.215881347656,56.0208792303136,20.5951263626214,9.256284,0,0,0,40,4449,300.24305,819.228210449219,,,,,,,,,,,,,0,,,,11.752636,,,,,,300.0062561,,,,
