 
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,17406463.31,299.9969177,1000.01104736328,,,2,,,,11.8699999584258,,,,,,,299.9969177,299.9969177,1000.01104736328,1000.01104736328,,,7.396941,,,,-99999999,4369,299.9794,1000.01104736328,,,,,,,,,,,,,,,,,,,,,,,299.9969177,,,,
sample offset = 34.61 mm touchdown = 6.10999995842576 mm,17406498.735,299.9966125,0.213725663721561,0.0129897501094705,0.000143085702801426,1,0.999253354069792,40.0298881530762,2.00577912689103,11.8599999696016,0.0711588449853997,0.0131049202906006,250,-1.59423606602051E-5,0.012987170847252,3.86229722661828E-5,299.9966125,299.9966125,0.179979503154755,0.247471824288368,55.8715881831405,20.8410187551307,9.256284,0,0,0,40,4417,299.97425,0.213725663721561,,,,,,,,,,,,,0,,,,11.23614355,,,,,,299.9966125,,,,
,17406512.195,300.0000305,33.8689165115356,0.0097674739061358,5.23673027022742E-5,1,0.999253354069792,40.0298881530762,2.00580372703028,11.8599999696016,0.0534770806345671,0.0100187893788976,250,1.80663880939694E-5,0.00976540707870724,5.90890968710359E-5,300.0000305,300.0000305,29.7229900360107,38.0148429870605,55.4588883249866,20.8635746902408,9.256284,0,0,0,40,4449,299.9792,33.8689165115356,,,,,,,,,,,,,0,,,,11.1800203,,,,,,300.0000305,,,,
,17406512.78,300.0008392,85.1687908172607,0.0127920888209811,0.000261848761581472,1,0.999253354069792,40.0298881530762,2.00591587674573,11.8599999696016,0.0700761902745819,0.0129306121899493,250,-1.12711652254334E-5,0.0127895283208921,4.2461821575448E-5,300.0000305,300.0016479,38.0148429870605,132.322738647461,55.4612332105443,20.8606211017822,8.512546,0,0,0,40,4449,299.9786,85.1687908172607,,,,,,,,,,,,,0,,,,11.01497555,,,,,,300.0008392,,,,
,17406513.82,300.0016937,177.970985412598,0.0202045043876039,0.000391515851093248,1,0.999253354069792,40.0298881530762,2.00618438553119,11.8599999696016,0.110749282700412,0.0201412690903607,250,-6.97724190521363E-5,0.0202006778943728,1.51064551732084E-5,300.0016479,300.0017395,132.322738647461,223.619232177734,55.8856574964867,20.8661825693852,8.884414,0,0,0,40,4449,299.97855,177.970985412598,,,,,,,,,,,,,0,,,,10.8499308,,,,,,300.0016937,,,,
,17406514.79,300.0009308,266.764114379883,0.0285231636431243,0.000367468341950303,1,0.999253354069792,40.0298881530762,2.00588746692229,11.8599999696016,0.156369258876652,0.0281898420443427,250,-0.000142308215447995,0.0285179465760018,-2.24745780807489E-5,300.0001221,300.0017395,223.619232177734,309.908996582031,56.0841911403713,20.8577838325944,8.512546,0,0,0,40,4449,299.97865,266.764114379883,,,,,,,,,,,,,0,,,,11.01497555,,,,,,300.0009308,,,,
,17406515.835,300.00057985,369.321380615234,0.036107656891419,0.000323137588722157,1,0.999253354069792,40.0298881530762,2.00597746183187,11.8599999696016,0.197894275542917,0.0360282824078783,250,-0.000117888346774867,0.0361007916082481,3.37962958802467E-5,300.0001221,300.0010376,309.908996582031,428.733764648438,55.2345609399674,20.8577499708842,9.256284,0,0,0,40,4449,299.9782,369.321380615234,,,,,,,,,,,,,0,,,,11.29282995,,,,,,300.00057985,,,,
,17406516.845,300.0007782,468.854690551758,0.0424519760850488,0.000266563223346872,1,0.999253354069792,40.0298881530762,2.00567404043312,11.8599999696016,0.232661393126783,0.0421891465135429,250,-0.000168412583859185,0.042444029519338,9.92906804250019E-6,300.0005188,300.0010376,428.733764648438,508.975616455078,55.6785259388905,20.8574010181293,9.256284,0,0,0,40,4449,299.9776,468.854690551758,,,,,,,,,,,,,0,,,,11.29282995,,,,,,300.0007782,,,,
,17406517.79,300.0007324,564.171310424805,0.0477084771744499,0.000220259384540836,1,0.999253354069792,40.0298881530762,2.00611763500024,11.8599999696016,0.261522792369533,0.0474428845752549,250,-0.000185693158270717,0.0476995318689833,1.4728856608664E-5,300.0005188,300.000946,508.975616455078,619.367004394531,56.2483331294098,20.8580444963443,8.512546,0,0,0,40,4449,299.9777,564.171310424805,,,,,,,,,,,,,0,,,,11.1800203,,,,,,300.0007324,,,,
,17406518.88,300.00123595,674.438171386719,0.0522749996443153,0.000206367226407248,1,0.999253354069792,40.0298881530762,2.00612299111239,11.8599999696016,0.286584306119964,0.0518302114582905,250,-0.000231562272914266,0.0522653153324505,-1.19526251941377E-5,300.000946,300.0015259,619.367004394531,729.509338378906,55.7535622767367,20.8594308413265,8.512546,0,0,0,40,4449,299.97765,674.438171386719,,,,,,,,,,,,,0,,,,11.01497555,,,,,,300.00123595,,,,
