 
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,17398194.52,300.0037842,999.988647460937,,,2,,,,11.0899998998642,,,,,,,300.0037842,300.0037842,999.988647460937,999.988647460937,,,7.396941,,,,-99999999,4369,299.9609,999.988647460937,,,,,,,,,,,,,,,,,,,,,,,300.0037842,,,,
sample offset = 35.26 mm touchdown = 5.9799998998642 mm,17398230.705,300.0035095,0.224974364042282,0.380720979146098,0.00157894916491104,1,0.999253354069792,40.0298881530762,1.99466406759273,11.0799996182322,2.075730247998,0.374587980858832,250,-0.00183199900213354,0.380651010586362,-0.000232363378561853,300.0035095,300.0035095,0.224974364042282,0.224974364042282,54.7546410291596,20.8274408153496,9.256284,0,0,0,40,4417,299.961,0.224974364042282,,,,,,,,,,,,,0,,,,12.2317734,,,,,,300.0035095,,,,
,17398243.34,300.005127,17.6268954277039,0.341469851896492,0.000108623919422088,1,0.999253354069792,40.0298881530762,1.99467902304594,11.0799996182322,1.86138861520773,0.337880156262605,250,-0.00129275643671313,0.341405604508431,0.000141892901108867,300.005127,300.005127,13.6328592300415,21.6209316253662,55.9395898643136,20.8371969110474,7.396941,0,0,0,40,4449,299.9604,17.6268954277039,,,,,,,,,,,,,0,,,,12.3545799,,,,,,300.005127,,,,
,17398243.955,300.00506595,68.0644674301148,0.35109610650975,0.00116814555146618,1,0.999253354069792,40.0298881530762,1.99477822737321,11.0900001600385,1.91390611538091,0.347686542673521,250,-0.00128064675193134,0.351029845030248,0.000194433719536995,300.0050049,300.005127,21.6209316253662,114.508003234863,54.5623604134289,20.843306107712,8.884414,0,0,0,40,4449,299.96025,68.0644674301148,,,,,,,,,,,,,0,,,,12.3545799,,,,,,300.00506595,,,,
,17398245.015,300.0056763,159.654705047607,0.393706318573716,0.00259649027975403,1,0.999253354069792,40.0298881530762,1.99463902547116,11.0799996182322,2.14585583548933,0.390839785899353,250,-0.00125554016367758,0.393631248514115,0.000398520683331021,300.0050049,300.0063477,114.508003234863,204.801406860352,55.2947463359481,20.8311546942176,8.512546,0,0,0,40,4449,299.95945,159.654705047607,,,,,,,,,,,,,0,,,,12.3545799,,,,,,300.0056763,,,,
,17398245.99,300.0058289,252.420295715332,0.462383690243302,0.00359621237672326,1,0.999253354069792,40.0298881530762,1.99483710410845,11.0799996182322,2.52041468115651,0.459083644951553,250,-0.00147048326628058,0.462295507055624,0.000472090400223306,300.0053101,300.0063477,204.801406860352,300.039184570313,56.1584458496982,20.8319537144947,9.256284,0,0,0,40,4449,299.9602,252.420295715332,,,,,,,,,,,,,0,,,,12.29317665,,,,,,300.0058289,,,,
,17398247.075,300.00457765,359.414901733398,0.546526389440201,0.00404569590247536,1,0.999253354069792,40.0298881530762,1.99456713173044,11.0799996182322,2.97883653341882,0.541691563936083,250,-0.00189642455685627,0.546422852176736,0.000399653446019088,300.0038452,300.0053101,300.039184570313,418.790618896484,56.3296224954098,20.8310519857719,8.512546,0,0,0,40,4449,299.96155,359.414901733398,,,,,,,,,,,,,0,,,,11.9922047,,,,,,300.00457765,,,,
,17398248.14,300.00456235,463.890197753906,0.637899120271466,0.00423434518696618,1,0.999253354069792,40.0298881530762,1.99471063321212,11.0799996182322,3.47711859521918,0.632235367263319,250,-0.00222540179514406,0.637778323757817,0.000454549969106002,300.0038452,300.0052795,418.790618896484,508.989776611328,55.1517083169289,20.8323815977422,8.512546,0,0,0,40,4449,299.9601,463.890197753906,,,,,,,,,,,,,0,,,,11.752636,,,,,,300.00456235,,,,
,17398249.155,300.00500485,564.203262329102,0.731062072226125,0.00426910662457669,1,0.999253354069792,40.0298881530762,1.99472898510119,11.0900001600385,3.98521732728772,0.7232728493175,250,-0.00278993068218456,0.730924628641354,0.000281460380509743,300.0047302,300.0052795,508.989776611328,619.416748046875,55.1735939154674,20.8342289981257,7.396941,0,0,0,40,4449,299.9587,564.203262329102,,,,,,,,,,,,,0,,,,12.1156273,,,,,,300.00500485,,,,
,17398250.195,300.00445555,669.461883544922,0.82558334584009,0.00432716032368462,1,0.999253354069792,40.0298881530762,1.99463496816744,11.0799996182322,4.50009153022655,0.817721086792538,250,-0.0029722600742817,0.82542740167199,0.000496177232542366,300.0041809,300.0047302,619.416748046875,719.507019042969,54.6921107476212,20.8300009893034,7.396941,0,0,0,40,4449,299.9585,669.461883544922,,,,,,,,,,,,,0,,,,12.41659925,,,,,,300.00445555,,,,
,17398251.125,300.0044403,764.51171875,0.920474227497484,0.00427863328895907,1,0.999253354069792,40.0298881530762,1.9947363881704,11.0799996182322,5.01768185394816,0.911159455486044,250,-0.00342288361082225,0.920300822597457,0.000444179615730835,300.0041809,300.0046997,719.507019042969,809.516418457031,55.5096941787366,20.8372329098277,8.512546,0,0,0,40,4449,299.95985,764.51171875,,,,,,,,,,,,,0,,,,12.2323842,,,,,,300.0044403,,,,
,17398252.13,300.0045166,864.538299560547,1.01671454681783,0.00444853252984047,1,0.999253354069792,40.0298881530762,1.99475719315499,11.0799996182322,5.54243600549927,1.00604069230757,250,-0.00385330996239829,1.01652331708347,0.000418050094362517,300.0043335,300.0046997,809.516418457031,919.560180664062,55.5198553494866,20.8331714613944,8.512546,0,0,0,40,4449,299.96,864.538299560547,,,,,,,,,,,,,0,,,,12.1101885,,,,,,300.0045166,,,,
,17398253.295,300.0046692,979.475341796875,1.11461904188578,0.00458282972798988,1,0.999253354069792,40.0298881530762,1.99462195580082,11.0799996182322,6.07560500079389,1.10358908238888,250,-0.00408762663927946,1.11440882039441,0.000594980498561062,300.0043335,300.0050049,919.560180664062,1039.39050292969,54.901587190775,20.8289414876026,8.512546,0,0,0,40,4449,299.95935,979.475341796875,,,,,,,,,,,,,0,,,,12.17098095,,,,,,300.0046692,,,,
,17398254.345,300.0052185,1084.35089111328,1.21502597564798,0.00466730765362469,1,0.999253354069792,40.0298881530762,1.99480772256693,11.0799996182322,6.62376496781548,1.20172535575121,250,-0.00471027263743998,1.21479786550717,0.000394156918598407,300.0050049,300.0054321,1039.39050292969,1129.31127929688,55.2439404821981,20.8386695685833,7.396941,0,0,0,40,4449,299.9593,1084.35089111328,,,,,,,,,,,,,0,,,,12.17098095,,,,,,300.0052185,,,,
,17398255.415,300.00527955,1194.14361572266,1.45300467728869,0.00567239549347506,1,0.999253354069792,40.0298881530762,1.99470337607814,11.0799996182322,7.92032239153015,1.43912608683679,250,-0.00524720276713691,1.45273027072485,0.000856863982972212,300.005127,300.0054321,1129.31127929688,1258.97595214844,56.1521928215444,20.8316219367323,8.512546,0,0,0,40,4449,299.95895,1194.14361572266,,,,,,,,,,,,,0,,,,12.17098095,,,,,,300.00527955,,,,
,17398256.595,300.00476075,1313.94488525391,1.5773988078007,0.0056483023568107,1,0.999253354069792,40.0298881530762,1.99480378837441,11.0799996182322,8.59883030119623,1.56233409290908,250,-0.00571005343688095,1.57710100347431,0.000916518177068953,300.0043945,300.005127,1258.97595214844,1368.91381835938,56.0107180595636,20.8332996409744,7.396941,0,0,0,40,4449,299.95905,1313.94488525391,,,,,,,,,,,,,0,,,,11.9922047,,,,,,300.00476075,,,,
,17398257.65,300.00430295,1418.82739257812,1.69990231405053,0.00543506554944047,1,0.999253354069792,40.0298881530762,1.99457861884875,11.0799996182322,9.26518623621699,1.68577128620002,250,-0.00573326559356698,1.69957964819267,0.00140782062585615,300.0042114,300.0043945,1368.91381835938,1468.74096679687,55.8622086409098,20.8368198852447,7.396941,0,0,0,40,4449,299.9576,1418.82739257812,,,,,,,,,,,,,0,,,,11.9922047,,,,,,300.00430295,,,,
,17398258.685,300.0048523,1523.49633789062,1.81975949247721,0.00552871329503938,1,0.999253354069792,40.0298881530762,1.99475476429483,11.0799996182322,9.91937411367997,1.80445409976285,250,-0.00619864847493556,1.81941430097058,0.00144590243143929,300.0042114,300.0054932,1468.74096679687,1578.25170898438,55.7402745919097,20.8339508807885,8.512546,0,0,0,40,4449,299.9568,1523.49633789062,,,,,,,,,,,,,0,,,,11.9922047,,,,,,300.0048523,,,,
,17398259.715,300.0058289,1623.15777587891,1.93696454508523,0.00534510828840079,1,0.999253354069792,40.0298881530762,1.99482877685335,11.0799996182322,10.558894111351,1.91932801362385,250,-0.00685747431248939,1.93659815208955,0.0012793778219657,300.0054932,300.0061646,1578.25170898438,1668.06384277344,55.710572708179,20.8398443829592,7.396941,0,0,0,40,4449,299.95785,1623.15777587891,,,,,,,,,,,,,0,,,,12.05360795,,,,,,300.0058289,,,,
,17398260.68,300.0057831,1717.99255371094,2.05223490383595,0.00530877786114278,1,0.999253354069792,40.0298881530762,1.99462688103314,11.0799996182322,11.1864033897869,2.03202928660214,250,-0.00750759677108847,2.05184773538526,0.00111344059594137,300.0054016,300.0061646,1668.06384277344,1767.92126464844,55.8973819242751,20.8384118354928,7.396941,0,0,0,40,4449,299.95825,1717.99255371094,,,,,,,,,,,,,0,,,,12.2323842,,,,,,300.0057831,,,,
,17398261.73,300.005661,1822.77960205078,2.16716633743851,0.00503179892170148,1,0.999253354069792,40.0298881530762,1.9946427021098,11.0799996182322,11.8127298546651,2.14712795809918,250,-0.00769263010886028,2.16675650978917,0.00141113785412821,300.0054016,300.0059204,1767.92126464844,1877.63793945313,55.7043196800251,20.8289767237279,9.256284,0,0,0,40,4449,299.9563,1822.77960205078,,,,,,,,,,,,,0,,,,12.1101885,,,,,,300.005661,,,,
,17398262.91,300.00590515,1937.51397705078,2.2783979597443,0.00510604574641951,1,0.999253354069792,40.0298881530762,1.9948120370324,11.0799996182322,12.4206995425165,2.25404665513699,250,-0.00872460685095531,2.2779697582111,0.000846492586828146,300.0058899,300.0059204,1877.63793945313,1997.39001464844,55.4807739235251,20.8402270772658,7.396941,0,0,0,40,4449,299.95485,1937.51397705078,,,,,,,,,,,,,0,,,,11.93141225,,,,,,300.00590515,,,,
,17398263.93,300.0055237,2042.38555908203,2.38917416352455,0.00503978620249735,1,0.999253354069792,40.0298881530762,1.99477092898613,11.0799996182322,13.0235813657361,2.36765700576057,250,-0.00840230835434903,2.38872205790612,0.0016338079698386,300.0051575,300.0058899,1997.39001464844,2087.38110351562,55.598799829929,20.8318398346168,9.256284,0,0,0,40,4449,299.95665,2042.38555908203,,,,,,,,,,,,,0,,,,11.9922047,,,,,,300.0055237,,,,
,17398264.945,300.0053406,2147.22692871094,2.49815075408041,0.00497833863179107,1,0.999253354069792,40.0298881530762,1.99489528275779,11.0799996182322,13.6179616367828,2.47843272506792,250,-0.00830264678049543,2.49767602826682,0.00219100773380808,300.0051575,300.0055237,2087.38110351562,2207.07275390625,56.0927890540829,20.8296346349229,8.512546,0,0,0,40,4449,299.9572,2147.22692871094,,,,,,,,,,,,,0,,,,12.17098095,,,,,,300.0053406,,,,
,17398266.09,300.00538635,2261.9990234375,2.60507311307206,0.00475735169506837,1,0.999253354069792,40.0298881530762,1.99487186518099,11.0799996182322,14.2019825551931,2.57732835573554,250,-0.00997095631125607,2.60458358746716,0.000972005485252467,300.005249,300.0055237,2207.07275390625,2316.92529296875,56.4687523718329,20.8378309514335,7.396941,0,0,0,40,4449,299.95635,2261.9990234375,,,,,,,,,,,,,0,,,,11.93141225,,,,,,300.00538635,,,,
,17398267.11,300.00497435,2361.77294921875,2.70944939008072,0.00465922183522324,1,0.999253354069792,40.0298881530762,1.994875219421,11.0799996182322,14.7700200927743,2.68605130569318,250,-0.00936921450478984,2.70893609930373,0.00201185799309436,300.0046997,300.005249,2316.92529296875,2406.62060546875,56.2147231030829,20.8352445138578,8.512546,0,0,0,40,4449,299.9566,2361.77294921875,,,,,,,,,,,,,0,,,,11.9922047,,,,,,300.00497435,,,,
,17398268.13,300.0049591,2461.53369140625,2.81546689649159,0.00484227713822999,1,0.999253354069792,40.0298881530762,1.99489942901062,11.0799996182322,15.3494687560321,2.78399338133077,250,-0.0110559720404967,2.81493908293035,0.000770529126452105,300.0046997,300.0052185,2406.62060546875,2516.44677734375,55.608961000679,20.8377933963196,8.512546,0,0,0,40,4449,299.9575,2461.53369140625,,,,,,,,,,,,,0,,,,12.29317665,,,,,,300.0049591,,,,
,17398269.125,300.0049896,2561.36645507813,2.91768138623138,0.00456315748203108,1,0.999253354069792,40.0298881530762,1.99482753081832,11.0799996182322,15.90626977606,2.88440815993945,250,-0.0115591917034564,2.91713485115294,0.000696513838305195,300.0047607,300.0052185,2516.44677734375,2606.2861328125,55.6691463966597,20.8279187089563,8.512546,0,0,0,40,4449,299.95835,2561.36645507813,,,,,,,,,,,,,0,,,,12.2323842,,,,,,300.0049896,,,,
,17398270.11,300.0046234,2661.16052246094,3.01710166344577,0.00455462344858382,1,0.999253354069792,40.0298881530762,1.99474244095045,11.0799996182322,16.4458739636465,2.99184507226392,250,-0.0102504327757655,3.01652940633157,0.00242242239823889,300.0044861,300.0047607,2606.2861328125,2716.03491210938,55.7160441078136,20.8367270928007,9.256284,0,0,0,40,4449,299.95795,2661.16052246094,,,,,,,,,,,,,0,,,,12.2323842,,,,,,300.0046234,,,,
,17398271.165,300.00535585,2766.07556152344,3.1179990315318,0.00464370413547928,1,0.999253354069792,40.0298881530762,1.99490059292071,11.0799996182322,16.9974978160858,3.09035369255643,250,-0.010920432396972,3.11740893487632,0.00217620946897699,300.0044861,300.0062256,2716.03491210938,2816.1162109375,56.1889293619483,20.8351668270233,7.396941,0,0,0,40,4449,299.95665,2766.07556152344,,,,,,,,,,,,,0,,,,12.29317665,,,,,,300.00535585,,,,
,17398272.085,300.00535585,2856.00671386719,3.21762703750394,0.00458567922974485,1,0.999253354069792,40.0298881530762,1.99498981043208,11.0799996182322,17.5421363746949,3.18513668260718,250,-0.0120219598820211,3.21702125540563,0.00149320977286541,300.0044861,300.0062256,2816.1162109375,2895.89721679687,55.7934253312174,20.8320524087403,8.512546,0,0,0,40,4449,299.95595,2856.00671386719,,,,,,,,,,,,,0,,,,12.17098095,,,,,,300.00535585,,,,
,17398273.035,300.0048218,2950.78271484375,3.31529681944611,0.00421785070424197,1,0.999253354069792,40.0298881530762,1.99480998917317,11.0799996182322,18.0722046769424,3.2859990387113,250,-0.0115667378525573,3.31466928252317,0.00235837930892645,300.0044861,300.0051575,2895.89721679687,3005.66821289063,55.6753994248136,20.8333344459904,7.396941,0,0,0,40,4449,299.9557,2950.78271484375,,,,,,,,,,,,,0,,,,12.1101885,,,,,,300.0048218,,,,
,17398274.225,300.0052948,3070.55444335937,3.4102690073607,0.00427760550735706,1,0.999253354069792,40.0298881530762,1.99485356799521,11.0799996182322,18.591687141039,3.3727703628802,250,-0.0132623940792906,3.40962918285648,0.00106170333818724,300.0051575,300.0054321,3005.66821289063,3135.44067382812,55.9434980069098,20.8341495097275,7.396941,0,0,0,40,4449,299.95595,3070.55444335937,,,,,,,,,,,,,0,,,,12.2323842,,,,,,300.0052948,,,,
