
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,17805909.88,300.0033569,-0.0224974378943443,,,2,,,,10.9600002132356,,,,,,,300.0033569,300.0033569,-0.0224974378943443,-0.0224974378943443,,,8.512546,,,,-99999999,4369,299.9301,-0.0224974378943443,,,,,,,,,,,,,,,,,,,,,,,300.0033569,,,,
sample offset = 35.37 mm touchdown = 5.96000021323562 mm,17805945.28,300.0035706,0.146233342587948,0.0592624460629194,4.84972458229647E-5,1,0.999253354069792,40.0298881530762,1.98166093370945,10.950000025332,0.321389565063329,0.0561108080866454,250,-0.000622609257942451,0.059252969838152,-0.000373516360151504,300.0035706,300.0035706,0.134984627366066,0.15748205780983,56.4468667732944,20.8333771841177,8.512546,0,0,0,40,4417,299.93335,0.146233342587948,,,,,,,,,,,,,0,,,,11.0688896,,,,,,300.0035706,,,,
,17805957.705,300.0034485,37.5768566131592,0.059815634979324,0.000160713345394455,1,0.999253354069792,40.0298881530762,1.9815857906306,10.950000025332,0.324333863264648,0.0568683384835353,250,-0.000584846402175757,0.0598058873262655,-0.000333435155466542,300.0034485,300.0034485,33.1496658325195,42.0040473937988,56.4922012274098,20.8314859524404,8.140677,0,0,0,40,4449,299.9309,37.5768566131592,,,,,,,,,,,,,0,,,,11.1805782,,,,,,300.0034485,,,,
,17805958.365,300.0026245,91.0660190582275,0.0753857127851601,0.00146893586774117,1,0.999253354069792,40.0298881530762,1.98150670408986,10.950000025332,0.408591460883017,0.0724826273713012,250,-0.00058664619706062,0.0753727982427453,-0.000269824646021463,300.0018005,300.0034485,42.0040473937988,140.127990722656,56.4296709458714,20.8360017767767,8.512546,0,0,0,40,4449,299.9315,91.0660190582275,,,,,,,,,,,,,0,,,,11.0688896,,,,,,300.0026245,,,,
,17805959.42,300.0020599,178.654197692871,0.130125657897718,0.00359655757257465,1,0.999253354069792,40.0298881530762,1.98150670408986,10.950000025332,0.704809434377475,0.127666382235831,250,-0.000541130897845806,0.130101387801562,5.64647627308587E-6,300.0018005,300.0023193,140.127990722656,217.180404663086,56.8087607776983,20.8360017767767,8.512546,0,0,0,40,4449,299.93115,178.654197692871,,,,,,,,,,,,,0,,,,11.0688896,,,,,,300.0020599,,,,
,17805960.33,300.00245665,258.187705993652,0.233052847229907,0.00562092407075363,1,0.999253354069792,40.0298881530762,1.98152128027924,10.950000025332,1.26213317615404,0.229607780059023,250,-0.000792180224609528,0.233008633358678,0.000187048881055497,300.0023193,300.002594,217.180404663086,299.195007324219,56.0224424873521,20.8314396486454,8.512546,0,0,0,40,4449,299.9308,258.187705993652,,,,,,,,,,,,,0,,,,10.90548515,,,,,,300.00245665,,,,
,17805961.315,300.00286865,352.706924438477,0.364153099299972,0.00623620834004217,1,0.999253354069792,40.0298881530762,1.98166909097202,10.9599996358156,1.97246475115954,0.357745978332288,250,-0.0014318148862466,0.364084824820091,9.82854886558904E-5,300.002594,300.0031433,299.195007324219,406.218841552734,56.472660514429,20.8343458370519,8.884414,0,0,0,40,4449,299.93215,352.706924438477,,,,,,,,,,,,,0,,,,11.01717375,,,,,,300.00286865,,,,
,17805962.305,300.00227355,451.702926635742,0.502252798706708,0.00629711059511481,1,0.999253354069792,40.0298881530762,1.98165070274066,10.950000025332,2.72025151404335,0.494581055476306,250,-0.0017586931844245,0.502157737182164,0.000351610510664507,300.0014038,300.0031433,406.218841552734,497.18701171875,56.404658833256,20.833229756764,8.140677,0,0,0,40,4449,299.93275,451.702926635742,,,,,,,,,,,,,0,,,,11.1805782,,,,,,300.00227355,,,,
,17805963.295,300.0014038,552.799499511719,0.637250978952865,0.00607334521780818,1,0.999253354069792,40.0298881530762,1.98165903973955,10.950000025332,3.45174528865083,0.625816709658638,250,-0.00254602240983022,0.637131711278586,0.000131533431448385,300.0014038,300.0014038,497.18701171875,608.411987304687,56.2756901275829,20.8365474512056,7.396941,0,0,0,40,4449,299.93365,552.799499511719,,,,,,,,,,,,,0,,,,11.0688896,,,,,,300.0014038,,,,
,17805964.415,300.001297,668.757232666016,0.767694515993898,0.00586218646417525,1,0.999253354069792,40.0298881530762,1.98157578244646,10.950000025332,4.15786297341104,0.755370664551622,250,-0.00279337166813672,0.767549689375086,0.000432194575215741,300.0011902,300.0014038,608.411987304687,729.102478027344,56.5305010248521,20.8337590447764,9.256284,0,0,0,40,4449,299.933,668.757232666016,,,,,,,,,,,,,0,,,,11.0688896,,,,,,300.001297,,,,
