
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,17798868.47,300.0108032,0.15748205780983,,,2,,,,10.8499998998642,,,,,,,300.0108032,300.0108032,0.15748205780983,0.15748205780983,,,7.396941,,,,-99999999,4369,299.9571,0.15748205780983,,,,,,,,,,,,,,,,,,,,,,,300.0108032,,,,
sample offset = 35.5 mm touchdown = 5.9799998998642 mm,17798905.375,300.012085,0.314964115619659,-0.0212244708007924,5.42114453876428E-5,1,0.999253354069792,40.0298881530762,1.9802756091185,10.8500001952052,-0.114778440370339,-0.0214123482558655,250,-2.29752735793711E-5,-0.0212200378596419,-0.000112127348471359,300.012085,300.012085,0.314964115619659,0.314964115619659,55.6472607981213,20.8209005043265,8.512546,0,0,0,40,4417,299.9582,0.314964115619659,,,,,,,,,,,,,0,,,,11.0688896,,,,,,300.012085,,,,
,17798917.825,300.0114441,34.5758790969849,-0.0214038468192303,6.40041757479019E-5,1,0.999253354069792,40.0298881530762,1.98012603275382,10.839999653399,-0.115821482972126,-0.0211520387723575,250,5.81261492277498E-5,-0.0213997183062848,-3.17971370635479E-5,300.0114441,300.0114441,25.4714527130127,43.680305480957,55.8348516427367,20.8192914905582,9.256284,0,0,0,40,4449,299.95465,34.5758790969849,,,,,,,,,,,,,0,,,,11.2922668,,,,,,300.0114441,,,,
,17798918.475,300.0119171,89.4817008972168,-0.0175086971715393,0.000496166824132436,1,0.999253354069792,40.0298881530762,1.98040642664063,10.839999653399,-0.0947520587222215,-0.017331500543583,250,4.2668286012888E-5,-0.0175052991668732,-3.08895355455462E-5,300.0114441,300.0123901,43.680305480957,135.283096313477,55.3791622160251,20.8170647377334,8.512546,0,0,0,40,4449,299.9536,89.4817008972168,,,,,,,,,,,,,0,,,,11.2922668,,,,,,300.0119171,,,,
,17798919.56,300.0124664,182.891571044922,0.00541981463718149,0.00154726746572929,1,0.999253354069792,40.0298881530762,1.98020180817703,10.839999653399,0.0291647426901565,0.00624229244531125,250,0.000149098393774783,0.0054180808849088,0.000171834941525729,300.0123901,300.0125427,135.283096313477,230.500045776367,55.2087671988328,20.8147215456268,8.512546,0,0,0,40,4449,299.9533,182.891571044922,,,,,,,,,,,,,0,,,,11.1805782,,,,,,300.0124664,,,,
,17798920.56,300.01301575,273.581062316895,0.0549433688761366,0.00272706224468682,1,0.999253354069792,40.0298881530762,1.98036107356561,10.839999653399,0.297206927818972,0.0550559277856665,250,-1.00608181792052E-5,0.0549321835161224,0.00022074069727137,300.0125427,300.0134888,230.500045776367,316.662078857422,56.0435464573713,20.8228032998578,8.140677,0,0,0,40,4449,299.953,273.581062316895,,,,,,,,,,,,,0,,,,11.1805782,,,,,,300.01301575,,,,
,17798921.57,300.0125275,371.54508972168,0.125443730544829,0.00368768727254154,1,0.999253354069792,40.0298881530762,1.98034587186562,10.839999653399,0.67870135597676,0.124946807372235,250,-0.000162171282500996,0.12541878008607,0.000364807023543637,300.0115662,300.0134888,316.662078857422,426.428100585937,55.321321705602,20.8143878590967,9.256284,0,0,0,40,4449,299.953,371.54508972168,,,,,,,,,,,,,0,,,,11.2922668,,,,,,300.0125275,,,,
,17798922.67,300.0118103,482.187042236328,0.209592892298647,0.00392685103464777,1,0.999253354069792,40.0298881530762,1.97999235896076,10.839999653399,1.13394950192761,0.207838996423059,250,-0.000435016524697003,0.209551900003108,0.00044549306175695,300.0115662,300.0120544,426.428100585937,537.945983886719,55.3752540734289,20.8145825644532,7.396941,0,0,0,40,4449,299.9525,482.187042236328,,,,,,,,,,,,,0,,,,11.01717375,,,,,,300.0118103,,,,
,17798923.695,300.0121307,583.38525390625,0.296000233158851,0.00393691715654864,1,0.999253354069792,40.0298881530762,1.97999235896076,10.839999653399,1.60148135543565,0.293271229844214,250,-0.000660954937032405,0.295942534081673,0.000582559434020706,300.0120544,300.012207,537.945983886719,628.824523925781,54.8687587929673,20.8145825644532,8.512546,0,0,0,40,4449,299.9517,583.38525390625,,,,,,,,,,,,,0,,,,10.7420807,,,,,,300.0121307,,,,
,17798924.72,300.0123291,689.085601806641,0.381524233012767,0.0038840137958124,1,0.999253354069792,40.0298881530762,1.98032582940902,10.839999653399,2.06467121698894,0.377361088800219,250,-0.000982755870625135,0.381450410872982,0.00062006300059993,300.012207,300.0124512,628.824523925781,749.3466796875,55.6042712295636,20.8169292282273,7.396941,0,0,0,40,4449,299.95165,689.085601806641,,,,,,,,,,,,,0,,,,10.90548515,,,,,,300.0123291,,,,
