
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,19444919.34,300.0075684,-0.472446203231812,,,2,,,,11.5399999818206,,,,,,,300.0075684,300.0075684,-0.472446203231812,-0.472446203231812,,,8.512546,,,,-99999999,4369,299.9872,-0.472446203231812,,,,,,,,,,,,,,,,,,,,,,,300.0075684,,,,
sample offset = 35.31 mm touchdown = 6.47999998182058 mm,19444955.4,300.0122986,-0.224974364042282,0.0168140560401612,5.53322378450303E-5,1,0.999253354069792,40.0298881530762,2.00483072849943,11.5299997851253,0.091945053834415,0.017608553565677,250,9.86943438575683E-5,0.0168102065272695,0.000169299194723258,300.0122986,300.0122986,-0.224974364042282,-0.224974364042282,55.5659714321213,20.7766677395501,9.256284,0,0,0,40,4417,299.9765,-0.224974364042282,,,,,,,,,,,,,0,,,,10.1171265,,,,,,300.0122986,,,,
,19444968.67,300.0124512,37.4003295898438,0.0171502452907176,7.10001001427158E-5,1,0.999253354069792,40.0298881530762,2.00493926589934,11.5299997851253,0.0937884192599269,0.0179614650918072,250,0.000100644804020135,0.0171463185313281,0.000172664052966446,300.0124512,300.0124512,33.0117530822754,41.7889060974121,56.0818462548136,20.7748551547895,8.512546,0,0,0,40,4449,299.9667,37.4003295898438,,,,,,,,,,,,,0,,,,10.424922,,,,,,300.0124512,,,,
,19444969.335,300.0117035,90.8503322601318,0.0201594695650108,0.000272129994292495,1,0.999253354069792,40.0298881530762,2.00515234942863,11.5299997851253,0.110356218423662,0.0205757775340925,250,1.97801090134577E-5,0.0201552682664637,0.000104455630872855,300.0109558,300.0124512,41.7889060974121,139.911758422852,56.1443765363521,20.7789482988048,8.512546,0,0,0,40,4449,299.9676,90.8503322601318,,,,,,,,,,,,,0,,,,10.37310935,,,,,,300.0117035,,,,
,19444970.42,300.0113678,182.726066589355,0.0288217014533341,0.000554265616590333,1,0.999253354069792,40.0298881530762,2.00497669209143,11.5299997851253,0.157637346834167,0.0300823874728819,250,0.000150297025803981,0.0288151827700785,0.000271331183760742,300.0109558,300.0117798,139.911758422852,225.540374755859,55.944279635429,20.7829936784012,9.256284,0,0,0,40,4449,299.9668,182.726066589355,,,,,,,,,,,,,0,,,,10.2192116,,,,,,300.0113678,,,,
,19444971.39,300.0117798,266.900344848633,0.0428544493388984,0.000710306773209558,1,0.999253354069792,40.0298881530762,2.00497180169406,11.5299997851253,0.234640359753547,0.043365027787176,250,-2.56381100002571E-5,0.0428458025180959,0.000154376722168195,300.0117798,300.0117798,225.540374755859,308.260314941406,55.7566887908136,20.775365950674,8.512546,0,0,0,40,4449,299.96465,266.900344848633,,,,,,,,,,,,,0,,,,10.1171265,,,,,,300.0117798,,,,
,19444972.43,300.01101685,367.126800537109,0.0594827934162249,0.000792666525549289,1,0.999253354069792,40.0298881530762,2.00504829996928,11.5299997851253,0.325685918755578,0.0602557346959647,250,-2.42582383963982E-5,0.0594707457411559,0.000225601542791738,300.0102539,300.0117798,308.260314941406,425.993286132812,55.8739330686982,20.7769504020137,8.512546,0,0,0,40,4449,299.9648,367.126800537109,,,,,,,,,,,,,0,,,,10.2192116,,,,,,300.01101685,,,,
,19444973.46,300.0102539,471.598815917969,0.0770360453436279,0.00081455155632642,1,0.999253354069792,40.0298881530762,2.00506789861346,11.5299997851253,0.421775731631191,0.0781644196299326,250,-8.28993371459012E-6,0.0770203478811999,0.000315293781929074,300.0102539,300.0102539,425.993286132812,517.204345703125,55.8997268098328,20.7765539291756,9.256284,0,0,0,40,4449,299.9663,471.598815917969,,,,,,,,,,,,,0,,,,10.1689291,,,,,,300.0102539,,,,
,19444974.4,300.0099945,562.648864746094,0.0946931277413334,0.000807888701531716,1,0.999253354069792,40.0298881530762,2.00511631385603,11.5299997851253,0.518594198335337,0.0953653773373032,250,-0.000141148804841189,0.0946743834715346,0.000256627221609394,300.0097351,300.0102539,517.204345703125,608.093383789063,55.7902988171405,20.7821298620676,7.396941,0,0,0,40,4449,299.9655,562.648864746094,,,,,,,,,,,,,0,,,,10.27307415,,,,,,300.0099945,,,,
,19444975.45,300.0109558,668.483428955078,0.112143178833158,0.000780279751900388,1,0.999253354069792,40.0298881530762,2.00496422804354,11.5299997851253,0.614130522388485,0.112848999449706,250,-0.000182130002378333,0.112121039299639,0.000288950998422747,300.0097351,300.0121765,608.093383789063,728.873474121094,55.8457944420059,20.7781279143561,8.884414,0,0,0,40,4449,299.96345,668.483428955078,,,,,,,,,,,,,0,,,,10.4772544,,,,,,300.0109558,,,,
,19444976.44,300.01133725,768.939270019531,0.12933553878538,0.000772956682466292,1,0.999253354069792,40.0298881530762,2.00509533085002,11.5299997851253,0.708485997368631,0.129296657265448,250,-0.000367340441963518,0.129310664752181,0.000175984355124418,300.010498,300.0121765,728.873474121094,809.005065917969,55.9755447761982,20.7821916334202,9.256284,0,0,0,40,4449,299.96525,768.939270019531,,,,,,,,,,,,,0,,,,10.37310935,,,,,,300.01133725,,,,
,19444977.4,300.01063535,863.996246337891,0.146382741088715,0.00078600856318007,1,0.999253354069792,40.0298881530762,2.00510026203385,11.5299997851253,0.801893545614729,0.146215675923841,250,-0.000438293974703668,0.146354687462475,0.000176643505553836,300.010498,300.0107727,809.005065917969,918.987426757812,56.0880992829675,20.7776950171828,8.884414,0,0,0,40,4449,299.9654,863.996246337891,,,,,,,,,,,,,0,,,,10.42544175,,,,,,300.01063535,,,,
,19444978.535,300.01119995,979.00537109375,0.16349148193221,0.000780752693266086,1,0.999253354069792,40.0298881530762,2.00512778278947,11.5299997851253,0.895569894236677,0.163621670681705,250,-0.00043205482802956,0.163459905246784,0.000254737195754282,300.0107727,300.0116272,918.987426757812,1039.02331542969,56.2600575571983,20.7775879175747,7.396941,0,0,0,40,4449,299.9649,979.00537109375,,,,,,,,,,,,,0,,,,10.42544175,,,,,,300.01119995,,,,
,19444979.495,300.01046755,1073.98394775391,0.180742376615895,0.00078441421356701,1,0.999253354069792,40.0298881530762,2.00500027060674,11.5299997851253,0.990036192659404,0.180707536111967,250,-0.000508238509056707,0.180707602525031,0.000251016007316094,300.0093079,300.0116272,1039.02331542969,1108.94458007812,55.9474061495059,20.7787682419281,7.396941,0,0,0,40,4449,299.9664,1073.98394775391,,,,,,,,,,,,,0,,,,10.37310935,,,,,,300.01046755,,,,
,19444980.51,300.01002505,1173.95660400391,0.198041185222602,0.000785051980951193,1,0.999253354069792,40.0298881530762,2.00516967666237,11.5299997851253,1.08493466134879,0.197733508132918,250,-0.000609073294574098,0.198003306245503,0.000222850498403814,300.0093079,300.0107422,1108.94458007812,1238.96862792969,56.0701218270252,20.7818371950066,9.256284,0,0,0,40,4449,299.96695,1173.95660400391,,,,,,,,,,,,,0,,,,10.53011275,,,,,,300.01002505,,,,
,19444981.635,300.0101166,1288.87841796875,0.215314652619173,0.000795429247925176,1,0.999253354069792,40.0298881530762,2.00500559695428,11.5299997851253,1.17946734803885,0.214979032531131,250,-0.000659258784906057,0.215273457606434,0.000245216577790434,300.009491,300.0107422,1238.96862792969,1338.78820800781,56.1287439659675,20.7780746893151,9.256284,0,0,0,40,4449,299.9669,1288.87841796875,,,,,,,,,,,,,0,,,,10.3259325,,,,,,300.0101166,,,,
,19444982.595,300.01065065,1377.71923828125,0.234278199736764,0.00242631808313468,1,0.999253354069792,40.0298881530762,2.00515393293496,11.5299997851253,1.28396488581406,0.231098493801535,250,-0.0012344458955461,0.234235544736905,-0.000250213779202453,300.009491,300.0118103,1338.78820800781,1416.65026855469,56.2412984727367,20.7809877811634,9.256284,0,0,0,40,4449,299.96715,1377.71923828125,,,,,,,,,,,,,0,,,,10.1689291,,,,,,300.01065065,,,,
,19444983.69,300.0118103,1486.3544921875,0.244460218100905,0.00304742215311078,1,0.999253354069792,40.0298881530762,2.0051969083482,11.5299997851253,1.33804527674416,0.250585954879535,250,0.000435770202256178,0.244408459211433,0.00146241887256724,300.0118103,300.0118103,1416.65026855469,1556.05871582031,56.0568341421982,20.7765907723073,8.512546,0,0,0,40,4449,299.9663,1486.3544921875,,,,,,,,,,,,,0,,,,10.37310935,,,,,,300.0118103,,,,
