
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,19447738.52,300.0019836,-0.382456451654434,,,2,,,,11.4999999672174,,,,,,,300.0019836,300.0019836,-0.382456451654434,-0.382456451654434,,,8.512546,,,,-99999999,4369,299.9779,-0.382456451654434,,,,,,,,,,,,,,,,,,,,,,,300.0019836,,,,
sample offset = 34.92 mm touchdown = 6.04999996721745 mm,19447774.45,300.0095215,-0.303715407848358,0.0677104258298728,8.62202702162518E-5,1,0.999253354069792,40.0298881530762,1.97948247648491,11.4900004118681,0.366335883169961,0.0666002107856344,250,-0.000237952277253246,0.0676975984614346,4.65164509565384E-5,300.0095215,300.0095215,-0.314964115619659,-0.292466700077057,55.6449159125636,20.8180871669193,8.512546,0,0,0,40,4417,299.9656,-0.303715407848358,,,,,,,,,,,,,0,,,,10.0165615,,,,,,300.0095215,,,,
,19447787.065,300.0100403,38.4244327545166,0.068128946664623,0.000148542179313088,1,0.999253354069792,40.0298881530762,1.97933925606552,11.5000000223517,0.368630375571038,0.0667041924834463,250,-0.000295458469604616,0.0681162739991988,-9.21905614591699E-6,300.0100403,300.0100403,33.9473419189453,42.9015235900879,55.8098395301213,20.8172620122958,7.396941,0,0,0,40,4449,299.9644,38.4244327545166,,,,,,,,,,,,,0,,,,10.5295868,,,,,,300.0100403,,,,
,19447787.65,300.00961305,87.8660373687744,0.0825033069027946,0.00133265816859329,1,0.999253354069792,40.0298881530762,1.97917910685816,11.5000000223517,0.446319826353263,0.0810506394220609,250,-0.00030617657890203,0.0824877447816062,4.04468321428681E-5,300.0091858,300.0100403,42.9015235900879,132.830551147461,56.1990905326983,20.8251481980298,9.256284,0,0,0,40,4449,299.9626,87.8660373687744,,,,,,,,,,,,,0,,,,10.42544175,,,,,,300.00961305,,,,
,19447788.71,300.0098419,179.235771179199,0.136008337458997,0.00364652404749016,1,0.999253354069792,40.0298881530762,1.97965047612599,11.4900004118681,0.735649156854861,0.135202293799003,250,-0.000216666867807638,0.135981471887157,0.000354688776987393,300.0091858,300.010498,132.830551147461,225.640991210938,56.289759440929,20.8304056601953,8.884414,0,0,0,40,4449,299.9617,179.235771179199,,,,,,,,,,,,,0,,,,10.3212967,,,,,,300.0098419,,,,
,19447789.67,300.010498,262.18229675293,0.240177396603288,0.00570149984903563,1,0.999253354069792,40.0298881530762,1.97933053680508,11.4900004118681,1.29892148342167,0.238490011306405,250,-0.000424473149920085,0.240130125252709,0.000584487321353213,300.010498,300.010498,225.640991210938,298.723602294922,56.1772049341598,20.8293049936654,8.512546,0,0,0,40,4449,299.96185,262.18229675293,,,,,,,,,,,,,0,,,,10.3212967,,,,,,300.010498,,,,
,19447790.64,300.01011655,352.232879638672,0.374393062041138,0.00645494766780913,1,0.999253354069792,40.0298881530762,1.97939556354223,11.5000000223517,2.02498685871024,0.371027185422855,250,-0.000799928692736846,0.374319960513074,0.000772886723532734,300.0097351,300.010498,298.723602294922,405.742156982422,55.3947947864097,20.8188203914202,9.256284,0,0,0,40,4449,299.96015,352.232879638672,,,,,,,,,,,,,0,,,,10.1689291,,,,,,300.01011655,,,,
,19447791.705,300.0100403,456.435775756836,0.51948613188605,0.00666420113932771,1,0.999253354069792,40.0298881530762,1.97937068546139,11.4900004118681,2.81015365175894,0.512471303421448,250,-0.00154240633948353,0.519386519589052,0.00064001815607121,300.0097351,300.0103455,405.742156982422,507.12939453125,55.9653836054482,20.8224020417351,7.396941,0,0,0,40,4449,299.9595,456.435775756836,,,,,,,,,,,,,0,,,,10.27307415,,,,,,300.0100403,,,,
,19447792.655,300.0103455,552.708770751953,0.665765304924125,0.00661452132446042,1,0.999253354069792,40.0298881530762,1.97962156105627,11.4900004118681,3.6017985411587,0.657372244326007,250,-0.00188129638537673,0.665637237643567,0.000915617524390709,300.0103455,300.0103455,507.12939453125,598.288146972656,56.2162863601213,20.8216745140246,8.512546,0,0,0,40,4449,299.9601,552.708770751953,,,,,,,,,,,,,0,,,,10.27307415,,,,,,300.0103455,,,,
,19447793.585,300.0105591,648.689697265625,0.811290790626837,0.0066567150455982,1,0.999253354069792,40.0298881530762,1.97942966529041,11.4900004118681,4.38879280189368,0.800369419562993,250,-0.00240678404033875,0.811135206576616,0.00100148059277248,300.0103455,300.0107727,598.288146972656,699.091247558594,56.3483815798714,20.8172416001421,8.512546,0,0,0,40,4449,299.96055,648.689697265625,,,,,,,,,,,,,0,,,,10.1689291,,,,,,300.0105591,,,,
,19447794.635,300.0105133,754.203674316406,0.95717382518833,0.00663447164471091,1,0.999253354069792,40.0298881530762,1.97941437884109,11.4900004118681,5.17820407333958,0.94279719123633,250,-0.00311405487865308,0.956991423402358,0.00090708199317186,300.0102539,300.0107727,699.091247558594,809.316101074219,56.7282530402175,20.8259893748789,7.396941,0,0,0,40,4449,299.9611,754.203674316406,,,,,,,,,,,,,0,,,,10.42544175,,,,,,300.0105133,,,,
,19447795.69,300.01031495,859.328460693359,1.10351763707879,0.00674489047971783,1,0.999253354069792,40.0298881530762,1.97943661822673,11.4900004118681,5.97021892402444,1.0856303770597,250,-0.00383511239119094,1.10330838699756,0.000800846120185294,300.0102539,300.010376,809.316101074219,909.3408203125,56.374175321006,20.8271381605144,9.256284,0,0,0,40,4449,299.96025,859.328460693359,,,,,,,,,,,,,0,,,,10.5295868,,,,,,300.01031495,,,,
,19447796.765,300.010437,969.364562988281,1.25051549562235,0.00679268543034196,1,0.999253354069792,40.0298881530762,1.97917968192064,11.4900004118681,6.76425328841215,1.23220675756839,250,-0.00395433254114306,1.25027672508177,0.00129905106856563,300.010376,300.010498,909.3408203125,1029.38830566406,55.8520474701598,20.8244348045142,8.512546,0,0,0,40,4449,299.9599,969.364562988281,,,,,,,,,,,,,0,,,,10.5295868,,,,,,300.010437,,,,
