
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,19450230.45,300.0007629,-0.629928231239319,,,2,,,,11.2699998237193,,,,,,,300.0007629,300.0007629,-0.629928231239319,-0.629928231239319,,,9.256284,,,,-99999999,4369,299.9396,-0.629928231239319,,,,,,,,,,,,,,,,,,,,,,,300.0007629,,,,
sample offset = 35.07 mm touchdown = 5.96999982371926 mm,19450266.985,300.0028076,-0.337461560964584,0.0489824212663277,9.9980877737376E-5,1,0.999253354069792,40.0298881530762,1.99342637740559,11.2600000575185,0.266825992968412,0.0485400155752865,250,-0.000166687350195916,0.0489731289011152,3.91220125493594E-5,300.0028076,300.0028076,-0.359959006309509,-0.314964115619659,56.2577126716406,20.7903557709333,8.512546,0,0,0,40,4417,299.9375,-0.337461560964584,,,,,,,,,,,,,0,,,,10.2192116,,,,,,300.0028076,,,,
,19450280.68,300.0038147,63.1824703216553,0.0498032500415595,0.000194487041213722,1,0.999253354069792,40.0298881530762,1.99349583097614,11.2600000575185,0.271209297759707,0.0498796484704315,250,-7.31322854943054E-5,0.0497933951705129,0.000136108162465089,300.0038147,300.0038147,58.9826393127441,67.3823013305664,56.5664559367368,20.7898507510738,8.512546,0,0,0,40,4449,299.93455,63.1824703216553,,,,,,,,,,,,,0,,,,10.1171265,,,,,,300.0038147,,,,
,19450281.215,300.00309755,107.854068756104,0.0653718429460705,0.0014168762625359,1,0.999253354069792,40.0298881530762,1.99357221485121,11.2600000575185,0.355840682659523,0.0663507688889268,250,6.49429634497786E-5,0.0653582329562108,0.000339560508737356,300.0023804,300.0038147,67.3823013305664,148.325836181641,56.1295255944867,20.7914726544832,7.396941,0,0,0,40,4449,299.93305,107.854068756104,,,,,,,,,,,,,0,,,,10.1171265,,,,,,300.00309755,,,,
,19450282.27,300.00231935,200.742408752441,0.118856821647694,0.00358989092015114,1,0.999253354069792,40.0298881530762,1.99345792182578,11.2600000575185,0.647059621854051,0.119990599855145,250,6.43867796461432E-7,0.118832573581424,0.000499963912845752,300.0022583,300.0023804,148.325836181641,253.158981323242,56.3085185253906,20.793506099121,8.512546,0,0,0,40,4449,299.93365,200.742408752441,,,,,,,,,,,,,0,,,,10.2192116,,,,,,300.00231935,,,,
,19450283.365,300.00349425,300.063285827637,0.215757107438992,0.00508612961186872,1,0.999253354069792,40.0298881530762,1.99351586873873,11.2600000575185,1.17464322839316,0.217699017285742,250,-2.12937532607112E-5,0.215713177074916,0.000885096827676887,300.0022583,300.0047302,253.158981323242,346.967590332031,56.4437402592175,20.7950158170048,9.256284,0,0,0,40,4449,299.9359,300.063285827637,,,,,,,,,,,,,0,,,,10.11914585,,,,,,300.00349425,,,,
,19450284.305,300.00419615,386.724975585937,0.333658950888913,0.00557562131185386,1,0.999253354069792,40.0298881530762,1.99351586873873,11.2600000575185,1.817171173607,0.333228325900521,250,-0.00066362744761195,0.333593656474798,0.000738183394057204,300.0036621,300.0047302,346.967590332031,426.482360839844,56.2749084990636,20.7950158170048,7.396941,0,0,0,40,4449,299.93635,386.724975585937,,,,,,,,,,,,,0,,,,10.11914585,,,,,,300.00419615,,,,
,19450285.28,300.0028839,487.21435546875,0.45724473910397,0.0056742844396904,1,0.999253354069792,40.0298881530762,1.99356321540087,11.2600000575185,2.49048047768986,0.45569764193556,250,-0.00108715661589082,0.457156028282653,0.000833918935067434,300.0021057,300.0036621,426.482360839844,547.946350097656,56.3687039213713,20.7938027285962,7.396941,0,0,0,40,4449,299.9339,487.21435546875,,,,,,,,,,,,,0,,,,10.11914585,,,,,,300.0028839,,,,
,19450286.35,300.0029144,598.370300292969,0.579359610515823,0.0054888191066639,1,0.999253354069792,40.0298881530762,1.99343929535076,11.2600000575185,3.15537687552343,0.577563459979165,250,-0.00134090501078004,0.579247055456322,0.00109319893336563,300.0021057,300.0037231,547.946350097656,648.794250488281,56.5179949685444,20.7917101196002,8.512546,0,0,0,40,4449,299.9337,598.370300292969,,,,,,,,,,,,,0,,,,10.01706075,,,,,,300.0029144,,,,
,19450287.315,300.0037384,693.927032470703,0.698292624239316,0.00536135076903576,1,0.999253354069792,40.0298881530762,1.99343929535076,11.2600000575185,3.80338072462766,0.694742389248444,250,-0.00187060396668903,0.698158014883668,0.00106319354807458,300.0037231,300.0037537,648.794250488281,739.059814453125,56.2803798986983,20.7917101196002,9.256284,0,0,0,40,4449,299.93515,693.927032470703,,,,,,,,,,,,,0,,,,10.16791395,,,,,,300.0037384,,,,
,19450288.41,300.0035553,804.146209716797,0.814543957455185,0.0052904213730647,1,0.999253354069792,40.0298881530762,1.99347865697939,11.2600000575185,4.43670751436323,0.810111873156726,250,-0.00223828217703494,0.814387182447116,0.00118392049277104,300.0033569,300.0037537,739.059814453125,869.232604980469,56.6602513590445,20.7969283199533,8.512546,0,0,0,40,4449,299.9345,804.146209716797,,,,,,,,,,,,,0,,,,10.16791395,,,,,,300.0035553,,,,
,19450289.47,300.00279235,909.282745361328,0.929148555123008,0.00520017826735009,1,0.999253354069792,40.0298881530762,1.99342034243722,11.2600000575185,5.06089237401318,0.923561000704409,250,-0.0026460254633282,0.928970142509654,0.00125764782375814,300.0022278,300.0033569,869.232604980469,949.332885742188,56.2139414745636,20.7939529110589,7.396941,0,0,0,40,4449,299.9351,909.282745361328,,,,,,,,,,,,,0,,,,10.27102425,,,,,,300.00279235,,,,
,19450290.415,300.0031586,1004.3017578125,1.0421502241465,0.00512249481350265,1,0.999253354069792,40.0298881530762,1.99347238979705,11.2600000575185,5.67665591557949,1.03525755410961,250,-0.00308755965855981,1.04195060407826,0.00129087640700281,300.0022278,300.0040894,949.332885742188,1059.27062988281,56.3452550657944,20.7918986962423,7.396941,0,0,0,40,4449,299.93415,1004.3017578125,,,,,,,,,,,,,0,,,,10.27102425,,,,,,300.0031586,,,,
,19450291.54,300.0035706,1118.66552734375,1.15404710810791,0.00508342228563007,1,0.999253354069792,40.0298881530762,1.99337426146656,11.2600000575185,6.28604983341487,1.14535349020625,250,-0.00360379884460094,1.15382681716423,0.00124474900120159,300.0030518,300.0040894,1059.27062988281,1178.06042480469,56.343691808756,20.8053932298755,8.512546,0,0,0,40,4449,299.9338,1118.66552734375,,,,,,,,,,,,,0,,,,10.1171265,,,,,,300.0035706,,,,
,19450292.58,300.0027466,1217.37463378906,1.26247322383726,0.00456666153519327,1,0.999253354069792,40.0298881530762,1.99333553517576,11.2600000575185,6.8760554152284,1.25540500013351,250,-0.00348934200947983,1.26223037751627,0.0018145814427054,300.0024414,300.0030518,1178.06042480469,1256.68884277344,56.861911517006,20.8016723503874,8.512546,0,0,0,40,4449,299.9347,1217.37463378906,,,,,,,,,,,,,0,,,,10.2192116,,,,,,300.0027466,,,,
,19450293.525,300.00308225,1312.91595458984,1.36683430536934,0.00548582448353996,1,0.999253354069792,40.0298881530762,1.99344917036373,11.2600000575185,7.44514842166964,1.35776301898698,250,-0.00405222077735867,1.36657252506016,0.00169015165233285,300.0024414,300.0037231,1256.68884277344,1369.14306640625,56.5602029085829,20.7980840240233,8.512546,0,0,0,40,4449,299.93465,1312.91595458984,,,,,,,,,,,,,0,,,,10.2192116,,,,,,300.00308225,,,,
,19450294.485,300.0042419,1414.30200195312,1.48178161836483,0.00504433081122204,1,0.999253354069792,40.0298881530762,1.99349891666627,11.2600000575185,8.07142125383499,1.47220651850225,250,-0.00435191622028734,1.48149759356314,0.00187329787931264,300.0037231,300.0047607,1369.14306640625,1459.4609375,56.5805252500829,20.7952576552661,8.512546,0,0,0,40,4449,299.935,1414.30200195312,,,,,,,,,,,,,0,,,,10.2192116,,,,,,300.0042419,,,,
