
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,26461226.59,300.0065308,-0.0224974378943443,,,2,,,,14.7299995920062,,,,,,,300.0065308,300.0065308,-0.0224974378943443,-0.0224974378943443,,,8.512546,,,,-99999999,4369,299.9822,-0.0224974378943443,,,,,,,,,,,,,,,,,,,,,,,300.0065308,,,,
sample offset = 35.31 mm touchdown = 9.66999959200621 mm,26461264.44,300.0105286,-0.191228218376637,0.0504278937835475,0.00010575321215307,1,0.999253354069792,40.0298881530762,1.99930228788606,14.7299999371171,0.273332215121878,0.0617486491398181,250,0.00195909388775702,0.0504093645447891,0.00217052109910468,300.0105286,300.0105286,-0.202476933598518,-0.179979503154755,54.962554215275,20.5385119688449,9.256284,0,0,0,40,4417,299.96185,-0.191228218376637,,,,,,,,,,,,,0,,,,31.2833042,,,,,,300.0105286,,,,
,26461277.015,300.0093994,55.6842231750488,0.0538777647538938,0.000462376850058367,1,0.999253354069792,40.0298881530762,1.99871452133521,14.7200003266335,0.291860890093869,0.0664224335057059,250,0.00217893324764523,0.0538576105207219,0.00240480099998975,300.0093994,300.0093994,42.5132751464844,68.8551712036133,54.187178724198,20.5288556889298,8.512546,0,0,0,40,4449,299.9682,55.6842231750488,,,,,,,,,,,,,0,,,,30.9723148,,,,,,300.0093994,,,,
,26461277.72,300.0092621,112.731204986572,0.0791229722814932,0.00215915981100999,1,0.999253354069792,40.0298881530762,1.99836172709714,14.7299999371171,0.429230283115066,0.0938213734919484,250,0.0025205165177871,0.0790962285175683,0.00285235761996284,300.0091248,300.0093994,68.8551712036133,156.607238769531,55.4854636946405,20.5246105250176,8.512546,0,0,0,40,4449,299.96665,112.731204986572,,,,,,,,,,,,,0,,,,30.9723148,,,,,,300.0092621,,,,
,26461278.875,300.00942995,208.926010131836,0.15056828416878,0.00437104251742922,1,0.999253354069792,40.0298881530762,1.99826180528055,14.7200003266335,0.818804516921885,0.167561663779214,250,0.00278641509235807,0.150525834732299,0.00341830090088122,300.0091248,300.0097351,156.607238769531,261.244781494141,56.7477937531983,20.5321743804101,9.256284,0,0,0,40,4449,299.96785,208.926010131836,,,,,,,,,,,,,0,,,,30.9723148,,,,,,300.00942995,,,,
,26461279.965,300.00967405,308.499908447266,0.256423560588253,0.00532553894132255,1,0.999253354069792,40.0298881530762,1.9987219831093,14.7200003266335,1.39681313785714,0.274401798703192,250,0.00272521081596016,0.256359752194162,0.00380173661510508,300.009613,300.0097351,261.244781494141,355.755035400391,55.5425225765443,20.5321746768292,9.256284,0,0,0,40,4449,299.96905,308.499908447266,,,,,,,,,,,,,0,,,,31.28483485,,,,,,300.00967405,,,,
,26461280.975,300.01000975,405.798538208008,0.375830147271279,0.00554121773488559,1,0.999253354069792,40.0298881530762,1.99841977387104,14.7200003266335,2.0480550673131,0.396180455141326,250,0.00290570904077683,0.375741194643018,0.00448374156747262,300.009613,300.0104065,355.755035400391,455.842041015625,55.4135538708712,20.5294745140747,8.512546,0,0,0,40,4449,299.9692,405.798538208008,,,,,,,,,,,,,0,,,,31.5973549,,,,,,300.01000975,,,,
,26461282.025,300.0105591,511.601501464844,0.49557159241943,0.00551754798347812,1,0.999253354069792,40.0298881530762,1.99856926645647,14.7200003266335,2.70178321955767,0.516995649858618,250,0.00283324932749304,0.495458482873568,0.00491424590595421,300.0104065,300.0107117,455.842041015625,567.360961914063,55.8293802431021,20.5317488604788,9.256284,0,0,0,40,4449,299.96825,511.601501464844,,,,,,,,,,,,,0,,,,31.5973549,,,,,,300.0105591,,,,
,26461283.03,300.0106659,612.824371337891,0.610445117729997,0.00525643942288811,1,0.999253354069792,40.0298881530762,1.99871798445576,14.7200003266335,3.32934405402479,0.631241065318555,250,0.00245660299797435,0.610310129496205,0.00502016701571619,300.0106201,300.0107117,567.360961914063,658.287780761719,56.6133536478906,20.5295300736773,8.884414,0,0,0,40,4449,299.96805,612.824371337891,,,,,,,,,,,,,0,,,,31.28483485,,,,,,300.0106659,,,,
,26461283.99,300.01037595,713.531982421875,0.722153235828468,0.00498161683679698,1,0.999253354069792,40.0298881530762,1.99847500946973,14.7299999371171,3.93885958489967,0.742727150012958,250,0.00218439372107877,0.721996588598562,0.00521718557359051,300.0101318,300.0106201,658.287780761719,768.776184082031,54.7960673406789,20.5391003281624,8.512546,0,0,0,40,4449,299.9691,713.531982421875,,,,,,,,,,,,,0,,,,30.9723148,,,,,,300.01037595,,,,
,26461285.115,300.0101318,828.855194091797,0.830583202715839,0.00484896529721594,1,0.999253354069792,40.0298881530762,1.99853635837284,14.7200003266335,4.5308719789534,0.851767805417226,250,0.0020535803002213,0.830404971850089,0.00554181278156499,300.0101318,300.0101318,768.776184082031,888.934204101562,55.6105242577174,20.5318412602623,9.256284,0,0,0,40,4449,299.96815,828.855194091797,,,,,,,,,,,,,0,,,,30.9723148,,,,,,300.0101318,,,,
,26461286.255,300.01037595,938.960693359375,0.936240096539543,0.00471774115521681,1,0.999253354069792,40.0298881530762,1.99826437800896,14.7200003266335,5.10716651035456,0.956710341129213,250,0.00171342869564393,0.936041714248735,0.00564548048988075,300.0101318,300.0106201,888.934204101562,988.987182617187,55.4018294430828,20.5342910957504,9.256284,0,0,0,40,4449,299.96795,938.960693359375,,,,,,,,,,,,,0,,,,30.9723148,,,,,,300.01037595,,,,
,26461287.31,300.01107785,1043.96343994141,1.04056814205396,0.00482471120384289,1,0.999253354069792,40.0298881530762,1.99816138476283,14.7299999371171,5.67653505297026,1.06031652407174,250,0.00136391235640722,1.04034990540754,0.00573414440314432,300.0106201,300.0115356,988.987182617187,1098.93969726562,54.0902567878134,20.5284912958608,8.512546,0,0,0,40,4449,299.9708,1043.96343994141,,,,,,,,,,,,,0,,,,31.1278095,,,,,,300.01107785,,,,
,26461288.475,300.01133725,1163.93280029297,1.142128746185,0.00480733239993823,1,0.999253354069792,40.0298881530762,1.99865733938843,14.7200003266335,6.23224565387596,1.16318534220019,250,0.00133203582585852,1.14188989685377,0.00612878644091839,300.0111389,300.0115356,1098.93969726562,1228.92590332031,55.6683647681405,20.5323322949251,8.884414,0,0,0,40,4449,299.9709,1163.93280029297,,,,,,,,,,,,,0,,,,31.1278095,,,,,,300.01133725,,,,
,26461289.57,300.01197815,1273.79144287109,1.2425577801721,0.00464809440034467,1,0.999253354069792,40.0298881530762,1.99842498630175,14.7200003266335,6.77956384579761,1.26491078053743,250,0.00137371042847531,1.24229821470285,0.00659227499254879,300.0111389,300.0128174,1228.92590332031,1318.65698242188,54.5373483008135,20.5311794756424,8.512546,0,0,0,40,4449,299.96765,1273.79144287109,,,,,,,,,,,,,0,,,,30.9723148,,,,,,300.01197815,,,,
