
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Position Status (code),Evercool Status (code),Motor Current (amps),Motor Heatsink Temp. (C),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,3949568510.53838,,0.15748205780983,,,2,,,,12.5899998030066,,,,,,,,,0.15748205780983,0.15748205780983,,,8.140677,,,,,348.0594,6,1,1,1,0,0.0445556640625,42.5219955444336,0.15748205780983,,,,,,,,,,,,,,,,,,,,,,,332.8773499,,,,
,3949569372.87946,393.2115173,0.281217977404594,-10.1055176606827,0.00263786029333165,1,0.999253354069792,40.0298881530762,2.00212942535904,12.5799998641014,-55.1048341666358,-10.0490479671106,250,0.0203472117577465,-10.0718460068275,-0.0123936535387876,393.2111816,393.211853,0.269969254732132,0.292466700077057,55.7535622767367,20.535033431142,8.140677,0,0,0,40,394.0493,1,4,1,1,0,2.252197265625,62.5610961914063,0.281217977404594,,,,,,,,,,,,,0,,,,13.79029605,,,,,,393.2115173,,,,
,3949569387.10189,393.2375183,57.5209083557129,-10.10355721094,0.00300543027579301,1,0.999253354069792,40.0298881530762,2.00212427205001,12.5799998641014,-55.092913692952,-10.0527422912169,250,0.0193036218685643,-10.0698805139214,-0.0134292791702112,393.2375183,393.2375183,40.8832855224609,74.1585311889648,55.7582520478521,20.5333072787046,8.884414,0,0,0,40,393.9786,1,6,1,1,0,2.25433349609375,62.5610961914063,57.5209083557129,,,,,,,,,,,,,0,,,,13.789608,,,,,,393.2375183,,,,
,3949569387.85239,393.23757935,120.018688201904,-10.1065528843295,0.00162168810425418,1,0.999253354069792,40.0298881530762,2.00214116044803,12.5799998641014,-55.1143028846836,-10.0308584444246,250,0.0238860179609434,-10.072880980086,-0.00887188848939947,393.2375183,393.2376404,74.1585311889648,165.878845214844,55.0844882642751,20.5300844890929,8.884414,0,0,0,40,393.97495,1,6,1,1,0,2.24502563476563,62.5610961914063,120.018688201904,,,,,,,,,,,,,0,,,,13.789608,,,,,,393.23757935,,,,
,3949569389.09169,393.2387848,223.981567382813,-10.0939147184584,0.0027871266505234,1,0.999253354069792,40.0298881530762,2.00223410524895,12.5799998641014,-55.0432900924029,-10.043606649863,250,0.0192995814173098,-10.0602698127083,-0.0134021563630793,393.2376404,393.2399292,165.878845214844,282.084289550781,55.7996783593713,20.5313796979122,8.884414,0,0,0,40,393.9688,1,6,1,1,0,2.244873046875,62.5610961914063,223.981567382813,,,,,,,,,,,,,0,,,,13.92874955,,,,,,393.2387848,,,,
,3949569390.41763,393.24142455,344.825302124023,-10.0904386565035,0.00289537561760014,1,0.999253354069792,40.0298881530762,2.0020871022003,12.5799998641014,-55.0202922053269,-10.0399735214402,250,0.0191929581462907,-10.0568041956649,-0.01349717265611,393.2399292,393.2429199,282.084289550781,407.566314697266,55.6511689407174,20.5333559692248,8.140677,0,0,0,40,393.9618,1,6,1,1,0,2.25143432617188,62.072338104248,344.825302124023,,,,,,,,,,,,,0,,,,13.99797295,,,,,,393.24142455,,,,
,3949569391.68768,393.2436676,473.085433959961,-10.0849078576316,0.00245929366287254,1,0.999253354069792,40.0298881530762,2.00212952647717,12.5799998641014,-54.991394332742,-10.0339826996795,250,0.0193097267509402,-10.0512915540242,-0.0133628368595534,393.2429199,393.2444153,407.566314697266,538.604553222656,55.8700249261021,20.5317537341342,8.140677,0,0,0,40,393.95605,1,6,1,1,0,2.2509765625,62.5610961914063,473.085433959961,,,,,,,,,,,,,0,,,,13.8588314,,,,,,393.2436676,,,,
,3949569392.86487,393.2449341,588.941375732422,-10.0757492527261,0.00293181824401316,1,0.999253354069792,40.0298881530762,2.00213050863588,12.5799998641014,-54.9397330385361,-10.0343357472628,250,0.0175564738939173,-10.0421574765619,-0.0150805755104041,393.2444153,393.2454529,538.604553222656,639.278198242188,55.4698311242559,20.5333169322835,8.884414,0,0,0,40,393.9497,1,6,1,1,0,2.24563598632813,62.5610961914063,588.941375732422,,,,,,,,,,,,,0,,,,13.789608,,,,,,393.2449341,,,,
,3949569394.02836,393.2465668,704.476043701172,-10.067155162105,0.00310746048240806,1,0.999253354069792,40.0298881530762,2.00203876615759,12.5799998641014,-54.888745763722,-10.0343947203591,250,0.0158781680427839,-10.0335861580385,-0.0167254398309221,393.2454529,393.2476807,639.278198242188,769.673889160156,55.7668499615636,20.531753830804,8.884414,0,0,0,40,393.94315,1,6,1,1,0,2.244873046875,62.5610961914063,704.476043701172,,,,,,,,,,,,,0,,,,13.8588314,,,,,,393.2465668,,,,
,3949569395.27048,393.2482605,829.773529052734,-10.041640861094,0.00221992237698568,1,0.999253354069792,40.0298881530762,2.00217595064728,12.5799998641014,-54.7553236545704,-9.99859946750306,250,0.0178616843372879,-10.0081629599044,-0.0146659870168433,393.2476807,393.2488403,769.673889160156,889.873168945313,55.6120875147559,20.5305349199949,8.884414,0,0,0,40,393.93615,1,6,1,1,0,2.24380493164063,62.5610961914063,829.773529052734,,,,,,,,,,,,,0,,,,13.8588314,,,,,,393.2482605,,,,
