Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Position Status (code),Evercool Status (code),Motor Current (amps),Motor Heatsink Temp. (C),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,3949578918.45417,,-0.134984627366066,,,2,,,,13.9199998059869,,,,,,,,,-0.134984627366066,-0.134984627366066,,,8.884414,,,,,354.851,6,1,1,1,0,0.04119873046875,42.0332374572754,-0.134984627366066,,,,,,,,,,,,,,,,,,,,,,,339.9978943,,,,
,3949579720.99769,393.2089386,0.123735904693604,14.0418989189822,0.00812801394593651,1,0.999253354069792,40.0298881530762,1.99189370905989,13.9100002124906,76.2299310133898,13.6669318992567,250,-0.0701111763803848,13.9952474290931,-0.0244747185147343,393.2078857,393.2099915,0.0899897515773773,0.15748205780983,56.1092032529867,20.6277626874296,8.140677,0,0,0,40,393.985,1,4,1,1,0,2.24502563476563,62.072338104248,0.123735904693604,,,,,,,,,,,,,0,,,,13.6525373,,,,,,393.2089386,,,,
,3949579735.05084,393.23280335,44.6460371017456,13.9995466497385,0.00414076178104704,1,0.999253354069792,40.0298881530762,1.9917186581436,13.9100002124906,75.9962133898259,13.6095078220611,250,-0.072673106891588,13.9530343576679,-0.0271620941538774,393.2321777,393.233429,31.9280796051025,57.3639945983887,55.7605969334098,20.6295703340149,8.884414,0,0,0,40,393.9065,1,6,1,1,0,2.24716186523438,62.072338104248,44.6460371017456,,,,,,,,,,,,,0,,,,13.4496503,,,,,,393.23280335,,,,
,3949579735.86815,393.2336884,111.552473068237,14.0153748845275,0.00685523789708214,1,0.999253354069792,40.0298881530762,1.99185538126297,13.9100002124906,76.0842398569301,13.6420003315904,250,-0.0697695477175473,13.9687999660056,-0.0242170113647756,393.233429,393.2339478,57.3639945983887,165.740951538086,56.1756416771213,20.6352181797884,8.140677,0,0,0,40,393.9024,1,6,1,1,0,2.24456787109375,61.5835800170898,111.552473068237,,,,,,,,,,,,,0,,,,13.5846834,,,,,,393.2336884,,,,
,3949579737.22916,393.2350922,228.438163757324,14.0478316502395,0.00851972688440973,1,0.999253354069792,40.0298881530762,1.99194464463775,13.9100002124906,76.2609371525366,13.6895175763636,250,-0.0671050097302836,14.0011391317293,-0.0214564591069574,393.2339478,393.2362366,165.740951538086,291.135375976563,56.0943523111213,20.6247051780359,8.140677,0,0,0,40,393.89705,1,6,1,1,0,2.2509765625,62.072338104248,228.438163757324,,,,,,,,,,,,,0,,,,13.6525373,,,,,,393.2350922,,,,
,3949579738.54509,393.23739625,349.209487915039,14.0129674129573,0.00347964578794685,1,0.999253354069792,40.0298881530762,1.9918928817438,13.9100002124906,76.0710330904072,13.6481750456238,250,-0.0682328667142656,13.966393971347,-0.0226933052051402,393.2362366,393.2385559,291.135375976563,407.283599853516,56.4671891147944,20.6348522781446,8.140677,0,0,0,40,393.89025,1,6,1,1,0,2.24746704101563,62.072338104248,349.209487915039,,,,,,,,,,,,,0,,,,13.5175042,,,,,,393.23739625,,,,
,3949579739.71243,393.23954775,467.674209594727,14.0181320024718,0.00348646568566301,1,0.999253354069792,40.0298881530762,1.99175772821573,13.9100002124906,76.0923368029429,13.6614821871547,250,-0.0665651265551013,13.9715349950042,-0.0210144400727022,393.2385559,393.2405396,407.283599853516,528.064819335938,56.2702187279483,20.6298012797627,8.884414,0,0,0,40,393.8827,1,6,1,1,0,2.249755859375,62.072338104248,467.674209594727,,,,,,,,,,,,,0,,,,13.3824711,,,,,,393.23954775,,,,
,3949579740.9505,393.2402802,593.629150390625,14.0761075733644,0.0103896181357361,1,0.999253354069792,40.0298881530762,1.99173269828162,13.9100002124906,76.4103411377643,13.694810570255,250,-0.0710820072287494,14.0293312545249,-0.0253288275616044,393.2400208,393.2405396,528.064819335938,659.193481445313,56.056052513679,20.6379415090666,8.884414,0,0,0,40,393.87555,1,6,1,1,0,2.24227905273438,62.072338104248,593.629150390625,,,,,,,,,,,,,0,,,,13.3824711,,,,,,393.2402802,,,,
,3949579743.09878,393.2420959,804.466461181641,14.034797825064,0.00411343092966261,1,0.999253354069792,40.0298881530762,1.99183941152076,13.9100002124906,76.188460151996,13.6640723882851,250,-0.0692616627407138,13.9881528058175,-0.0236483989509127,393.2420959,393.2420959,789.394653320313,819.538269042969,56.1756416771213,20.6323829139036,8.140677,0,0,0,40,393.86705,1,6,1,1,0,2.24716186523438,61.0948219299316,804.466461181641,,,,,,,,,,,,,0,,,,13.3824711,,,,,,393.2420959,,,,
,3949579743.87204,393.2429962,884.562164306641,14.0882551669255,0.0101864996907817,1,0.999253354069792,40.0298881530762,1.99188806155279,13.9100002124906,76.4766929841225,13.7369467949931,250,-0.0657452720000074,14.041419866597,-0.019970882811801,393.2420959,393.2438965,819.538269042969,949.586059570313,55.9622570913713,20.6287911102859,8.884414,0,0,0,40,393.8607,1,6,1,1,0,2.25067138671875,61.5835800170898,884.562164306641,,,,,,,,,,,,,0,,,,13.3824711,,,,,,393.2429962,,,,
,3949579745.1072,393.24468995,1009.57739257813,14.058574750253,0.00487198534102457,1,0.999253354069792,40.0298881530762,1.99188227357809,13.9100002124906,76.3132884660721,13.7191746523172,250,-0.0635401585449963,14.0118307183072,-0.0178692853759019,393.2438965,393.2454834,949.586059570313,1069.56872558594,55.2455037392366,20.6265968171437,8.884414,0,0,0,40,393.85575,1,6,1,1,0,2.2607421875,62.072338104248,1009.57739257813,,,,,,,,,,,,,0,,,,13.3824711,,,,,,393.24468995,,,,
,3949579746.16229,393.24690245,1114.56842041016,14.1100429989424,0.0114003382030319,1,0.999253354069792,40.0298881530762,1.99174211566398,13.9100002124906,76.5883783532509,13.7632071201377,250,-0.0647402832457016,14.063130013241,-0.0188990751232223,393.2454834,393.2483215,1069.56872558594,1159.56811523438,55.9528775491405,20.6299611994696,8.140677,0,0,0,40,393.85,1,6,1,1,0,2.25296020507813,62.072338104248,1114.56842041016,,,,,,,,,,,,,0,,,,13.5175042,,,,,,393.24690245,,,,
,3949579748.17418,393.24823,1314.49041748047,14.1089230662456,0.0103211364031457,1,0.999253354069792,40.0298881530762,1.99176795662603,13.9199998229742,76.5886212211778,13.73324901517,250,-0.0700893941938678,14.0620305532602,-0.0242341138990662,393.24823,393.24823,1299.455078125,1329.52575683594,55.619122171429,20.6248300710321,8.140677,0,0,0,40,393.83825,1,6,1,1,0,2.2589111328125,62.072338104248,1314.49041748047,,,,,,,,,,,,,0,,,,13.5175042,,,,,,393.24823,,,,
,3949579748.96433,393.2487488,1394.52288818359,14.0932882669679,0.00600426122202304,1,0.999253354069792,40.0298881530762,1.99170621419039,13.9100002124906,76.5009590586205,13.7202021477482,250,-0.0695346990088359,14.0464459580036,-0.0237319309856984,393.24823,393.2492676,1329.52575683594,1459.52001953125,56.1459397933906,20.6335636358744,8.140677,0,0,0,40,393.83435,1,6,1,1,0,2.26058959960938,61.5835800170898,1394.52288818359,,,,,,,,,,,,,0,,,,13.6525373,,,,,,393.2487488,,,,
