[Header]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Position Status (code),Evercool Status (code),Motor Current (amps),Motor Heatsink Temp. (C),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,3949575432.94482,,-0.337461560964584,,,2,,,,12.3300003623962,,,,,,,,,-0.337461560964584,-0.337461560964584,,,8.140677,,,,,340.384,6,1,1,1,0,0.04058837890625,42.0332374572754,-0.337461560964584,,,,,,,,,,,,,,,,,,,,,,,326.129425,,,,
,3949576368.7971,393.18780515,-0.393705159425735,10.3045381386338,0.00454170997490175,1,0.999253354069792,40.0298881530762,1.99056273016303,12.3300002887845,55.9067306987082,10.0098375908908,250,-0.0538486695748251,10.2703178576755,-0.020352164171087,393.1845703,393.19104,-0.404953867197037,-0.382456451654434,55.5831672595443,20.5387201263238,8.140677,0,0,0,40,394.037,1,4,1,1,0,2.23907470703125,62.072338104248,-0.393705159425735,,,,,,,,,,,,,0,,,,13.5168295,,,,,,393.18780515,,,,
,3949576383.28699,393.2149353,73.4744644165039,10.3053294201358,0.00390416987982082,1,0.999253354069792,40.0298881530762,1.99054897803787,12.3199997469783,55.9104562856904,10.0113074814491,250,-0.0537113372625004,10.2710973232569,-0.0202108027640732,393.2149353,393.2149353,65.2431488037109,81.7057800292969,55.8246904719867,20.5358344790483,8.140677,0,0,0,40,393.96545,1,6,1,1,0,2.2418212890625,62.5610961914063,73.4744644165039,,,,,,,,,,,,,0,,,,13.5168295,,,,,,393.2149353,,,,
,3949576384.02533,393.21520995,136.46785736084,10.3040973659673,0.00385025962660621,1,0.999253354069792,40.0298881530762,1.99060596073219,12.3199997469783,55.9027452452938,10.024413549444,250,-0.0511177284447404,10.2698609062547,-0.0176297933251705,393.2149353,393.2154846,81.7057800292969,191.229934692383,55.8012416164097,20.5394887497864,8.140677,0,0,0,40,393.96075,1,6,1,1,0,2.2406005859375,62.5610961914063,136.46785736084,,,,,,,,,,,,,0,,,,13.5168295,,,,,,393.21520995,,,,
,3949576385.28449,393.21757505,250.392189025879,10.312534095324,0.00395578795412912,1,0.999253354069792,40.0298881530762,1.9906297487913,12.3199997469783,55.9488706629628,10.0343321016281,250,-0.05086541971433,10.2782679002792,-0.0173510137293736,393.2154846,393.2196655,191.229934692383,309.554443359375,55.6879054811213,20.5395656509627,8.884414,0,0,0,40,393.95315,1,6,1,1,0,2.24151611328125,62.5610961914063,250.392189025879,,,,,,,,,,,,,0,,,,13.65321875,,,,,,393.21757505,,,,
,3949576386.5351,393.2193451,368.222625732422,10.3217993549817,0.00350523572466479,1,0.999253354069792,40.0298881530762,1.99060211767728,12.3199997469783,56.0002222876705,10.0332051437877,250,-0.0527570532711896,10.2875077835206,-0.0192064160573156,393.2190247,393.2196655,309.554443359375,426.890808105469,55.6746177962944,20.5401127943843,8.884414,0,0,0,40,393.9474,1,6,1,1,0,2.242431640625,62.5610961914063,368.222625732422,,,,,,,,,,,,,0,,,,13.789608,,,,,,393.2193451,,,,
,3949576388.64867,393.2222595,573.069915771484,10.3297901442161,0.00423900698489075,1,0.999253354069792,40.0298881530762,1.99063091195653,12.3199997469783,56.0418436201178,10.054762970894,250,-0.0502795461330435,10.2954629662282,-0.0167114754488025,393.2222595,393.2222595,567.99169921875,578.148132324219,55.8536107271982,20.539752800535,8.140677,0,0,0,40,393.93835,1,6,1,1,0,2.24319458007813,62.072338104248,573.069915771484,,,,,,,,,,,,,0,,,,13.6525373,,,,,,393.2222595,,,,
,3949576389.38264,393.2215881,643.509460449219,10.3353473761307,0.00411974918946429,1,0.999253354069792,40.0298881530762,1.99062854364257,12.3199997469783,56.0729671560994,10.0545333246014,250,-0.0513447492595599,10.3010053042354,-0.0177552015348644,393.2209167,393.2222595,578.148132324219,708.870788574219,55.6863422240828,20.5400989502984,8.140677,0,0,0,40,393.93505,1,6,1,1,0,2.24411010742188,62.5610961914063,643.509460449219,,,,,,,,,,,,,0,,,,13.72107265,,,,,,393.2215881,,,,
,3949576390.71344,393.223175,783.970336914063,10.3468975531075,0.00374706953448358,1,0.999253354069792,40.0298881530762,1.99068991436736,12.3199997469783,56.1392967971766,10.055331199808,250,-0.0533834655815666,10.3125230122133,-0.0197498803903373,393.2209167,393.2254333,708.870788574219,859.069885253906,55.7910804456597,20.5407158609967,8.884414,0,0,0,40,393.9289,1,6,1,1,0,2.2442626953125,62.5610961914063,783.970336914063,,,,,,,,,,,,,0,,,,13.65321875,,,,,,393.223175,,,,
,3949576392.11661,393.2268066,929.119110107422,10.3459739243851,0.00323595995795534,1,0.999253354069792,40.0298881530762,1.99071971879425,12.3300002887845,56.1339228743635,10.0609538957846,250,-0.0522026705609424,10.3115974964887,-0.0185760455008741,393.2254333,393.2281799,859.069885253906,999.168334960938,55.5948916873328,20.5420468932911,8.140677,0,0,0,40,393.91905,1,6,1,1,0,2.24166870117188,62.5610961914063,929.119110107422,,,,,,,,,,,,,0,,,,13.65321875,,,,,,393.2268066,,,,
