
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Position Status (code),Evercool Status (code),Motor Current (amps),Motor Heatsink Temp. (C),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,3949554250.1873,,0.179979503154755,,,2,,,,13.3400000342727,,,,,,,,,0.179979503154755,0.179979503154755,,,9.256284,,,,,300.3109,1,1,1,1,0,0,38.1231689453125,0.179979503154755,,,,,,,,,,,,,,,,,,,,,,,300.0059204,,,,
sample offset = 36.33 mm touchdown = 9.30000003427267 mm,3949554288.16827,300.0084534,0.101238466799259,-12.3433499096201,0.00385832409219448,1,0.999253354069792,40.0298881530762,1.97480536319741,13.3300004526973,-66.6196146734613,-12.1567565191181,250,0.0351933994853592,-12.3409842396229,-0.0165925004790113,300.0084534,300.0084534,0.0899897515773773,0.112487182021141,54.3333432572942,20.4690054065611,8.512546,0,0,0,40,300.30765,1,4,1,1,0,2.20718383789063,41.5444793701172,0.101238466799259,,,,,,,,,,,,,0,,,,7.5725036,,,,,,300.0084534,,,,
,3949554301.52289,300.0108337,44.3200798034668,-12.3463586926298,0.00449807498114863,1,0.999253354069792,40.0298881530762,1.97493701372246,13.3300004526973,-66.6413590321137,-12.1541518021938,250,0.0363832005303824,-12.3439960588546,-0.0154183107792236,300.0108337,300.0108337,26.1954116821289,62.4447479248047,53.5134149406211,20.4737483433721,8.512546,0,0,0,40,300.29375,1,6,1,1,0,2.21893310546875,43.0107536315918,44.3200798034668,,,,,,,,,,,,,0,,,,7.5728815,,,,,,300.0108337,,,,
,3949554302.30316,300.01019285,115.374473571777,-12.3437863208947,0.00347428373686578,1,0.999253354069792,40.0298881530762,1.9749609783227,13.3300004526973,-66.6246772104131,-12.1711105905412,250,0.0327891069854146,-12.3414094506666,-0.0190006118907028,300.009552,300.0108337,62.4447479248047,168.30419921875,53.9769206525249,20.4730199381807,8.512546,0,0,0,40,300.2941,1,6,1,1,0,2.21694946289063,43.0107536315918,115.374473571777,,,,,,,,,,,,,0,,,,7.6105173,,,,,,300.01019285,,,,
,3949554303.63312,300.0085449,227.904846191406,-12.3326604426004,0.00389702987786636,1,0.999253354069792,40.0298881530762,1.97491797171188,13.3300004526973,-66.5655298189508,-12.1474062923042,250,0.0350718201385904,-12.3302962100407,-0.0166712026680218,300.0075378,300.009552,168.30419921875,287.505493164063,54.3763328258519,20.4739693711709,9.256284,0,0,0,40,300.2947,1,6,1,1,0,2.2052001953125,43.0107536315918,227.904846191406,,,,,,,,,,,,,0,,,,7.5348678,,,,,,300.0085449,,,,
,3949554305.01649,300.0080261,357.037185668945,-12.329499959847,0.00384492705436173,1,0.999253354069792,40.0298881530762,1.97487784394643,13.3300004526973,-66.5482673905795,-12.1380450126931,250,0.0361762998473212,-12.3271412599937,-0.0155534774198149,300.0075378,300.0085144,287.505493164063,426.568878173828,53.9511269113903,20.4790871027235,8.884414,0,0,0,40,300.29345,1,6,1,1,0,2.21649169921875,43.49951171875,357.037185668945,,,,,,,,,,,,,0,,,,7.497232,,,,,,300.0080261,,,,
,3949554306.33634,300.00834655,487.409774780273,-12.3206657999026,0.00325287041898649,1,0.999253354069792,40.0298881530762,1.97493774525493,13.3300004526973,-66.4994263583164,-12.1465641876988,250,0.0330254488009862,-12.3182955477564,-0.0186664966003704,300.0081787,300.0085144,426.568878173828,548.250671386719,54.6592823498135,20.4693751376025,9.256284,0,0,0,40,300.2916,1,6,1,1,0,2.20977783203125,43.49951171875,487.409774780273,,,,,,,,,,,,,0,,,,7.5728815,,,,,,300.00834655,,,,
,3949554307.56494,300.00852965,608.828430175781,-12.3139083817054,0.00426788783649918,1,0.999253354069792,40.0298881530762,1.97487852099165,13.3300004526973,-66.4619792936008,-12.1343164952206,250,0.0339764209325336,-12.3115434607106,-0.0176868519042184,300.0081787,300.0088806,548.250671386719,669.406188964844,54.5006117604096,20.4727132827884,9.256284,0,0,0,40,300.2917,1,6,1,1,0,2.21817016601563,43.49951171875,608.828430175781,,,,,,,,,,,,,0,,,,7.648531,,,,,,300.00852965,,,,
,3949554308.82896,300.00834655,734.599182128906,-12.3006459288324,0.00393520826326269,1,0.999253354069792,40.0298881530762,1.97495650284208,13.3300004526973,-66.3937083499048,-12.1176564787379,250,0.0346915201981226,-12.2982868409647,-0.0169157360180812,300.0078125,300.0088806,669.406188964844,799.792175292969,54.6975821472558,20.4739377808699,9.256284,0,0,0,40,300.29165,1,6,1,1,0,2.2088623046875,43.9882698059082,734.599182128906,,,,,,,,,,,,,0,,,,7.5728815,,,,,,300.00834655,,,,
,3949554310.09422,300.00772095,859.836578369141,-12.2941523090214,0.00413173329347873,1,0.999253354069792,40.0298881530762,1.97495054413761,13.3300004526973,-66.3604563976815,-12.1004846742825,250,0.0366633914738839,-12.2918031498317,-0.0149164833955959,300.0076294,300.0078125,799.792175292969,919.880981445313,54.5326585296981,20.4766879908363,8.512546,0,0,0,40,300.2916,1,6,1,1,0,2.218017578125,43.9882698059082,859.836578369141,,,,,,,,,,,,,0,,,,7.497232,,,,,,300.00772095,,,,
,3949554311.38061,300.0078583,989.800659179688,-12.2884855395793,0.00395963587773305,1,0.999253354069792,40.0298881530762,1.97491625184395,13.3300004526973,-66.3231799588106,-12.1247157357214,250,0.0310820234923717,-12.2861141454406,-0.0204720270973927,300.0076294,300.0080872,919.880981445313,1059.72033691406,54.850781337025,20.4705824739558,9.256284,0,0,0,40,300.2932,1,6,1,1,0,2.20657348632813,43.9882698059082,989.800659179688,,,,,,,,,,,,,0,,,,7.5728815,,,,,,300.0078583,,,,
,3949554312.54897,300.00746155,1114.63049316406,-12.2753702498687,0.00470823261745562,1,0.999253354069792,40.0298881530762,1.97499065215391,13.3300004526973,-66.2578683809597,-12.0958379612914,250,0.0340847844993919,-12.2730143754148,-0.0174140765470431,300.0068359,300.0080872,1059.72033691406,1169.54064941406,54.5568890137942,20.4701938775041,9.256284,0,0,0,40,300.2942,1,6,1,1,0,2.21542358398438,43.9882698059082,1114.63049316406,,,,,,,,,,,,,0,,,,7.648531,,,,,,300.00746155,,,,
,3949554313.74875,300.0070648,1234.35089111328,-12.2663237716445,0.00410620507920806,1,0.999253354069792,40.0298881530762,1.97489828585328,13.3300004526973,-66.2040257766755,-12.0971241938838,250,0.0320659502304693,-12.2639615141032,-0.0193938707955984,300.0068359,300.0072937,1169.54064941406,1299.1611328125,54.5138994452365,20.4688795651691,8.512546,0,0,0,40,300.29475,1,6,1,1,0,2.21847534179688,44.4770278930664,1234.35089111328,,,,,,,,,,,,,0,,,,7.5728815,,,,,,300.0070648,,,,
,3949554315.12464,300.00691225,1369.15252685547,-12.2584474312432,0.0043032444091135,1,0.999253354069792,40.0298881530762,1.97503520151637,13.3300004526973,-66.1671763832777,-12.0837800563987,250,0.0332300907718382,-12.2560917745744,-0.0181964462112941,300.0065308,300.0072937,1299.1611328125,1439.14392089844,54.3145841728327,20.4737941249339,9.256284,0,0,0,40,300.2939,1,6,1,1,0,2.20703125,44.4770278930664,1369.15252685547,,,,,,,,,,,,,0,,,,7.497232,,,,,,300.00691225,,,,
,3949554317.27495,300.0068665,1578.67272949219,-12.2406685755544,0.00432198348560615,1,0.999253354069792,40.0298881530762,1.97498558122755,13.3300004526973,-66.0708414992509,-12.0592255792377,250,0.0344291786812218,-12.2383216651601,-0.0169222075344152,300.0068665,300.0068665,1568.80126953125,1588.54418945313,54.3216188295057,20.4737649388657,9.256284,0,0,0,40,300.2928,1,6,1,1,0,2.216796875,44.4770278930664,1578.67272949219,,,,,,,,,,,,,0,,,,7.5725036,,,,,,300.0068665,,,,
,3949554318.07355,300.00747685,1658.39575195313,-12.2359189750104,0.0041300381123765,1,0.999253354069792,40.0298881530762,1.97489724501708,13.3300004526973,-66.0416867240231,-12.0574450023967,250,0.0337804413771311,-12.2335700834439,-0.0175503747079423,300.0068665,300.0080872,1588.54418945313,1728.24731445313,54.8218610818135,20.4756908811521,9.256284,0,0,0,40,300.29335,1,6,1,1,0,2.21649169921875,44.4770278930664,1658.39575195313,,,,,,,,,,,,,0,,,,7.6105173,,,,,,300.00747685,,,,
,3949554319.39124,300.00724795,1793.17150878906,-12.225896151302,0.00315748733338992,1,0.999253354069792,40.0298881530762,1.97503845880903,13.3300004526973,-65.9928594304931,-12.044819604485,250,0.0344172774602056,-12.2235521498821,-0.0168708252444233,300.0064087,300.0080872,1728.24731445313,1858.095703125,54.4716915051981,20.475372009968,9.256284,0,0,0,40,300.2939,1,6,1,1,0,2.2076416015625,44.9657897949219,1793.17150878906,,,,,,,,,,,,,0,,,,7.648531,,,,,,300.00724795,,,,
,3949554320.58354,300.0060425,1912.95538330078,-12.2198876318779,0.00407271965954903,1,0.999253354069792,40.0298881530762,1.97506343959464,13.3300004526973,-65.9610717877163,-12.0399769161486,250,0.0342277656927691,-12.2175446620892,-0.017034453984874,300.0056763,300.0064087,1858.095703125,1967.81506347656,54.4287019366404,20.4727057042487,8.512546,0,0,0,40,300.294,1,6,1,1,0,2.2076416015625,44.9657897949219,1912.95538330078,,,,,,,,,,,,,0,,,,7.5728815,,,,,,300.0060425,,,,
,3949554321.84113,300.0054932,2037.69061279297,-12.2037066750112,0.00390001390375036,1,0.999253354069792,40.0298881530762,1.97503160839858,13.3300004526973,-65.8733902713604,-12.0200985844856,250,0.0348761690444936,-12.2013700387151,-0.0163175263731883,300.0053101,300.0056763,1967.81506347656,2107.56616210938,54.5365666722942,20.4738016657388,8.884414,0,0,0,40,300.29465,1,6,1,1,0,2.21267700195313,44.9657897949219,2037.69061279297,,,,,,,,,,,,,0,,,,7.497232,,,,,,300.0054932,,,,
,3949554323.1605,300.00566105,2172.43664550781,-12.1956587817532,0.00378619565560962,1,0.999253354069792,40.0298881530762,1.97493667617529,13.3300004526973,-65.8287402704019,-12.0014810710038,250,0.0367296737371959,-12.1933315557452,-0.0144298555441647,300.0053101,300.006012,2107.56616210938,2237.30712890625,54.4052530810634,20.4752249651174,8.512546,0,0,0,40,300.295,1,6,1,1,0,2.21389770507813,44.9657897949219,2172.43664550781,,,,,,,,,,,,,0,,,,7.5728815,,,,,,300.00566105,,,,
,3949554324.34777,300.00621035,2292.23315429688,-12.1868898634826,0.00459608978780214,1,0.999253354069792,40.0298881530762,1.9751022378687,13.3300004526973,-65.7820588818844,-12.0193303566873,250,0.0319762661939413,-12.1845443233228,-0.0191446097662609,300.006012,300.0064087,2237.30712890625,2347.1591796875,54.1793624390057,20.4696296553673,9.256284,0,0,0,40,300.2963,1,6,1,1,0,2.20550537109375,45.4545478820801,2292.23315429688,,,,,,,,,,,,,0,,,,7.648531,,,,,,300.00621035,,,,
,3949554325.42046,300.0059204,2396.97875976563,-12.1777887726445,0.00434752683530043,1,0.999253354069792,40.0298881530762,1.97507340571179,13.3300004526973,-65.7355843504644,-11.9908439035959,250,0.0355363059209994,-12.1754602185175,-0.0155463526605347,300.0054321,300.0064087,2347.1591796875,2446.79833984375,54.5990969538327,20.4771972477196,8.512546,0,0,0,40,300.2973,1,6,1,1,0,2.21481323242188,44.9657897949219,2396.97875976563,,,,,,,,,,,,,0,,,,7.5728815,,,,,,300.0059204,,,,
,3949554326.61658,300.00582885,2511.71594238281,-12.1643994375636,0.0046330061730307,1,0.999253354069792,40.0298881530762,1.9750730194159,13.3300004526973,-65.663629788237,-11.9758625048718,250,0.0358293552474158,-12.1620749405758,-0.0151965381562123,300.0054321,300.0062256,2446.79833984375,2576.63354492188,54.7093065750443,20.4737961045973,9.256284,0,0,0,40,300.2975,1,6,1,1,0,2.21450805664063,45.9433059692383,2511.71594238281,,,,,,,,,,,,,0,,,,7.5348678,,,,,,300.00582885,,,,
,3949554327.94701,300.0063629,2646.48486328125,-12.1524112917796,0.00330906070560251,1,0.999253354069792,40.0298881530762,1.97504265698461,13.3300004526973,-65.5954763175891,-11.97712921716,250,0.0333373713455079,-12.1500786320446,-0.0176367903491646,300.0062256,300.0065002,2576.63354492188,2716.33618164063,54.5693950701019,20.4734143678052,8.512546,0,0,0,40,300.2985,1,6,1,1,0,2.21710205078125,45.4545478820801,2646.48486328125,,,,,,,,,,,,,0,,,,7.6105173,,,,,,300.0063629,,,,
,3949554329.28085,300.00614925,2786.24951171875,-12.1450520719942,0.00337844774538287,1,0.999253354069792,40.0298881530762,1.97503827546574,13.3300004526973,-65.5571603295399,-11.9615017894478,250,0.0348638033684961,-12.1427274880529,-0.0160789449026567,300.0057983,300.0065002,2716.33618164063,2856.16284179688,54.3575737413904,20.4771569884046,9.256284,0,0,0,40,300.2989,1,6,1,1,0,2.21664428710938,45.9433059692383,2786.24951171875,,,,,,,,,,,,,0,,,,7.648531,,,,,,300.00614925,,,,
,3949554330.5505,300.00601195,2916.06860351563,-12.1281544410386,0.00457880027305709,1,0.999253354069792,40.0298881530762,1.97498383729778,13.3300004526973,-65.463297128653,-11.9493520785875,250,0.033922571464956,-12.1258294519425,-0.0169486589514823,300.0057983,300.0062256,2856.16284179688,2975.97436523438,54.4552773062942,20.473481122514,9.256284,0,0,0,40,300.29755,1,6,1,1,0,2.21939086914063,45.4545478820801,2916.06860351563,,,,,,,,,,,,,0,,,,7.5728815,,,,,,300.00601195,,,,
,3949554331.88342,300.0059204,3045.86303710938,-12.1211168957662,0.00362921159587578,1,0.999253354069792,40.0298881530762,1.97501467406803,13.3300004526973,-65.4264851828711,-11.9416452112284,250,0.0340793832354454,-12.1187940873458,-0.0167618292895245,300.0056152,300.0062256,2975.97436523438,3115.75170898438,54.8578159936981,20.4727429085606,9.256284,0,0,0,40,300.29655,1,6,1,1,0,2.21588134765625,45.9433059692383,3045.86303710938,,,,,,,,,,,,,0,,,,7.497232,,,,,,300.0059204,,,,
