
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Position Status (code),Evercool Status (code),Motor Current (amps),Motor Heatsink Temp. (C),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation ( A),Bridge 2 Resistance (ohms),Bridge 2 Excitation ( A),Bridge 3 Resistance (ohms),Bridge 3 Excitation ( A),Bridge 4 Resistance (ohms),Bridge 4 Excitation ( A),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,3956238889.99036,,0.292466700077057,,,2,,,,14.3700003740191,,,,,,,,,0.292466700077057,0.292466700077057,,,7.025072,,,,,291.8339,1,1,1,1,0,0.041046142578125,41.5444793701172,0.292466700077057,,,,,,,,,,,,,,,,,,,,,,,293.092865,,,,
sample offset = 35.08 mm touchdown = 9.10000037401915 mm,3956238926.22915,293.03767395,0.179979495704174,-7.70308829909737,0.00136144240649535,1,0.999253354069792,40.0298881530762,1.99068385312802,14.3600003793836,-85.7223452577849,-15.108449087329,250,-0.0281023787093631,-7.70282312204945,-0.0333865580380301,293.0372925,293.0380554,0.15748205780983,0.202476933598518,54.8453099373904,20.5323670245925,7.025072,0,0,0,40,291.86775,1,4,1,1,0,2.227783203125,44.4770278930664,0.179979495704174,,,,,,,,,,,,,0,,,,13.2494469,,,,,,293.03767395,,,,
,3956238939.34893,293.0264893,43.9042911529541,-7.70264214594658,0.00131506462602293,1,0.999253354069792,40.0298881530762,1.9908297176957,14.3600003793836,-85.7228620738582,-15.1122446448366,250,-0.028424042259679,-7.7023768062615,-0.0337074534084096,293.0264893,293.0264893,34.7203712463379,53.0882110595703,55.0454068383135,20.5334123821164,7.768809,0,0,0,40,291.88815,1,6,1,1,0,2.23556518554687,46.4320640563965,43.9042911529541,,,,,,,,,,,,,0,,,,13.05385255,,,,,,293.0264893,,,,
,3956238940.06309,293.0258484,105.486083984375,-7.70193898595305,0.00135443732001373,1,0.999253354069792,40.0298881530762,1.99085429258104,14.3600003793836,-85.7176540460154,-15.1018308223752,250,-0.0275939722731001,-7.70167424248927,-0.0328768829389223,293.0252075,293.0264893,53.0882110595703,157.88395690918,55.0758903505635,20.534625722335,8.884414,0,0,0,40,291.8892,1,6,1,1,0,2.22732543945313,46.4320640563965,105.486083984375,,,,,,,,,,,,,0,,,,13.05385255,,,,,,293.0258484,,,,
,3956238941.32663,293.0242462,214.012199401855,-7.69912341307311,0.00127805545167015,1,0.999253354069792,40.0298881530762,1.99087144289444,14.3600003793836,-85.6843151494665,-15.1122083218352,250,-0.0290001930168514,-7.69885779996463,-0.0342810735447738,293.0232849,293.0252075,157.88395690918,270.140441894531,55.1102820054097,20.5333710963682,8.512546,0,0,0,40,291.8896,1,6,1,1,0,2.22671508789062,46.9208221435547,214.012199401855,,,,,,,,,,,,,0,,,,13.1184006,,,,,,293.0242462,,,,
,3956238942.43323,293.02368165,317.687835693359,-7.69532541051324,0.00149496544137858,1,0.999253354069792,40.0298881530762,1.99091052989761,14.3600003793836,-85.6449607848902,-15.0976177117522,250,-0.0283193564385428,-7.69506039397498,-0.0335975677198173,293.0232849,293.0240784,270.140441894531,365.235229492188,55.2642628236982,20.5344572826233,8.140677,0,0,0,40,291.89135,1,6,1,1,0,2.23770141601562,45.4545478820801,317.687835693359,,,,,,,,,,,,,0,,,,12.9873543,,,,,,293.02368165,,,,
,3956238943.45398,293.0233002,415.393127441406,-7.69121731619802,0.00126220746545964,1,0.999253354069792,40.0298881530762,1.99086426309996,14.3600003793836,-85.5976246171517,-15.0873790035216,250,-0.0281392405600636,-7.69095256179617,-0.0334145623288098,293.022522,293.0240784,365.235229492188,465.551025390625,54.7648021999096,20.5334649751452,7.768809,0,0,0,40,291.8927,1,6,1,1,0,2.22625732421875,46.9208221435547,415.393127441406,,,,,,,,,,,,,0,,,,13.1184006,,,,,,293.0233002,,,,
,3956238944.64962,293.0220795,531.792175292969,-7.68713997117884,0.00128442747614781,1,0.999253354069792,40.0298881530762,1.99084019724469,14.3600003793836,-85.5510684452043,-15.080211040545,250,-0.0282148511230257,-7.68687530169186,-0.0334873046629971,293.021637,293.022522,465.551025390625,598.033325195313,54.8328038810827,20.5333177364775,8.884414,0,0,0,40,291.8931,1,6,1,1,0,2.2247314453125,46.9208221435547,531.792175292969,,,,,,,,,,,,,0,,,,13.1184006,,,,,,293.0220795,,,,
,3956238945.88237,293.02153015,658.540435791016,-7.68277843056684,0.000994561098234494,1,0.999253354069792,40.0298881530762,1.99089660521613,14.3600003793836,-85.5054679954345,-15.0686713825279,250,-0.0278937842474602,-7.68251412923953,-0.0331631660224492,293.0214233,293.021637,598.033325195313,719.047546386719,55.2072039417943,20.5329276875572,7.768809,0,0,0,40,291.8941,1,6,1,1,0,2.22579956054687,47.4095802307129,658.540435791016,,,,,,,,,,,,,0,,,,13.1184006,,,,,,293.02153015,,,,
,3956238946.93626,293.02056885,764.159729003906,-7.67975540346893,0.00142190666227765,1,0.999253354069792,40.0298881530762,1.99087364530289,14.3600003793836,-85.4697097805168,-15.0692751410225,250,-0.0284846596589335,-7.67949079932603,-0.0337518864664714,293.0197144,293.0214233,719.047546386719,809.271911621094,55.2447221107174,20.5362397154157,8.884414,0,0,0,40,291.89425,1,6,1,1,0,2.24090576171875,47.4095802307129,764.159729003906,,,,,,,,,,,,,0,,,,13.2494469,,,,,,293.02056885,,,,
