Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Position Status (code),Evercool Status (code),Motor Current (amps),Motor Heatsink Temp. (C),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation ( A),Bridge 2 Resistance (ohms),Bridge 2 Excitation ( A),Bridge 3 Resistance (ohms),Bridge 3 Excitation ( A),Bridge 4 Resistance (ohms),Bridge 4 Excitation ( A),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,3956202482.30628,,-0.269969254732132,,,2,,,,15.7200003036857,,,,,,,,,-0.269969254732132,-0.269969254732132,,,8.884414,,,,,299.909,1,1,1,1,0,0.041351318359375,40.5669593811035,-0.269969254732132,,,,,,,,,,,,,,,,,,,,,,,299.9945679,,,,
sample offset = 34.21 mm touchdown = 9.58000030368567 mm,3956202518.47025,300.0178223,-0.382456436753273,-10.9261494091323,0.00137843716204081,1,0.999253354069792,40.0298881530762,2.00196427449395,15.70999994874,-122.262776077269,-21.5247143370725,250,-0.0380240223056479,-10.9257972124753,-0.0452812367591804,300.0178223,300.0178223,-0.404953867197037,-0.359959006309509,55.0024172697558,20.5358566814039,7.025072,0,0,0,40,299.8969,1,4,1,1,0,2.2552490234375,43.9882698059082,-0.382456436753273,,,,,,,,,,,,,0,,,,11.8706312,,,,,,300.0178223,,,,
,3956202531.49088,300.0231934,84.6875228881836,-10.9261803557734,0.00128592855343676,1,0.999253354069792,40.0298881530762,2.002113228616,15.70999994874,-122.270684662529,-21.5336770476844,250,-0.0386799371115767,-10.9258276895862,-0.0459375028047058,300.0231934,300.0231934,71.5155487060547,97.8594970703125,55.0407170671981,20.5365677123509,8.884414,0,0,0,40,299.8835,1,6,1,1,0,2.24533081054687,45.4545478820801,84.6875228881836,,,,,,,,,,,,,0,,,,11.93022155,,,,,,300.0231934,,,,
,3956202532.35818,300.0235138,154.567314147949,-10.9260932722529,0.00156395947428193,1,0.999253354069792,40.0298881530762,2.00209732817458,15.70999994874,-122.267955563032,-21.5380478548477,250,-0.0391001291984029,-10.9257403300942,-0.046357618352026,300.0231934,300.0238342,97.8594970703125,211.275131225586,54.9938193560443,20.5392427865204,8.512546,0,0,0,40,299.88245,1,6,1,1,0,2.25265502929687,45.9433059692383,154.567314147949,,,,,,,,,,,,,0,,,,11.87122395,,,,,,300.0235138,,,,
,3956202533.51756,300.0244598,253.543388366699,-10.9231679286059,0.00132550094476986,1,0.999253354069792,40.0298881530762,2.00207281936077,15.70999994874,-122.230597552968,-21.5504036580053,250,-0.0407309640912186,-10.922813989052,-0.0479864770214959,300.0238342,300.0250854,211.275131225586,295.811645507812,55.2634811951789,20.539383531179,8.884414,0,0,0,40,299.8799,1,6,1,1,0,2.25311279296875,45.4545478820801,253.543388366699,,,,,,,,,,,,,0,,,,11.5791378,,,,,,300.0244598,,,,
,3956202534.56369,300.02470395,350.514297485352,-10.917959981078,0.00115250091115691,1,0.999253354069792,40.0298881530762,2.00204366671352,15.70999994874,-122.173713283647,-21.5217365104006,250,-0.0390961483703736,-10.9176072851022,-0.0463482327893692,300.0243225,300.0250854,295.811645507812,405.216949462891,55.1610878591597,20.5367579003242,8.140677,0,0,0,40,299.8784,1,6,1,1,0,2.24822998046875,45.9433059692383,350.514297485352,,,,,,,,,,,,,0,,,,11.5791378,,,,,,300.02470395,,,,
,3956202535.77556,300.02496335,471.243087768555,-10.9152094583033,0.0013852713141895,1,0.999253354069792,40.0298881530762,2.0020960058039,15.70999994874,-122.145311706304,-21.5210509953221,250,-0.0394609794373136,-10.9148566451962,-0.046710768531562,300.0243225,300.0256042,405.216949462891,537.269226074219,55.2720791088905,20.5382860810125,8.884414,0,0,0,40,299.89155,1,6,1,1,0,2.25021362304687,45.9433059692383,471.243087768555,,,,,,,,,,,,,0,,,,11.87122395,,,,,,300.02496335,,,,
,3956202536.95364,300.02604675,597.913909912109,-10.9114559390755,0.00139535387247477,1,0.999253354069792,40.0298881530762,2.00207851495315,15.70999994874,-122.104530079487,-21.500383512089,250,-0.0382792899747245,-10.9111040629012,-0.0455261985231541,300.0256042,300.0264893,537.269226074219,658.55859375,55.1907897428905,20.5390893006413,7.396941,0,0,0,40,299.9032,1,6,1,1,0,2.25082397460938,45.9433059692383,597.913909912109,,,,,,,,,,,,,0,,,,11.87122395,,,,,,300.02604675,,,,
,3956202538.05399,300.02572635,708.724182128906,-10.9080088874287,0.00114982201833478,1,0.999253354069792,40.0298881530762,2.00218366328057,15.70999994874,-122.068934372547,-21.5134971695503,250,-0.0399469883805862,-10.9076560053008,-0.0471915710831041,300.0249634,300.0264893,658.55859375,758.889770507812,55.1946978854866,20.5375138705039,7.025072,0,0,0,40,299.8999,1,6,1,1,0,2.25173950195313,45.9433059692383,708.724182128906,,,,,,,,,,,,,0,,,,11.8116336,,,,,,300.02572635,,,,
,3956202539.31136,300.02586365,833.965362548828,-10.9007286888127,0.00154725687175954,1,0.999253354069792,40.0298881530762,2.00223541475897,15.70999994874,-121.989579301193,-21.5051550302615,250,-0.0404094283093414,-10.9003757176984,-0.0476491571174815,300.0249634,300.0267639,758.889770507812,909.040954589844,55.1165350335635,20.5385983413351,8.140677,0,0,0,40,299.89675,1,6,1,1,0,2.25128173828125,46.4320640563965,833.965362548828,,,,,,,,,,,,,0,,,,11.93022155,,,,,,300.02586365,,,,
,3956202540.67285,300.0261688,974.049224853516,-10.8977810906873,0.00125218268566383,1,0.999253354069792,40.0298881530762,2.00218153867216,15.70999994874,-121.954483071549,-21.4925427843555,250,-0.0398416568681206,-10.8974285866619,-0.0470794260206091,300.0255737,300.0267639,909.040954589844,1039.05749511719,54.8109182825443,20.5378572239818,8.140677,0,0,0,40,299.8936,1,6,1,1,0,2.25234985351562,46.4320640563965,974.049224853516,,,,,,,,,,,,,0,,,,11.87122395,,,,,,300.0261688,,,,
,3956202541.97779,300.0260315,1098.98046875,-10.8941351377237,0.00115623040777652,1,0.999253354069792,40.0298881530762,2.00210536855429,15.70999994874,-121.907357497993,-21.4951274211314,250,-0.0407721797200969,-10.8937821259737,-0.0480074852901913,300.0255737,300.0264893,1039.05749511719,1158.90344238281,55.0594761516597,20.5395554951575,8.884414,0,0,0,40,299.8906,1,6,1,1,0,2.25189208984375,46.4320640563965,1098.98046875,,,,,,,,,,,,,0,,,,11.752636,,,,,,300.0260315,,,,
,3956202543.17241,300.02645875,1218.81103515625,-10.8904584553854,0.00125176582284023,1,0.999253354069792,40.0298881530762,2.00216586108806,15.70999994874,-121.870693433813,-21.4832577170618,250,-0.0402899740202687,-10.8901058733212,-0.0475228583643776,300.0264282,300.0264893,1158.90344238281,1278.71862792969,55.1845367147366,20.5386919639602,8.140677,0,0,0,40,299.88695,1,6,1,1,0,2.23968505859375,46.4320640563965,1218.81103515625,,,,,,,,,,,,,0,,,,11.93141225,,,,,,300.02645875,,,,
,3956202544.3358,300.02697755,1338.60498046875,-10.8843969650981,0.00122115426529189,1,0.999253354069792,40.0298881530762,2.00208045726992,15.70999994874,-121.799867736707,-21.4585305481671,250,-0.0392064784142183,-10.8840452821858,-0.0464353891894618,300.0264282,300.0275269,1278.71862792969,1398.49133300781,54.9242544178327,20.5401905623591,8.140677,0,0,0,40,299.88275,1,6,1,1,0,2.23800659179687,46.9208221435547,1338.60498046875,,,,,,,,,,,,,0,,,,11.93141225,,,,,,300.02697755,,,,
,3956202545.64298,300.0279999,1463.49780273438,-10.8803215915342,0.00127712735712362,1,0.999253354069792,40.0298881530762,2.00213291686382,15.70999994874,-121.755896648498,-21.4595241990447,250,-0.0399493520693766,-10.8799695377604,-0.0471755263376252,300.0275269,300.0284729,1398.49133300781,1528.50427246094,55.1681225158328,20.5382856098561,8.140677,0,0,0,40,299.8793,1,6,1,1,0,2.24502563476562,47.4095802307129,1463.49780273438,,,,,,,,,,,,,0,,,,11.63639405,,,,,,300.0279999,,,,
,3956202546.95519,300.02815245,1593.16833496094,-10.8782180206749,0.000921033544825473,1,0.999253354069792,40.0298881530762,2.00204682350145,15.70999994874,-121.724175899138,-21.4724537607194,250,-0.0415469077339022,-10.8778649725665,-0.0487715951901251,300.027832,300.0284729,1528.50427246094,1657.83239746094,55.1313859754289,20.5389536702289,8.884414,0,0,0,40,299.87685,1,6,1,1,0,2.24594116210938,47.4095802307129,1593.16833496094,,,,,,,,,,,,,0,,,,11.69539165,,,,,,300.02815245,,,,
,3956202548.0934,300.02825925,1712.69537353516,-10.8746514214379,0.00120531037429624,1,0.999253354069792,40.0298881530762,2.00209254367612,15.70999994874,-121.688331471652,-21.4579605968098,250,-0.0408252199981425,-10.8742989630743,-0.0480475210470015,300.027832,300.0286865,1657.83239746094,1767.55834960938,55.1962611425251,20.5405400358054,8.140677,0,0,0,40,299.87455,1,6,1,1,0,2.2381591796875,47.4095802307129,1712.69537353516,,,,,,,,,,,,,0,,,,11.8116336,,,,,,300.02825925,,,,
,3956202549.20659,300.0286102,1822.57696533203,-10.8700505830954,0.00134084732473095,1,0.999253354069792,40.0298881530762,2.00210263732647,15.70999994874,-121.640143529415,-21.433328483454,250,-0.0394095422805641,-10.8696992041151,-0.0466288149722507,300.0285339,300.0286865,1767.55834960938,1877.59558105469,55.0157049545827,20.5399108379381,7.025072,0,0,0,40,299.87165,1,6,1,1,0,2.23541259765625,46.9208221435547,1822.57696533203,,,,,,,,,,,,,0,,,,11.87122395,,,,,,300.0286102,,,,
,3956202550.42242,300.028656,1942.45776367187,-10.8624029104696,0.00103675684878682,1,0.999253354069792,40.0298881530762,2.00201900327597,15.70999994874,-121.548879793028,-21.4217560698192,250,-0.0397726201809917,-10.8620515214386,-0.0469867772532488,300.0285339,300.0287781,1877.59558105469,2007.31994628906,54.7960673406789,20.5402611517084,8.512546,0,0,0,40,299.86875,1,6,1,1,0,2.2509765625,47.4095802307129,1942.45776367187,,,,,,,,,,,,,0,,,,11.87122395,,,,,,300.028656,,,,
,3956202551.66756,300.0292969,2067.14837646484,-10.8640931190169,0.000598975890668374,1,0.999253354069792,40.0298881530762,2.0021527771312,15.70999994874,-121.574521681302,-21.4331815118867,250,-0.0403774010859206,-10.8637412797583,-0.0475926408326206,300.0287781,300.0298157,2007.31994628906,2126.97680664062,55.0516598664674,20.5390344300769,8.512546,0,0,0,40,299.86555,1,6,1,1,0,2.24990844726562,47.4095802307129,2067.14837646484,,,,,,,,,,,,,0,,,,11.752636,,,,,,300.0292969,,,,
,3956202552.86857,300.0295563,2186.88208007813,-10.8583017158739,0.00125774141354599,1,0.999253354069792,40.0298881530762,2.00215310586363,15.70999994874,-121.510555618996,-21.4169865236613,250,-0.0399296852978732,-10.857950351575,-0.0471410456948966,300.0292969,300.0298157,2126.97680664062,2246.78735351562,55.2525383959097,20.5389525811335,8.884414,0,0,0,40,299.8633,1,6,1,1,0,2.2296142578125,47.4095802307129,2186.88208007813,,,,,,,,,,,,,0,,,,11.87122395,,,,,,300.0295563,,,,
,3956202554.09437,300.0288391,2306.69213867187,-10.8527076337523,0.00108401418875276,1,0.999253354069792,40.0298881530762,2.00214615466264,15.70999994874,-121.449079812876,-21.3969840199032,250,-0.0391146591205221,-10.8523569828716,-0.0463222781424726,300.0283813,300.0292969,2246.78735351562,2366.59692382813,55.2642628236982,20.539928756863,8.140677,0,0,0,40,299.86115,1,6,1,1,0,2.2509765625,45.9433059692383,2306.69213867187,,,,,,,,,,,,,0,,,,11.93022155,,,,,,300.0288391,,,,
,3956202555.40583,300.0290527,2436.38647460938,-10.8458585755555,0.00105285818770647,1,0.999253354069792,40.0298881530762,2.0021797341074,15.70999994874,-121.375074396613,-21.3799774796848,250,-0.0387461236194884,-10.8455083812355,-0.0459491310761804,300.0283813,300.0297241,2366.59692382813,2506.17602539062,55.4354394694097,20.5396251815849,8.884414,0,0,0,40,299.85945,1,6,1,1,0,2.25189208984375,47.4095802307129,2436.38647460938,,,,,,,,,,,,,0,,,,11.8706312,,,,,,300.0290527,,,,
