Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Position Status (code),Evercool Status (code),Motor Current (amps),Motor Heatsink Temp. (C),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation ( A),Bridge 2 Resistance (ohms),Bridge 2 Excitation ( A),Bridge 3 Resistance (ohms),Bridge 3 Excitation ( A),Bridge 4 Resistance (ohms),Bridge 4 Excitation ( A),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,3956212067.2864,,-0.179979503154755,,,2,,,,16.6799996945262,,,,,,,,,-0.179979503154755,-0.179979503154755,,,8.140677,,,,,292.4917,1,1,1,1,0,0.044097900390625,41.5444793701172,-0.179979503154755,,,,,,,,,,,,,,,,,,,,,,,293.1294556,,,,
sample offset = 33.17 mm touchdown = 9.4999996945262 mm,3956212102.63327,293.0776367,-0.326212838292122,0.211792284790048,2.6825217887411E-5,1,0.999253354069792,40.0298881530762,2.00014436561942,16.669999808073,2.36829970001488,0.414221959089371,250,0.00049648823006753,0.211785219268532,0.000641406818242762,293.0776367,293.0776367,-0.337461560964584,-0.314964115619659,54.739008458775,20.4880808036279,8.140677,0,0,0,40,292.503,1,4,1,1,0,2.24212646484375,44.9657897949219,-0.326212838292122,,,,,,,,,,,,,0,,,,11.6358137,,,,,,293.0776367,,,,
,3956212115.37623,293.0654602,79.2114868164062,0.214043744110979,0.000329143917231818,1,0.999253354069792,40.0298881530762,2.00012179021384,16.669999808073,2.39338513395538,0.418995118940717,250,0.000535234752413991,0.214036580941107,0.00068168901454263,293.0654602,293.0654602,70.4721527099609,87.9508209228516,54.9054953333712,20.4894525463026,8.140677,0,0,0,40,292.5083,1,6,1,1,0,2.22854614257813,46.4320640563965,79.2114868164062,,,,,,,,,,,,,0,,,,11.752636,,,,,,293.0654602,,,,
,3956212115.96988,293.06469725,130.924507141113,0.256933264182585,0.00387042154791473,1,0.999253354069792,40.0298881530762,2.00005037343233,16.6800003498793,2.87218025467935,0.506908960490371,250,0.000997755767104136,0.256924422590009,0.00117354456758452,293.0639343,293.0654602,87.9508209228516,173.898193359375,54.9000239337366,20.4917628140231,7.025072,0,0,0,40,292.5078,1,6,1,1,0,2.24151611328125,46.4320640563965,130.924507141113,,,,,,,,,,,,,0,,,,11.69422485,,,,,,293.06469725,,,,
,3956212117.05091,293.0631561,222.297668457031,0.452571626962436,0.0114328885780912,1,0.999253354069792,40.0298881530762,2.00019998910945,16.669999808073,5.05796864177482,0.90200759298906,250,0.0025668892513461,0.45255549930298,0.00287650310009135,293.0623779,293.0639343,173.898193359375,270.697143554687,54.810136654025,20.4923739170179,7.025072,0,0,0,40,292.507,1,6,1,1,0,2.24365234375,46.4320640563965,222.297668457031,,,,,,,,,,,,,0,,,,11.75322245,,,,,,293.0631561,,,,
,3956212118.3182,293.0617981,333.018264770508,1.22840439329153,0.0173393310091668,1,0.999253354069792,40.0298881530762,2.00019044740108,16.669999808073,13.7311500865648,2.43385189537668,250,0.00567695755347748,1.22836150221327,0.00651736683562743,293.0612183,293.0623779,270.697143554687,395.339385986328,54.6866393479866,20.4921497987647,8.140677,0,0,0,40,292.5073,1,6,1,1,0,2.23068237304687,46.9208221435547,333.018264770508,,,,,,,,,,,,,0,,,,11.8116336,,,,,,293.0617981,,,,
,3956212119.64982,293.0603943,461.265335083008,1.67140544993748,0.0173524016075419,1,0.999253354069792,40.0298881530762,2.00005913177797,16.669999808073,18.68286501714,3.30543160214496,250,0.00719393499719753,1.67134745563684,0.00833742098419987,293.0595703,293.0612183,395.339385986328,527.191284179687,54.921909532275,20.4933023210262,7.025072,0,0,0,40,292.5082,1,6,1,1,0,2.24502563476562,46.9208221435547,461.265335083008,,,,,,,,,,,,,0,,,,11.5791378,,,,,,293.0603943,,,,
,3956212120.90331,293.0596161,592.965576171875,2.10596514446666,0.0168028310540253,1,0.999253354069792,40.0298881530762,2.00012209996702,16.669999808073,23.5419138389625,4.16004101270225,250,0.00862464799251881,2.10589237444098,0.0100654326214092,293.0595703,293.0596619,527.191284179687,658.739868164062,54.7968489691981,20.495504548025,8.884414,0,0,0,40,292.508,1,6,1,1,0,2.24151611328125,47.4095802307129,592.965576171875,,,,,,,,,,,,,0,,,,11.5791378,,,,,,293.0596161,,,,
,3956212122.09153,293.05908205,713.956970214844,2.52585404197275,0.0162640555684907,1,0.999253354069792,40.0298881530762,2.00009834549137,16.669999808073,28.2354659265644,4.98899067700299,250,0.0103062809062079,2.52576679157138,0.012034304743042,293.0585022,293.0596619,658.739868164062,769.174072265625,54.975841900102,20.488035673932,8.884414,0,0,0,40,292.5087,1,6,1,1,0,2.23007202148438,47.4095802307129,713.956970214844,,,,,,,,,,,,,0,,,,11.5791378,,,,,,293.05908205,,,,
,3956212123.33064,293.05789185,834.300933837891,3.33203597091965,0.0155238073764103,1,0.999253354069792,40.0298881530762,2.00015017317898,16.669999808073,37.248483066513,6.5808672660861,250,0.013539016678984,3.33192091527485,0.0158185398560793,293.0572815,293.0585022,769.174072265625,899.427795410156,54.9180013896789,20.4914526748324,8.884414,0,0,0,40,292.50975,1,6,1,1,0,2.2320556640625,47.4095802307129,834.300933837891,,,,,,,,,,,,,0,,,,11.5791378,,,,,,293.05789185,,,,
